Id,Site ,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
11,Nonggang,22.225,22.492,21.95,21.867,22.142,22.217,22.117,22.117,22.425,22.092,22.2,21.992,21.725,22.333,22.408,22.258,21.8,22.15,22.542,22.258,22.625,23.133,23.267,23.092,22.167,22.583,22.733,22.733,22.892,22.558,23.375,22.367,22.767,22.55,22.758,21.942,22.725,22.642,22.308,22.65,22.625,23.3,22.825,22.367,22.092,23.508,22.258,22.525,22.683,22.342,22.033,22.492,22.383,22.317,22.117,21.967,22.05,22.317,22.058,22.3,22.267,21.875,22.3,22.108,22.35,22.625,21.667,22.092,22.092,21.983,21.625,22.292,22.55,21.917,22.275,21.692,22.1,22.342,22.583,22.667,22.375,22.367,22.275,21.833,22.075,22.392,22.975,22.217,22.375,22.892,23.05,22.458,22.608,22.85,22.45,22.3,22.75,23.658,22.442,22.275,22.183,22.558,22.775,22.217,22.383,22.8,22.492,21.7,22.883,22.85,21.617,22.525
12,Xishuangbanna,20.692,20.592,20.392,20.2,20.742,20.75,20.375,20.542,20.75,20.45,20.583,20.408,20.15,20.525,20.7,20.875,20.417,20.65,21.117,20.817,21.317,21.367,21.083,21.25,20.625,21.342,21.033,21.1,21.258,21.05,21.708,20.817,21.208,20.683,21.375,20.783,21.517,20.642,20.425,20.792,21.067,21.142,20.567,20.808,20.917,21.367,21.425,20.858,20.708,20.483,20.3,20.467,20.375,19.958,19.8,20.083,20.458,20.617,20.625,20.625,20.383,20.092,20.317,20.4,20.625,21.175,20.258,20.358,20.917,20.575,19.875,20.55,20.742,20.25,20.833,20.2,19.958,20.817,21.467,21.417,20.858,20.708,20.908,20.958,20.625,20.575,21.192,20.85,20.5,20.783,21.325,20.617,20.867,21.058,20.925,20.642,20.825,21.908,20.975,21,21.025,21.083,21.267,20.867,21.433,21.4,21.017,21.158,21.908,22.408,20.842,22.233
13,Mudumalai,23.792,23.767,23.617,23.158,23.725,23.933,23.433,23.517,23.675,23.433,23.642,23.775,23.808,23.975,24.067,23.542,23.258,23.508,23.958,23.758,23.667,23.492,23.633,23.925,23.758,24.292,24.175,24.117,23.942,23.933,24.208,23.617,23.442,23.717,23.792,23.85,23.825,23.783,23.492,23.517,24.192,23.933,23.317,23.692,23.983,23.683,23.733,23.967,23.583,23.6,23.542,23.675,23.608,23.375,23.25,23.192,23.567,23.825,23.767,23.617,23.642,23.5,23.617,23.75,23.792,24.05,23.233,23.558,23.833,23.425,23.15,23.808,23.908,23.5,23.342,23.733,23.792,23.783,24.083,24.142,24.05,24.258,24.567,23.808,24.175,24.242,24.408,24.35,23.992,24.208,24.2,23.9,24.117,24.067,24.317,24.25,24.575,24.867,24.208,24.183,24.55,24.683,24.9,24.242,24.533,24.458,24.533,24.283,24.592,24.692,24.308,24.817
14,Danum Valley,25.2,25.167,24.825,24.533,24.725,24.883,24.675,24.767,24.792,24.792,24.725,25.008,24.858,25.067,25.275,24.783,24.683,24.508,25.067,24.958,24.825,24.933,24.833,24.992,24.85,25.008,25.058,25.083,24.767,25.158,25.375,24.967,25.05,24.842,25.083,25.142,25.217,25.058,25.092,25.175,25.442,25.1,25.1,25.1,25.1,25.15,25.367,24.908,24.9,25.233,25.175,25.117,25.133,24.883,24.892,24.733,25.133,25.217,24.925,25.008,24.683,24.642,24.558,24.558,24.592,24.983,24.7,24.767,24.892,24.867,24.8,24.95,25.1,25.017,25.158,24.675,24.892,25.05,25.108,25.167,25.417,25.358,25.583,25.142,25.292,25.333,25.758,25.725,25.583,25.758,25.7,25.6,25.558,25.6,25.583,25.383,25.642,25.933,25.6,25.708,25.758,25.8,25.608,25.65,25.55,25.45,25.417,25.233,25.633,25.492,25.517,25.675
15,Lambir,26.083,26.083,25.967,25.85,25.925,25.975,25.917,25.942,25.95,25.967,26,26.225,26.108,26.333,26.442,26.008,25.833,25.633,26.292,26.167,26.008,26.075,25.992,26.108,25.967,26.183,26.158,26.2,25.867,26.283,26.5,26.008,26.117,25.883,26.2,26.242,26.333,26.158,26.158,26.167,26.65,26.083,26.083,26.083,26.083,26.083,26.183,26.133,26.125,26.575,26.708,26.55,26.692,26.4,26.217,26.1,26.55,26.633,26.367,26.475,26.025,25.85,25.85,25.9,25.767,26.217,25.983,25.967,25.942,25.792,25.95,26.342,26.533,26.033,26.225,25.625,25.817,26.025,26.092,26.092,26.158,26.167,26.492,25.833,26,25.983,26.367,26.242,25.983,26.3,26.367,26.267,26.158,26.275,26.242,26.167,26.483,26.917,26.45,26.508,26.583,26.725,26.558,26.475,26.508,26.5,26.35,25.892,26.358,26.267,26.2,26.492
16,Pasoh,25.592,25.592,25.533,25.475,25.758,25.775,25.533,25.542,25.567,25.542,26.358,26.417,26.383,26.667,26.508,26.208,25.867,25.667,26.567,26.333,26.117,26.092,26.05,25.983,25.975,26.308,26.083,26.125,25.917,26.275,26.475,25.833,25.908,25.708,26.117,26.108,26.208,26.092,25.833,26.158,26.65,25.583,25.492,25.6,25.608,25.642,25.708,26.417,26.325,26.1,25.3,25.308,25.375,25.175,25.258,25.108,25.475,25.767,25.567,25.492,25.425,25.333,25.608,25.367,25.367,25.45,25.167,25.367,25.55,25.55,24.942,25.383,25.433,25.133,25.042,25.183,25.558,25.633,25.733,25.675,25.7,25.667,26.192,25.383,25.625,25.708,26.1,25.992,25.733,26.208,26.225,26.225,26.133,26.167,26.283,26.217,26.583,26.992,26.25,26.375,26.433,26.883,26.633,26.558,26.75,26.358,26.392,26.333,26.575,26.842,26.533,26.558
17,Palanan,24.917,24.958,24.258,23.742,24.208,24.467,24.158,24.142,24.458,24.108,23.917,24.283,24.208,24.267,24.658,24.175,23.675,24.008,24.408,24.45,23.942,24.55,24.025,24.367,24.183,24.267,24.483,24.533,24.142,24.667,24.95,24.283,24.658,24.1,24.492,24.5,24.542,24.367,24.333,24.367,24.983,24.8,24.283,24.575,24.433,25.033,25.108,25,24.742,24.75,24.933,25.25,25.142,25.142,24.55,24.758,25.058,24.775,25.067,25.158,24.975,24.558,24.133,24.592,24.475,24.858,24.258,24.325,24.9,24.975,24.175,24.642,25.117,24.883,24.975,24.6,24.817,24.8,24.742,24.908,24.558,24.858,25.525,25.075,25.092,24.633,25.208,25.258,25.225,25.042,25.108,25.142,24.867,25.175,24.925,24.808,24.775,25.825,25.125,25.258,25.225,25.142,25.083,25.083,24.983,25.608,25.492,25.133,25.108,25.5,25.192,25.583
18,Bukit Timah,26.758,26.758,26.75,26.742,26.767,26.792,26.75,26.75,26.758,26.75,27.508,27.592,27.492,27.8,27.658,27.342,26.942,26.717,27.675,27.483,27.233,27.267,27.192,27.125,27.067,27.425,27.2,27.208,26.967,27.4,27.583,26.9,26.967,26.75,27.25,27.208,27.325,27.192,27.075,27.5,27.942,26.758,26.758,26.758,26.758,26.783,26.8,27.5,27.433,27.133,26.983,27.058,26.967,26.617,26.625,26.292,26.683,27.008,26.733,26.742,26.8,26.483,26.708,26.475,26.583,26.8,26.45,26.333,26.55,26.408,26.108,26.45,26.333,26.033,26.225,26.35,26.667,26.808,26.883,26.942,27.083,27.383,27.533,26.733,27.183,27.158,27.433,27.292,26.983,27.55,27.492,27.417,27.483,27.65,27.642,27.542,28.108,28.033,27.558,27.525,27.658,28.092,27.583,27.667,27.792,27.533,27.458,27.433,27.667,27.75,27.383,27.55
19,Sinharaja,26.2,26.025,26.117,25.508,25.95,25.983,25.683,25.767,25.683,26.092,26.667,26.325,25.983,26.392,26.358,25.858,25.892,26.092,26.317,26.042,26.175,25.992,25.7,26.025,25.842,26.217,26.008,26.308,26,26.092,26.283,26.017,25.8,25.833,25.967,26.1,26.308,26.35,26.117,26.5,26.508,26.358,25.992,26.05,26.225,26.417,26.208,26.325,26.142,26.267,26.108,26.367,26.333,25.958,25.883,25.9,26.217,26.542,26.242,26.142,26.117,26.225,26.15,26.442,26.475,26.617,26.317,26.383,26.542,26.442,26.167,26.583,26.733,26.167,26.242,26.392,26.4,26.567,26.725,26.875,26.533,26.4,26.867,26.375,26.467,26.458,27.058,26.942,26.633,26.917,26.75,26.642,26.667,26.658,26.983,26.758,26.925,27.475,26.683,26.783,27.1,27.117,27.142,27.033,27.058,26.9,26.883,26.7,26.983,27.175,27.042,27.125
20,Fushan,19.808,20.408,20.1,20.108,20.483,20.808,20.458,20.525,21,20.392,20.458,20.392,20.6,20.65,21.05,20.708,19.675,19.925,20.35,20.458,20.392,20.45,20.317,20.375,19.975,20.183,20.075,20.342,20.325,20.792,20.667,20.3,20.733,20.233,20.55,20.4,20.967,20.783,20.258,20.45,21.192,20.858,20.383,20.55,20.383,21.042,20.4,20.95,20.967,20.625,20.9,21.242,21.283,21.425,20.758,20.825,20.825,20.958,21.208,21.075,21.217,20.658,20.525,21.067,20.8,21.292,20.583,20.325,20.617,20.817,20.5,20.708,21.083,20.892,21.042,20.658,21.5,21.175,21.275,21.333,21.167,21.175,21.4,20.675,20.958,20.508,21.317,21.042,20.892,21.533,21.233,20.767,21.225,21.7,20.883,21.1,21.342,22.333,21.592,21.783,21.783,21.858,21.775,21.633,21.317,21.908,22.067,21.592,21.742,21.617,21.275,21.433
21,Kenting,22.225,22.858,22.442,22.1,22.608,22.808,22.425,22.542,22.883,22.517,22.442,22.8,22.575,22.667,23.133,22.617,21.85,22.192,22.742,22.733,22.392,22.85,22.258,22.517,22.225,22.45,22.525,22.792,22.417,23.133,23.175,22.433,22.933,22.4,22.833,22.742,23.125,22.925,22.4,22.625,23.483,23.267,22.625,22.7,22.55,23.308,22.792,23.058,23.292,23.142,23.292,23.8,23.575,23.8,23.092,23.2,23.283,23.342,23.6,23.625,23.458,23.15,22.925,23.492,23.383,23.625,23,22.675,23.375,23.475,22.9,23.092,23.575,23.392,23.383,23.142,23.475,22.925,22.775,23.65,23.367,23.05,23.192,22.808,22.983,22.45,23.492,23.408,23.067,23.333,23.4,23.233,23.408,23.6,23.167,23.208,23.175,24.258,23.342,23.625,23.692,23.792,23.808,23.758,23.492,24.183,24.192,23.75,23.717,23.825,23.65,23.925
22,Lienhuachih,15.325,15.8,15.117,14.917,15.258,15.467,15.392,15.583,15.725,15.483,15.483,15.567,15.4,15.875,16.175,15.658,14.633,15.075,15.4,15.375,15.3,15.65,15.4,15.525,15.2,15.425,15.167,15.725,15.592,15.917,16.125,15.383,15.875,15.758,16.208,15.958,16.425,16.392,15.975,15.942,16.8,16.283,15.758,16.175,15.725,16.408,15.925,16.525,16.442,16.15,16.375,16.742,16.7,16.458,15.725,16.142,16.108,16.042,16.267,16.258,16.2,15.592,15.392,16.158,15.892,16.658,16,15.333,16.2,16.508,15.767,15.95,16.342,16.1,16.083,15.658,16.083,16.158,16.025,16.492,16.375,16.283,16.367,16.083,16.258,16.183,16.75,16.6,16.1,16.475,16.758,16.125,16.575,16.792,16.4,16.633,16.558,17.583,16.983,16.842,17.15,17.225,16.983,16.992,16.567,17.233,17.367,16.842,16.842,16.783,16.592,16.775
23,Nanjenshan,21.975,22.575,22.142,21.842,22.35,22.558,22.217,22.283,22.65,22.267,22.233,22.55,22.317,22.458,22.875,22.392,21.575,21.958,22.483,22.483,22.15,22.6,22.008,22.233,21.975,22.15,22.192,22.542,22.242,22.908,22.9,22.2,22.733,22.167,22.625,22.55,22.992,22.792,22.217,22.358,23.15,22.992,22.417,22.583,22.417,23.2,22.475,22.85,23.05,22.883,22.933,23.45,23.158,23.6,22.875,22.9,22.958,23.075,23.342,23.283,23.233,22.892,22.725,23.208,23.133,23.458,22.742,22.317,22.842,23.117,22.65,22.817,23.333,23.025,23.1,22.842,23.208,22.833,22.825,23.442,23.125,22.992,23.092,22.733,22.8,22.442,23.292,23.158,22.992,23.417,23.383,23.142,23.317,23.383,22.783,22.875,22.867,23.942,23.133,23.35,23.6,23.708,23.633,23.642,23.317,24.008,24.042,23.575,23.55,23.625,23.442,23.692
