Id,Site ,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
24,Zenlun,16,16.483,15.917,15.667,16.142,16.35,16.2,16.283,16.542,16.192,16.233,16.383,16.183,16.517,16.858,16.333,15.442,15.858,16.258,16.258,16.083,16.433,16.067,16.183,15.933,16.05,15.925,16.483,16.367,16.742,16.817,16.092,16.592,16.442,16.842,16.658,17.125,17.033,16.558,16.683,17.508,17.058,16.5,16.833,16.433,17.05,16.542,17.167,17.117,16.842,17.092,17.5,17.342,17.317,16.633,16.967,16.917,16.9,17.125,16.983,16.942,16.467,16.325,17,16.717,17.475,16.808,16.15,16.992,17.292,16.508,16.75,17.192,16.983,16.992,16.55,16.825,16.892,16.875,17.358,17.108,17.008,17.158,16.925,17.092,16.783,17.65,17.467,16.942,17.217,17.442,16.908,17.333,17.608,17.158,17.383,17.275,18.225,17.525,17.508,17.825,17.908,17.725,17.75,17.333,18,18.117,17.6,17.608,17.6,17.4,17.608
25,Doi Inthanon,23.242,22.65,22.575,22.35,23.217,23.35,22.525,22.733,22.808,22.542,22.9,22.692,22.492,22.592,22.675,22.933,22.775,22.883,23.383,23.075,23.067,23.208,22.742,22.908,22.767,23.458,22.983,23.25,23.233,22.917,23.333,23.025,22.825,22.575,23.142,22.85,23.367,22.4,21.925,21.842,23.025,22.967,22.5,22.925,22.967,23.083,23.525,22.875,22.808,22.658,22.9,22.617,22.717,22.717,22.108,22.442,23.067,23.083,23.25,23.008,22.5,22.592,22.625,22.667,22.85,23.4,22.75,22.8,22.883,22.7,22.05,22.717,22.583,22.292,22.958,22.233,21.625,23.342,24.125,23.575,22.875,22.792,23.35,23.117,23.15,22.992,23.325,22.8,22.558,22.925,23.558,22.767,23,22.892,23.108,22.667,22.983,23.892,22.817,22.725,22.908,22.7,22.642,22.55,22.908,22.658,22.617,23.392,23.575,24.267,22.975,23.917
26,Huai Kha Khaeng,25.317,24.858,24.625,24.417,25.633,25.725,24.658,24.783,24.85,24.608,25.133,24.908,24.617,24.8,24.642,24.558,24.525,24.833,25.192,24.917,24.575,24.817,24.35,24.575,24.558,25.192,24.733,24.858,24.775,24.775,25.025,25.008,25.058,24.775,25.358,25.017,25.083,24.383,24.483,25.283,26.275,24.9,24.458,24.975,25.025,24.9,25.383,25.15,25.033,24.95,25.092,25.067,24.758,24.767,24.033,23.975,24.975,25.075,25.225,25.25,24.708,24.658,24.858,24.817,24.975,25.392,24.808,25.092,24.992,24.558,24.25,25.2,25.033,24.6,24.583,24.475,25.175,25.375,25.917,25.492,24.458,24.667,24.917,24.725,24.808,24.708,25.117,24.692,24.825,25.3,25.892,25.292,25.558,25.342,25.1,24.683,25.05,25.742,24.583,25.15,25.2,25.083,24.892,24.967,25.25,25.042,24.833,24.608,24.983,25.858,24.542,25.633
27,Khao Chong,27.225,26.675,26.533,26.375,27.25,27.25,26.525,26.583,26.583,26.492,27.392,27.392,27.283,27.525,27.342,27.025,26.825,26.85,27.5,27.217,26.933,26.942,26.85,26.867,26.892,27.317,27.008,27.083,26.908,27.133,27.333,27.008,27.167,26.925,27.275,27.175,27.158,26.95,26.875,26.933,27.6,26.617,26.4,26.717,26.742,26.975,27.083,27.467,27.375,27.242,26.425,26.442,26.492,26.45,26.2,26.1,26.742,26.833,26.75,26.767,26.542,26.492,26.55,26.608,26.467,26.708,26.45,26.608,26.883,26.742,26.325,26.85,26.875,26.458,26.317,26.308,26.867,26.867,27.067,26.867,26.508,26.558,26.908,26.425,26.533,26.617,27.117,26.867,26.633,27.025,27.05,26.883,26.792,26.95,27.058,27.133,27.292,27.742,26.833,27.092,27.267,27.658,27.533,27.625,27.542,27.508,27.1,27.058,27.217,27.658,27.1,27.425
28,Mo Singto,27.358,27.133,26.808,26.558,28.042,28.058,26.85,26.908,26.958,26.775,27.417,27.2,26.733,27.133,26.783,26.392,26.367,26.875,27.092,26.883,26.308,26.708,26.292,26.567,26.492,27.033,26.617,26.692,26.558,26.642,26.883,27.05,27.225,26.942,27.642,27.133,26.842,26.5,26.358,26.992,27.9,27.05,26.65,27.175,27.142,27.567,27.433,26.625,26.858,26.742,26.875,26.858,26.875,26.808,26.35,26.4,27,27.05,27.192,27.25,26.85,26.642,26.458,26.775,26.942,27.6,26.942,27.483,27.567,27.292,26.492,27.292,27.3,26.75,27.058,26.967,27.325,27.567,28.05,27.592,26.617,26.692,26.992,26.75,26.8,26.775,27.242,26.942,27.05,27.4,27.85,27.575,27.475,27.683,27.408,27.342,28.058,28.467,27.192,27.408,27.733,27.95,27.775,27.75,27.858,27.95,27.592,27.158,27.517,28.125,27.033,28.008
29,Haliburton Forest,4.05,3.9,4.0083,1.825,2.975,3.9917,2.8083,3.85,3.7833,3.8833,4.2333,2.9333,4.85,3.4167,4.725,4.05,1.825,3.5417,4.7917,3.5583,5.4083,4.35,3.4333,3.1667,3.6583,2.6083,4.2917,3.7417,3.4583,4.7417,5.8583,5.425,4.4833,3.1667,3.3833,3.3667,4.5833,4.7083,3.6,2.7917,4.2167,4.4583,2.9083,4.475,4.15,4.7083,4.05,4.2583,5.1333,3.5333,4.2167,5.1333,5.7417,4.0667,4.7917,3.7917,4.3667,3.5333,3.7833,3.6,4.3583,3.625,3.4917,4.6833,3.5917,4.125,3.8667,4.2917,4.4,3.875,4.3583,3.1833,5.2833,3.975,4.825,3.2083,4.25,3.2667,4.3583,3.4917,4.4083,4.2667,5.0917,5.0167,4.2583,4.825,5.9,4.8833,3.4167,5.3833,5.3917,3.6,3.9833,4.0833,4.225,4,3.8833,6.4667,5.7833,4.3417,5.825,5.3417,4.05,4.0917,5.0917,6.0083,4.725,4.425,4.05,5.9417,5.5083,6.7583
30,Scotty Creek ,-3.875,-4.675,-3.5917,-3.8417,-2.375,-2.825,-4.3583,-3.9333,-5.0583,-4.1917,-4.225,-3.2,-4.8583,-4.4,-3.025,-4.0417,-5.7583,-5.7833,-5.0833,-4.2667,-3.4667,-4.5583,-3.425,-3.95,-4.4333,-2.9833,-4.575,-2.7167,-3.675,-3.0833,-2.2583,-4.625,-5.8833,-3.5833,-4.3667,-5.5333,-2.8083,-2.1583,-3.7083,-2.725,-3.5083,-2.475,-1.6667,-1.1667,-3.7083,-3.9917,-3.6917,-4.0167,-2.65,-4.5917,-4.7917,-2.6417,-2.2167,-3.3333,-4.8833,-4.5083,-3.1583,-2.5167,-4.2667,-3.4,-4.925,-3.0583,-3.3417,-4.2,-3.8167,-5.2083,-3.825,-3.8,-3.425,-3.3083,-4.1,-4.9583,-2.9583,-5.0333,-3.8333,-1.9833,-2.5417,-3.0417,-3.475,-2.3167,-1.5667,-5.2917,-4.2667,-3.6583,-3.325,-3.0667,-1.2083,-2.8333,-3.0833,-3.9833,-2.625,-3.0667,-1.2083,-2.6833,-2.6583,-3.8,-2.1417,-0.81667,-1.8167,-2.4417,-2.2,-3.0833,-2.2583,-3.225,-1.35,-2.0167,-2.7333,-2.9917,-3.725,-1.7083,-2.325,-2.45
31,Harvard Forest,7.4583,7.5333,7.4167,5.8417,6.825,7.675,6.5583,7.9333,7.55,7.7833,7.9667,7.225,8.725,6.8667,8.125,7.0833,6.25,7.3083,8.2417,7.3,8.7833,7.825,7.1583,7.0167,7.8167,6.4417,8.0833,8.1417,8.0167,8.6167,8.8,8.175,8.1,7.4083,7.425,7.7583,8.4917,8.625,7.7667,6.85,8.7083,8.9083,7.9667,8.5917,8.675,8.975,8.85,8.6667,9.7167,8.175,8.5417,8.8333,9.5333,8.4333,8.6,7.6917,8.8,7.3917,8.7833,7.975,7.9083,7.3667,7.4667,7.9167,7.5833,8,7.6917,7.8833,8.3417,7.9167,8.025,7.275,9.5,8.55,9.2417,8.0917,8.4583,7.6333,8.775,8.025,8.45,8,8.8917,8.8333,8.4667,8.5333,8.5833,8.4417,8.0333,9.6833,9.5,7.7333,8.2583,7.9917,8.3917,8.425,8.3,9.9667,9.4333,8.375,8.9583,9.25,8.0833,8.575,8.75,9.8583,8.7917,8.8167,8.325,10.067,9.475,10.483
32,Lilly Dickey Woods,10.933,11.308,10.775,10.042,11.017,11.675,11.1,12.183,11.267,10.733,12.05,10.125,12.408,11.483,11.192,11.192,9.6167,11.1,11.975,10.925,13.325,12.492,11.467,10.275,11.567,10.617,11.658,10.883,10.583,11.958,12.775,11.817,12.683,12.083,11.508,11.733,10.825,12.3,12.175,10.375,12.133,11.525,11.192,11.817,11.033,12.558,11.05,11.45,12.208,10.833,10.967,12.2,12.483,12.667,11.917,11.925,11.692,10.333,11.925,10.783,10.983,10.942,10.467,11.792,11.717,10.908,11.15,11.042,10.808,11.333,11.642,10.883,12.342,11.492,11.908,10.708,11.417,10.367,10.425,11.042,11.15,11.208,11.833,11.642,11.392,12.042,12.467,11.383,10.825,12.583,12.925,11.617,11.225,11.567,11.358,10.558,10.908,13.358,12.55,11.483,12.417,12.567,11.217,12.125,12.275,12.567,12.967,11.692,11.8,12.683,12.95,13.842
33,Santa Cruz,12.517,12.508,12.542,13.033,13.033,13.408,13.158,12.417,12.45,12.525,12.4,13.167,13.058,13.208,13.317,12.683,12.925,13.283,12.808,12.942,13.425,12.833,13.542,13.367,14.05,14.608,13.533,13.533,13.292,13.758,14.133,13.192,12.675,14.2,13.383,14.192,13.283,13.492,13.8,14.025,14.3,13.108,13.692,13.242,13.65,13.367,13.908,13.1,12.958,13.4,13.325,13.325,13.467,13.475,12.908,13.433,14.233,15.308,14.95,13.908,14.083,13.408,13.825,13.658,13.633,13.842,13.992,13.942,13.925,14.208,13.325,14.008,13.875,13.608,13.15,14.2,14.083,14.192,14.317,14.258,14.575,13.8,14.933,14.783,14.142,14.675,14.758,14.658,14.15,14.325,14.092,15.317,14.808,14.025,14.925,14.933,15.458,14.175,13.7,14.658,14.525,14.55,14.9,15.183,14.933,14.517,14.425,14.392,14.65,14.783,14.008,14.367
34,SCBI,11.508,12.358,12.592,11.617,12.392,13.183,11.992,12.775,12.675,12.425,13.25,12.092,13.608,12.175,12.667,12.725,11.175,12.7,13.2,11.825,14.308,13.667,12.508,11.092,12.967,12.592,13.433,12.275,12.275,13.75,13.9,13.375,13.617,13.042,12.775,13,13.15,13.508,13.258,12.108,13.567,13.383,13.25,13.208,13.275,13.767,12.967,13.033,14.142,12.767,13.083,13.483,14.092,13.492,13.242,13.325,13.383,11.692,13.025,11.558,12.558,12,12.242,12.958,12.892,12.067,12,12.325,12.033,12.358,12.833,12.417,13.333,13.05,13.058,12.333,12.908,11.892,12.35,12.675,12.375,12.775,12.592,12.883,13.183,12.625,13.192,12.5,12.183,13.942,13.892,12.567,12.708,12.758,12.625,11.975,10.975,12.75,11.792,11.275,13.225,13.567,12.383,13.192,13.392,13.95,13.7,13.325,13,12.35,12.858,13.292
35,SERC,12.4,13.225,12.825,11.592,12.55,13.417,12.233,13.075,13.05,12.975,13.725,12.792,14.317,12.867,13.242,12.992,12.475,13.625,14.033,13.067,15.025,13.892,13.675,12.65,13.608,12.767,13.542,13.333,13.558,13.867,14.283,14.117,14.133,13.283,13.1,13.783,13.975,14.458,14.483,12.725,14.408,14.242,14.158,13.892,14.133,14.6,13.592,13.8,14.992,13.692,14.083,14.442,14.992,14.508,14.15,14.017,14.283,12.742,14.533,13.133,13.533,13,13.292,14.017,13.633,13.35,13.225,13.708,13.433,13.658,13.475,13.15,14.342,14.167,13.867,13.108,13.95,12.658,13.283,13.5,13.192,13.642,13.583,13.85,14.375,14.308,14.292,13.575,13.325,15.133,15,13.342,13.742,14.342,14.325,13.658,13.425,14.85,13.992,13.225,13.992,14.375,13.067,13.883,14,14.875,14.4,14.117,13.625,14.583,15.092,15.642
36,Tyson Research Center,13.358,12.383,12.142,11.383,12.067,12.333,12.158,13.133,12.475,12.125,13.292,11.475,13.375,13.075,12.567,12.75,11.275,12.833,13.067,12.517,14.733,13.708,12.942,11.725,13.258,12.425,13.117,12.758,12.083,13.55,14.667,13.258,14.15,13.842,12.6,13.25,12.15,14.342,13.775,12.267,14,12.908,12.533,13.133,12.275,13.375,13.6,12.808,13.383,12.075,11.858,13.317,14.117,14.2,13.417,13.408,12.917,11.792,12.9,12.017,12.05,12.508,12.425,13.267,13.217,12.167,12.375,12.383,12.358,12.8,13.433,12.5,13.333,12.625,12.958,12.25,12.833,11.742,11.892,13.242,13.142,12.375,12.958,13.217,12.475,13.817,14.133,13.408,12.6,14.675,14.742,13.75,12.767,13.817,13.4,12.45,12.558,14.508,14.142,13.175,13.992,13.95,13.275,13.817,14.2,14.483,14.392,12.758,13.267,14.033,14.392,15.708
37,Wabikon Lake Forest,3.6917,3.7083,2.2833,1.5583,2.575,3.3667,2.075,3.7583,3.325,3.575,3.8,2.2583,3.7083,3.35,3.5667,2.7,1.2,3.3917,3.6833,3.5,5.4167,3.6583,3.3583,2.325,3.7417,2.65,3.5083,3.7167,2.6917,4.1333,5.8667,3.2917,3.4083,3.5667,3.45,3.0667,3.35,4.3,3.9667,2.8917,4.7083,3.8083,3.1417,4.6333,3.0417,4.2417,3.7667,3.8667,4.3,2.5417,3.1333,4.8583,5.2917,4.1333,4.325,3.7,3.5167,3.45,3.5167,3.4167,3.9083,3.3917,3.6333,4.075,3.2583,3.5083,2.8167,4.175,3.425,3.675,3.4583,2.4,4.85,3.4667,4.0167,3.0833,4.325,3.1917,2.8583,3.6333,4.2917,3.2583,4.525,4.2833,3.2583,4.15,5.2583,4,2.7167,4.5,4.275,3.4833,3.175,3.7833,3.7,2.45,3.5417,6.0667,4.9083,3.525,5.4,4.65,3.9667,4.2,5.0583,5.7917,4.3583,2.9083,3.0417,5.025,4.1167,6.075
38,Wind River,8.05,7.525,7.6083,8.9,8.45,9.0667,8.1667,7.5917,6.7583,7.7333,7.1167,7.5333,7.6,8.0917,8.3417,6.125,7.65,7.9083,7.0167,7.3833,7.7833,6.8417,8.0833,7.65,8.6333,9.0167,7.775,7.8333,7.675,7.65,7.9833,7.5583,7.65,9.7583,7.4417,8.125,7.5667,8.2667,8.5,8.8583,8.8167,7.9167,7.5917,8.0583,7.9083,7.6833,8.4167,7.0583,7.3167,6.9667,7.575,7.95,8.475,7.35,6.7417,7.5,7.6167,9.7417,8.1083,7.925,8.575,8.0833,8.175,7.3083,8.55,8.425,9.1,8.2917,7.9417,8.1083,7.75,7.7833,8.1667,8.2167,7.675,7.9583,8.1833,7.9333,8.0583,7.9583,8.65,7.6917,8.1917,7.75,7.025,8.7083,9.0417,8.625,8.2417,8.725,8.7667,9.8083,7.75,8.9333,9.0417,8.225,8.4167,8.8583,8.1583,7.8583,8.0583,8.275,9.0083,8.9833,8.2333,8.5833,8,7.7667,8.125,8.1167,7.45,8.425
39,Yosemite National Park,9.5917,9.1417,9.0917,9.8917,9.5083,9.9333,8.1917,8.8333,8.5667,9.2667,7.8833,7.7917,7.9917,8.7083,9.925,9.9,9.075,8.5083,8.0167,7.5583,8.825,7.7083,8.15,8.4667,9.0417,10.917,9.6833,10.483,9.8083,9.25,9.825,9.0583,9.5417,11.183,9.0667,10,9.2333,8.925,9.975,10.367,9.2167,9.2083,10.108,9.15,9.5417,9.4583,9.975,8.7583,9.05,10.183,9.7167,8.9667,9.275,9.8167,9.0417,9.3833,9.25,9.9167,10.5,9.9,9.9917,9.5583,9.5167,9.6333,9.3,10.275,9.6417,9.7583,9.4667,10.45,9.1833,9.8,9.8,10.317,9.2,10.283,10.842,10.075,10.2,10.683,11.158,8.9333,9.4167,10.65,9.9917,10.608,10.775,10.933,10.183,10.142,10.592,11.117,10.108,10.275,10.467,11.125,10.817,9.8417,10.633,11.042,11.575,11.3,11.8,11.458,11.425,11.308,11.492,11.55,11.383,11.033,10.75,12.15
40,Ilha do Cardoso,19.3,20.408,19.775,19.392,19.858,19.85,19.45,19.433,19.267,19.475,19.317,19.792,19.908,20.683,20.342,19.683,18.475,18.833,19.458,19.742,19.408,19.8,19.775,19.292,19.842,19.933,19.567,20.192,19.7,20.1,19.708,20.375,19.4,20.1,19.717,20.067,19.375,19.708,19.808,20.508,20.167,19.608,19.708,20.167,19.85,19.917,19.3,19.733,20.008,20.267,19.492,20.292,20.292,20.525,20.025,19.717,20.292,21.025,21.242,20.358,21.183,19.508,20.8,19.725,20.475,20.525,20.617,19.65,20.258,20.392,20.125,20.508,20.583,20.283,20.542,20.083,21.258,20.55,19.933,20.742,20.758,20.708,20.95,21.1,20.942,21.2,20.817,20.375,20.5,20.933,21,21.017,20.925,21.058,21.417,20.967,21.35,21.317,20.75,20.967,21.833,22.217,21.6,20.967,21.7,21.558,21.7,21.025,21.633,21.492,21.158,21.95
41,Manaus,27.008,26.992,27.025,26.925,26.9,26.842,26.867,26.875,26.942,27.05,27.325,27.458,27.375,27.792,27.458,26.992,26.517,26.942,27.083,26.95,26.617,26.4,26.575,26.758,26.942,26.9,26.008,26.275,26.258,26.358,26.592,26.567,26.292,26.267,26.817,27.025,27.025,26.875,27.058,27.308,27.392,27.217,26.908,27.192,27.192,27.05,27.067,26.975,26.683,26.892,27.1,27.167,27.167,27.233,26.7,26.442,27.275,27.683,27.108,26.617,26.742,26.867,27.208,26.992,27.067,27.208,27.183,26.808,27.45,27.083,26.733,27.192,27.217,26.85,26.792,27.075,26.842,26.558,27.142,27.05,26.892,27.058,27.183,26.658,26.8,26.917,27.625,27.142,26.667,27.325,27.325,27.342,27.025,26.975,27.558,27.133,27.617,27.517,26.617,26.958,27.508,27.542,27.708,27.617,27.867,27.567,27.425,27.108,27.917,28.067,27.9,27.95
42,Amacayacu,25.825,25.825,25.825,25.825,25.825,25.825,25.825,25.825,25.825,25.733,25.825,25.892,25.825,25.925,25.933,25.725,25.542,25.775,25.917,25.867,25.408,25.717,25.583,25.7,25.75,25.842,25.5,25.608,25.6,25.642,25.917,25.675,25.575,25.492,25.675,25.708,25.925,25.75,25.708,26.042,26.425,26.142,26.142,26.2,26.158,25.9,25.742,25.625,25.75,25.475,25.492,25.408,25.667,25.608,25.475,25.242,25.6,25.983,25.808,25.7,26.225,26.25,26.658,26.333,26.183,26.5,26.333,26.183,26.367,26.325,26.117,26.45,25.883,24.967,25.133,25.158,25.192,25.383,25.45,25.675,25.242,25.617,25.767,25.65,25.408,25.142,26,25.858,25.617,25.708,25.967,25.617,25.183,25.458,25.892,25.683,25.767,26.133,25.342,25.742,25.667,25.908,26.033,25.975,26.183,25.817,25.883,25.867,26.267,26.292,25.958,25.983
43,La Planada,16.142,16.142,16.142,16.142,16.142,16.142,16.142,16.142,16.142,16.142,16.142,16.142,16.142,16.142,16.383,16.242,16.058,16.025,16.142,16.142,15.967,16.033,15.958,16.075,15.925,16.292,16.075,16.092,16.133,16.158,16.333,16.117,16.033,15.933,16.067,16.275,16.208,16.033,16.142,15.933,16.667,16.017,16.408,17.042,16.767,16.775,16.192,16.458,15.933,15.742,16.417,16.208,16,15.6,15.717,15.842,16.875,16.475,16.317,16.208,16.392,16.225,16.558,16.092,16.183,16.258,15.867,15.842,16.233,16,15.308,16.508,15.658,15.3,15.233,15.742,16.233,15.933,16.075,16,16.208,16.525,16.983,15.792,15.917,16.175,16.842,16.4,16.025,16.358,16.392,16.558,16.3,16.233,16.475,15.883,16.583,16.85,15.575,15.442,15.867,16.1,15.925,15.892,15.708,15.883,15.492,15.433,16.55,16.25,15.867,16.05
44,Yasuni,25.975,25.975,25.975,25.975,25.975,25.975,25.975,25.975,25.975,25.9,25.95,25.992,25.992,25.975,26.125,26.008,25.825,25.917,25.958,25.925,25.817,25.9,25.8,25.925,25.767,26.117,25.908,25.925,25.975,25.983,26.142,25.942,25.875,25.792,25.9,26.108,25.983,25.875,25.867,25.9,26.375,25.933,26.408,26.6,26.425,26.208,25.933,26.283,25.892,25.517,26.008,25.858,25.825,25.608,25.542,25.542,26.35,26.242,26.133,26.092,26.292,26.208,26.458,26.167,26.008,26.133,25.85,25.808,26.142,25.975,25.483,26.392,25.683,25.2,25.1,25.425,25.783,25.617,25.75,25.883,26.025,26.25,26.675,25.708,25.75,26.008,26.467,26.183,25.85,26.2,26.117,26.125,25.767,25.9,26.108,25.558,26.1,26.425,25.383,25.525,25.558,25.95,25.925,25.75,25.65,25.642,25.383,25.4,26.3,26.142,25.675,25.817
45,Barro Colorado Island,25.958,25.958,25.958,25.958,25.958,25.958,25.958,25.958,25.958,25.958,25.958,25.958,25.958,25.958,26.242,26.058,25.858,25.858,25.958,25.958,25.817,25.775,25.842,25.942,25.842,26.075,25.708,25.842,25.892,25.883,26.167,25.958,25.983,25.942,25.958,26.408,26.175,25.85,25.942,26.083,26.8,26.183,25.833,25.958,26.167,26.342,26.175,26.05,25.692,25.25,25.967,26.058,26.092,25.775,25.65,26.508,26.783,26.817,26.233,26.142,25.958,25.608,26.033,25.883,25.967,26.075,25.725,25.558,26.167,25.858,25.6,26.233,26.2,25.433,25.025,25.6,25.733,25.992,26.133,26.108,25.875,26.108,26.708,25.75,25.95,26.117,26.525,26.15,25.958,26.508,26.508,26.617,26.675,26.542,26.6,26.008,26.517,26.692,25.783,25.942,26.358,26.45,26.625,26.342,26.225,26.5,26.258,26.075,26.625,26.475,26.325,26.125
46,Cocoli,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.583,26.408,26.2,26.192,26.3,26.3,26.125,26.1,26.175,26.283,26.158,26.417,26.05,26.208,26.242,26.25,26.508,26.308,26.25,26.183,26.233,26.7,26.508,26.225,26.292,26.417,27.167,26.517,26.192,26.325,26.433,26.592,26.367,26.325,25.975,25.558,26.392,26.392,26.442,26.033,25.967,26.883,27.15,27.2,26.617,26.525,26.283,25.892,26.375,26.225,26.333,26.458,26.083,25.892,26.517,26.167,25.917,26.6,26.517,25.767,25.225,25.867,25.908,26.283,26.442,26.458,26.158,26.483,27.1,26.1,26.342,26.542,26.917,26.533,26.342,26.967,26.825,26.967,27,26.883,26.958,26.292,26.85,27.008,26.033,26.217,26.642,26.75,26.925,26.617,26.517,26.767,26.533,26.35,26.933,26.758,26.65,26.45
47,San Lorenzo/ Sherman,25.958,25.958,25.958,25.958,25.958,25.958,25.958,25.958,25.958,25.958,25.958,25.958,25.958,25.958,26.242,26.058,25.858,25.858,25.958,25.958,25.817,25.775,25.842,25.942,25.842,26.075,25.708,25.842,25.892,25.883,26.167,25.958,25.983,25.942,25.958,26.408,26.175,25.85,25.942,26.083,26.8,26.183,25.833,25.958,26.167,26.342,26.175,26.05,25.692,25.25,25.967,26.058,26.092,25.775,25.65,26.508,26.783,26.817,26.233,26.142,25.958,25.608,26.033,25.883,25.967,26.075,25.725,25.558,26.167,25.858,25.6,26.233,26.2,25.433,25.025,25.6,25.733,25.992,26.133,26.108,25.875,26.108,26.708,25.75,25.95,26.117,26.525,26.15,25.958,26.508,26.508,26.617,26.675,26.542,26.6,26.008,26.517,26.692,25.783,25.942,26.358,26.45,26.625,26.342,26.225,26.5,26.258,26.075,26.625,26.475,26.325,26.125
48,Luquillo,24.875,24.542,24.808,24.258,24.592,24.492,24.208,24.667,24.258,24.142,24.4,24.783,24.042,24.3,24.767,24.2,24,23.967,24.25,24.325,24.25,24.242,24.158,24.583,24.433,24.65,24.267,24.342,24.133,24.558,25.242,25.05,24.858,24.608,24.383,24.7,24.958,24.283,24.425,25.125,25.05,25.283,24.592,24.583,24.267,24.417,24.792,25.05,24.592,24.3,24.85,24.725,24.725,24.558,24.925,24.608,25.075,25.675,25.533,25.592,25.308,25.208,25.45,25.85,25.35,25.458,25.083,25.567,25.792,25.492,25.25,25.208,25.083,25.3,25.142,25.108,25.467,25.383,24.942,25.658,25.458,24.942,25.808,25.233,25.342,25.392,25.817,25.642,25.275,25.85,26,25.85,26.125,26.067,25.967,25.5,25.358,25.85,25.283,25.117,25.567,25.517,25.4,25.15,25.492,25.408,25.675,25.225,25.767,25.775,25.208,25.958
49,Laupahoehoe ,17.642,17.325,17.558,17.55,17.808,18.1,17.975,17.267,17.375,17.292,17.275,17.425,17.508,17.558,17.867,17.35,17.792,18.375,18.008,18.292,18.308,18.042,18.142,17.925,18.083,18.525,18.267,17.842,18.05,18.283,18.375,18.2,17.6,18.567,18.35,18.383,18.575,18.85,18.058,18.842,18.233,17.967,18.1,17.817,18.35,18.225,17.892,17.875,17.283,18.15,18.225,17.658,17.85,18.15,17.25,18,18.192,18.133,18.383,18.183,18.483,18.175,18.633,18.208,18.242,18.8,19.533,19.483,18.608,18.342,18.417,18.533,18.733,19.067,18.35,18.533,19.45,18.992,18.475,19.108,18.792,18.583,18.35,18.683,17.983,19.4,18.825,19.075,18.358,18.808,18.95,19.083,18.617,19.133,19.525,19.4,19.35,18.133,17.717,18.358,18.45,18.792,19.125,19.442,19.142,18.667,18.85,18.542,18.217,18.458,18.583,18.375
50,Palamanui,16.35,16.042,16.283,16.283,16.425,16.767,16.675,16.008,16.067,15.983,16.017,16.183,16.275,16.267,16.575,16.117,16.517,17.025,16.725,17.008,16.992,16.725,16.825,16.608,16.783,17.217,16.942,16.558,16.75,16.975,17.042,16.85,16.283,17.25,17.042,17.042,17.183,17.5,16.75,17.5,16.933,16.675,16.817,16.517,17.092,16.908,16.608,16.575,16.058,16.875,16.992,16.425,16.617,16.892,16.017,16.775,16.95,16.833,17.125,16.933,17.242,16.933,17.333,16.983,16.95,17.475,18.142,18.117,17.233,17.092,17.292,17.25,17.492,17.792,17.108,17.25,18.125,17.7,17.325,17.833,17.583,17.417,17.1,17.617,16.875,18.192,17.642,17.9,17.233,17.567,17.842,17.883,17.375,17.917,18.167,18.117,18.008,16.983,16.625,17.208,17.308,17.592,17.908,18.192,17.9,17.417,17.642,17.392,17.083,17.258,17.442,17.192
51,Badagongshan,13.567,14.058,13.567,13.583,13.208,13.092,13.375,13.658,13.625,12.967,13.167,13.4,13.425,14.075,13.517,13.283,13.342,13.283,14.017,13.633,13.417,13.917,14.2,14.033,14.233,14.208,14.317,14.742,13.942,13.958,13.842,14.108,13.883,13.592,13.892,13.517,13.642,14.567,14.442,14.55,14.933,14.792,14.45,13.908,14.667,14.883,14.467,14.292,14.567,13.442,13.817,13.8,14.3,13.258,13.717,13.508,13.483,13.775,14.292,13.942,14.458,13.842,14.133,13.525,13.842,14.317,13.458,13.808,13.492,13.583,13.367,13.742,13.942,13.625,13.867,13.342,13.9,14.308,14.058,13.45,13.725,13.425,13.842,13.175,13.525,13.792,13.842,13.842,13.192,14.217,13.55,13.908,13.342,14.108,14.208,13.5,14.183,14.833,14.558,13.983,14.55,14.483,13.95,14.7,14.233,14.883,14.8,14.158,14.367,14.15,14.058,13.692
