Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
12,Xishuangbanna,62.825,60.992,63.558,62.225,63.25,63.083,59.325,61.108,61.583,62.875,64.408,61.958,61.283,63.992,64.517,63.158,64.358,62.883,60.742,65.658,63.95,65.1,65.067,64.542,64.467,65.583,68.433,61.917,60.267,61.675,66.042,63.475,63.333,62.85,64.225,61.342,62.75,63.308,60.45,65.35,63.033,61.65,61.883,61.433,63.208,66.758,64.083,61.075,66.833,65.317,63.567,65.633,59.2,61.808,63.2,60.392,66.567,62.85,58.692,55.233,63.475,56.067
13,Mudumalai,48.983,47.158,48.075,48.717,51.917,51.308,51.8,50.825,50.383,49.983,52.55,50.75,49.758,48.958,48.808,50.025,48.617,49.992,49.383,50.45,50.008,49.392,50.15,48.592,51.475,48.892,51,51.517,51.767,49.742,50.3,50.25,50.225,50.2,50.083,50.142,50.142,50.15,50.125,50.133,50.125,50.125,50.125,50.125,50.125,52.808,51.792,52.083,50.258,51.642,54.742,51.025,47.3,49.442,53.842,52.642,53.083,51.767,51.758,54.242,51.808,50.167
14,Danum Valley,71.617,71.467,67.542,66.833,68.7,68.608,67.458,69.083,69.533,70.092,69.983,73.05,74.167,70.708,71.192,69.583,69.725,67.642,69.025,70.383,68.492,64.792,68.425,69.267,70.217,68.958,72.083,69.775,69.858,67.742,68.958,67.542,67.6,71.658,68.533,70.267,70.767,72.525,71.292,69.842,71.775,69.575,72.525,72.642,74.3,69.342,61.967,63.292,72.742,70.592,69.625,62.908,67.992,66.883,69.5,71.417,70.475,71.392,70.6,68.192,72.258,68.342
15,Lambir,70.758,71.117,67.217,67.783,69.058,70.375,69.775,70.883,72.017,71.308,70.55,73.317,75.342,72.242,70.15,69.708,69.517,68.875,72.067,72.233,70.692,68.683,71.375,71.725,70.367,70.808,73.45,70.525,70.458,69.25,69.783,68.558,70.55,72.767,70.25,72.15,72.467,73.792,71.917,71.392,72.45,70.967,72,71.742,74.008,69.7,64.258,65.725,72.183,70.675,70.825,63.95,71.083,69.308,73.167,73.525,71.242,73.3,71.833,69.508,75.617,70.05
16,Pasoh,77.808,77.725,77.242,77.917,73.45,74.258,75.217,73.075,74.875,74.325,74.442,74.892,73.492,74.875,72.192,73.983,76.108,71.308,71.875,73.867,73.975,71.392,74.667,73.658,72.95,71.425,71.825,74.35,72.442,73.158,71.492,72.667,72.4,74.675,71.65,73.9,74.258,75.383,74.467,72.858,73.942,73.125,73.208,75.133,76.25,73.092,73.9,69.342,75.35,75.6,74.817,68.15,75.433,69.625,70.392,73.733,75.242,77.15,71.758,73.883,74.825,74.692
17,Palanan,66.792,66.925,68.05,63.783,64.767,69.45,66.8,66.333,64.733,65.933,63.742,62.475,64.233,64.825,65.075,66.142,67.1,62.042,63.542,66.892,67.042,65.35,62.742,65.75,65,64.508,65.633,66.342,65.483,64.358,63.508,64.367,65.283,65.783,65.175,66.1,64.867,66.242,64.85,66.042,65.6,64.892,65.617,64.567,65.733,62.267,62.567,65.15,68.767,66.85,67.708,65.492,62.208,62.725,63.65,62.6,62.717,64.942,66.367,61.258,67.783,63.783
18,Bukit Timah,78.383,78.433,77.7,78.583,73.925,74.467,75.842,73.833,75.717,74.925,74.642,75.658,74.975,76.008,72.575,74.375,77.483,72.875,72.692,75.158,73.583,71.817,75.333,74.333,71.542,71.433,72.358,76.367,74.067,73.45,72.417,73.658,73.425,75.458,72.142,74.6,75.333,76.442,75.267,73.708,75.167,73.5,73.675,76.042,76.992,72.367,72.267,72.5,72.925,76.233,75.017,67.467,76.6,70.767,70.042,74.167,77.067,78.308,71.1,73.758,74.692,75.133
19,Sinharaja,63.75,63.017,63.242,63.708,65.7,65.317,66.008,65.117,64.433,65.167,65.75,64.917,64.558,62.9,63.517,63.767,63.383,64.217,63.575,64.642,63.492,63.625,63.9,62.067,64.467,62.65,64.683,65.142,66.192,64.167,64.167,64.092,64.092,64.158,64.092,64.1,64.092,64.083,64.092,64.092,64.092,64.092,64.092,64.092,64.092,65.042,65.058,64.992,64.525,65.425,65.358,66.025,62.375,64.592,64.917,67.942,65.05,63.767,64.175,67.983,65.292,66.2
20,Fushan,78.367,77.533,77.85,75,70.375,75.133,74.975,71.55,73.325,71.825,71.567,66.633,61.483,68.958,69.6,69.842,68.917,68.758,69.775,75.4,66.142,70.458,76.483,76.3,76.8,71.975,69.975,72.425,70.717,71.608,73.883,70.717,72.692,73.175,73.867,72.05,73.208,75.117,73.667,75.233,73.825,71.583,70.35,68.075,68.958,70.867,73.167,75.058,73.883,74.758,71.483,70.433,68.417,67.983,75.558,77.183,73.992,73.442,70.175,75.458,75.725,78.1
21,Kenting,70.317,69.633,71.75,68.408,65.375,70.8,69.408,67.625,67.108,67.333,66.392,62.492,59.308,65.533,66.142,66.558,66.533,64.208,65.5,70.8,66.758,70.233,68.775,71.875,72.25,64.992,64.075,69.25,65.592,63.733,66.575,69,67.35,68.008,69.508,69.108,67.108,69.417,69.25,73.25,68.008,67.475,64.683,65.408,65.15,64.75,66.067,69.042,68.817,68.867,67.417,65.467,63.408,63.192,69.692,70.242,68.842,69.583,67.575,68.525,71.267,71.4
