Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
11,Nonggang,1015.9,1067.6,1012.9,1037.2,1064.6,1052.4,1006.8,1095,1006.8,1052.4,1022,1049.4,1082.8,1009.8,1040.2,1040.2,1028.1,1009.8,1061.5,973.33,1043.3,1073.7,1031.1,1025,1019,1003.8,1049.4,1034.2,1055.5,1046.3,1019,1003.8,1070.7,1025,1031.1,1073.7,1076.8,1058.5,1085.9,1046.3,1107.2,1113.2,1095,1058.5,1049.4,1055.5,1025,1122.4,1058.5,1052.4,1003.8,1006.8,1104.1,1095,1067.6,1079.8,1061.5,1046.3,1137.6,1137.6,1073.7,1095
12,Xishuangbanna,1034.2,1049.4,1012.9,1015.9,991.58,1019,1073.7,1070.7,1043.3,1049.4,1012.9,1025,1064.6,1000.7,1034.2,1046.3,1006.8,1003.8,1079.8,1009.8,997.67,1009.8,1009.8,991.58,1046.3,991.58,955.08,1049.4,1110.2,1095,1019,1025,1055.5,1055.5,1019,1049.4,1052.4,1037.2,1058.5,1003.8,1052.4,1073.7,1052.4,1052.4,1052.4,1000.7,1022,1104.1,1019,1022,1022,1031.1,1076.8,1049.4,1070.7,1067.6,1006.8,1052.4,1128.5,1180.2,1034.2,1152.8
13,Mudumalai,1478.2,1505.6,1478.3,1472.2,1441.8,1438.7,1447.8,1453.9,1469.1,1472.2,1460,1484.3,1502.6,1526.9,1511.7,1508.7,1472.2,1478.2,1502.6,1469.1,1450.9,1499.5,1487.4,1505.6,1463,1511.7,1453.9,1441.8,1426.5,1472.2,1460,1472.2,1530,1475.2,1508.7,1499.5,1508.7,1508.7,1520.8,1499.5,1490.4,1496.5,1511.7,1496.5,1514.8,1493.5,1514.8,1517.8,1530,1493.5,1475.2,1508.7,1557.3,1487.4,1484.3,1493.5,1487.4,1478.2,1484.3,1487.4,1469.1,1520.8
14,Danum Valley,1085.9,1079.8,1131.5,1143.7,1113.2,1113.2,1131.5,1113.2,1095,1095,1088.9,1046.3,1025,1055.5,1076.8,1092,1101.1,1122.4,1110.2,1076.8,1122.4,1155.8,1110.2,1122.4,1125.4,1101.1,1055.5,1092,1095,1113.2,1119.3,1125.4,1137.6,1073.7,1113.3,1088.9,1104.1,1088.9,1095,1104.1,1082.8,1110.2,1076.8,1067.6,1049.4,1098,1168,1177.1,1061.5,1098,1119.3,1186.3,1122.4,1131.5,1101.1,1073.7,1079.8,1058.5,1088.9,1113.2,1073.7,1116.3
15,Lambir,1149.8,1134.5,1183.2,1171,1140.6,1140.6,1149.8,1143.7,1119.3,1134.5,1131.5,1085.9,1061.5,1098,1125.4,1134.5,1152.8,1155.8,1104.1,1082.8,1119.3,1161.9,1140.6,1116.3,1146.7,1101.1,1067.6,1113.2,1119.3,1131.5,1119.3,1140.6,1128.5,1070.7,1113.3,1079.8,1104.1,1082.8,1088.9,1107.2,1092,1113.2,1092,1095,1067.6,1125.4,1192.3,1204.5,1110.2,1125.4,1125.4,1216.7,1125.4,1143.7,1101.1,1098,1110.2,1058.5,1104.1,1116.3,1055.5,1128.5
16,Pasoh,1037.2,1028.1,1049.4,1037.2,1101.1,1085.9,1073.7,1104.1,1085.9,1085.9,1095,1082.8,1110.2,1073.7,1119.3,1085.9,1055.5,1122.4,1116.3,1082.8,1070.7,1116.3,1064.6,1092,1082.8,1131.5,1125.4,1098,1122.4,1110.2,1119.3,1107.2,1143.7,1076.8,1122.4,1110.2,1116.3,1095,1092,1143.7,1116.3,1140.6,1119.3,1119.3,1085.9,1125.4,1125.4,1198.4,1101.1,1095,1110.2,1204.5,1101.1,1171,1174.1,1104.1,1088.9,1073.7,1137.6,1128.5,1098,1113.3
17,Palanan,1219.7,1238,1238,1298.8,1231.9,1198.4,1253.2,1222.8,1265.3,1238,1250.1,1244,1174.1,1195.4,1189.3,1201.5,1168,1219.7,1274.5,1216.7,1180.2,1198.4,1265.3,1222.8,1241,1228.8,1210.6,1198.4,1204.5,1222.7,1228.8,1250.1,1277.5,1250.1,1247.1,1189.3,1222.8,1234.9,1277.5,1195.4,1234.9,1283.6,1210.6,1241,1213.6,1241,1219.7,1265.3,1171,1207.5,1186.2,1222.8,1256.2,1256.2,1238,1289.7,1268.4,1244,1207.5,1295.8,1219.7,1277.5
18,Bukit Timah,1107.2,1101.1,1119.3,1101.1,1146.7,1122.4,1119.3,1152.8,1122.4,1131.5,1149.8,1119.3,1131.5,1107.2,1171,1137.6,1098,1131.5,1140.6,1095,1122.4,1152.8,1088.9,1110.2,1149.8,1174.1,1161.9,1107.2,1146.7,1155.8,1168,1168,1189.3,1122.4,1195.4,1155.8,1161.9,1134.5,1137.6,1177.1,1171,1186.2,1177.1,1158.9,1149.8,1192.3,1222.7,1213.6,1186.2,1146.7,1168,1280.5,1155.8,1210.6,1241,1171,1131.5,1110.2,1198.4,1165,1140.6,1146.7
19,Sinharaja,1359.6,1384,1380.9,1347.5,1320.1,1323.1,1301.8,1356.6,1332.2,1353.5,1326.2,1344.4,1356.6,1399.2,1390,1374.8,1390,1368.8,1390,1374.8,1387,1411.3,1399.2,1405.2,1368.8,1374.8,1365.7,1353.5,1335.3,1377.9,1347.5,1332.3,1387,1390,1368.8,1359.6,1414.4,1426.5,1393.1,1399.2,1377.9,1399.2,1420.5,1396.1,1408.3,1374.8,1396.1,1429.6,1396.1,1362.7,1390,1371.8,1411.3,1399.2,1380.9,1353.5,1374.8,1365.7,1371.8,1359.6,1384,1359.6
20,Fushan,994.62,970.29,982.46,1058.5,1028.1,1025,1000.7,1040.2,1031.1,1028.1,1037.2,1049.4,1052.4,1052.4,1025,1061.5,1022,985.5,1022,988.54,1076.8,1031.1,970.29,988.54,1012.9,1055.5,1061.5,1034.2,1061.5,1055.5,1000.7,1067.6,1064.6,1006.8,1019,1040.3,1025,1000.7,1012.9,1031.1,1031.1,1046.3,1040.2,1104.1,1082.8,1067.6,1061.5,1107.2,1061.5,1107.2,1110.2,1128.5,1168,1195.4,1125.4,1137.6,1225.8,1183.2,1195.4,1107.2,1128.5,1070.7
21,Kenting,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
