Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
11,Nonggang,1631.9,1397.8,1649.9,1440.5,1438.5,1552.1,1182.5,1050.9,1604.1,1446.8,1318.6,1134.1,1013.6,1332.6,1420.2,1460.6,1243.9,1465.7,1037,1396.3,1536.8,1239.9,1702.2,1156.1,1519.7,1143.1,1150.6,1639.1,1366.6,1334.1,1433.2,1379.5,1261.3,1470.8,1440.8,1812.6,1329.1,1062.6,1106.1,1398.4,1212.3,1223.9,1246.8,1775.3,1300.4,1317.6,1401.2,1284.3,1332.2,1089.9,1822.5,1421.3,1297.7,1124.1,1453.4,1147.5,1159,1702.1,1124.5,1225.9,1214.1,1493.4
12,Xishuangbanna,1425.4,1518.8,1406.9,1216.2,1498.4,1347.2,1236.8,1521.6,1616.9,1377.5,1442.6,1192.3,1570.7,1513.8,1500.9,1404.1,1168.1,1412.7,1222.5,1429.5,1694.5,1491,1437.8,1231.4,1274.3,1568.4,1306.4,1705.3,1309,1285.6,1634.7,1513.1,1525,1259.1,1525.3,1380,1166.1,1223,1171.5,1626.1,1294.8,1206.9,1293.9,1856.4,1434.2,1470.1,1347.6,1308.9,1488.2,1543.7,1568,1516.5,1204.4,1555.1,1456.4,1243.2,1356.8,1603.3,1389.3,1333.6,1732,1457.8
13,Mudumalai,1114,887.2,1485.1,1426.1,1328.3,1141.6,1322.4,1389.2,1357.4,1236.6,1466.5,1323.5,1132.3,1671.3,664.4,1307.5,861.9,839.8,925.2,1003.4,1189.4,1199,1199.2,1000.4,1167.5,909.6,1240.1,1240.7,1278,971.3,1119.9,689.7,933,953.5,903.6,1022.6,939.5,1214,1013.5,919.7,1127.6,1078.9,936.5,1113.2,986.5,1039.8,1206,1367.7,1064.2,1066.1,1009.5,1034.6,930.1,1365.1,1106.3,1199.1,1474.6,1387.4,1209.2,1323.8,1107.1,793.2
14,Danum Valley,2359.4,2885.3,2609.2,2934.5,2925.3,3122.4,2316.3,2076.7,2515.6,2721.3,2439.4,3055.2,2962.1,2601.7,2894,2267.2,2696.6,2594,2244.3,2846,2644.6,2490,2232.6,2315.1,2571.9,2423.6,2804.9,2488.7,2707.6,3048.3,2690.6,2102.7,2163.3,3349.1,2729.4,2283.1,2199.5,3023.1,2737.4,2181,2442.2,1891.4,2610.4,3198.9,2608,3158.1,2014.5,2213.7,3243,2872.1,2822,1986.9,2620.3,2355.7,2701,3556.3,3062.8,3363.7,3143.7,2269,3988.5,3276.2
15,Lambir,3316.4,3191.6,2955.2,3799.9,3582.6,2889,2908.6,2635.6,2844.1,2865,2289.5,2662.1,3330.3,2589.1,2724.3,2763.5,2650.4,2420.6,2526.1,2760.7,2718.5,2832.1,2672.7,3229.4,2809.3,2893.2,2981.3,2715.5,3164.9,3198.6,3462.5,2356.1,2910.3,4220.8,4487.1,4253.8,2875.1,5361.9,2678.6,2853.5,2454.5,2451.2,2695.2,2665,3518.4,3583.7,2487.8,3124.4,3291.5,3389.6,3356.4,2706.1,3004.4,2961.6,2931,3351.5,3344.1,3310.8,3648.7,3426.5,3741.5,3101.6
16,Pasoh,2295.8,1849.2,2072.3,2095.4,1911.9,2061.5,1637.4,1711.7,2798.2,1987.7,1794.5,1884.7,1574.4,1793.4,2148.5,2715.8,2512.5,2335.2,2600.1,2342.5,2134.7,1850.4,2454.9,904.1,1543.1,1418.8,1518.2,1473.2,1845.1,1708.8,1643.3,1589,1364.1,2217.7,1715.2,1296.3,1757.6,1662.2,1775.6,1584.6,1882.6,2051.3,2003.5,2116.4,2441.1,2127.1,1819,1543.3,2193,2280.3,2058.5,1618.3,1830.3,1741.7,1783.9,2300.5,2122.7,2233.9,2045.8,1982,1987.9,2103.5
17,Palanan,3052.1,3010.9,3563.6,2473.7,2364.3,3127.5,2336.6,2164,2657.8,2629.8,2791.4,2075.2,2042.1,3641,2141.4,3621.9,2673.1,1804.9,2246.7,3345.5,4497.7,2142.1,3112.3,2727.7,2091.7,2413.2,2276.9,2690.5,2215.4,2806.1,2402.8,2398.8,1896,2826.5,2645.6,3510.6,1803.9,2664.5,2985.4,2742.2,2586.5,2237.2,2668.1,2028.5,2656.8,3302.8,2473,2927.4,3605.8,3637.3,2773.8,2184.7,2217.1,2089.1,2861.9,2862,2363.7,3200.2,3139.6,2602,3832,2955.7
18,Bukit Timah,2251.6,2805.8,1974.8,2581.7,2227.1,2467.9,1947.4,2003.5,2299.6,1567.5,1721.9,2218.6,1699.6,2765,1860.5,2450.4,2698.9,2024.8,2210.1,2226.1,1604.4,1840.1,2857.9,2028.3,1867.3,2078.6,1752.4,2574.5,2246.7,2345,1483.3,1496.6,1901.8,2815.5,2350.2,2369.6,2283.1,2456.1,2464.9,1683.7,2010.5,2340.5,2360.7,2028.5,2522.8,2646.9,1248.9,2413.5,2311.5,2537.7,2921.9,1878.7,2648.7,2308.5,2107,2786.7,3040.6,2567.3,2199.2,2351.6,2696.4,2359.2
19,Sinharaja,3243.9,2203,3275.2,3104.8,2537.2,2114,2700.6,2208.2,2947.1,2743.6,4570.7,2903,4144.6,2559.2,2982.8,2777.3,3360.9,2218,3280.3,2883.9,2341,2758.5,2650.1,2518.2,3372.4,2208.5,2984.8,2304,2476.9,2551.6,2213.6,2781,2045.5,2579.7,2565.5,1998.9,2249.4,2312.7,2281.6,2713.4,2689.7,2103.2,2727.2,2834.7,2695,2531.5,3214.1,2350.2,2840,2612.6,1954,2383.3,2450,2638.3,2790.5,3244.2,2557.4,2877.4,2335.5,2565.6,2103.1,2788.7
20,Fushan,2844.1,1893.1,2468.9,2116.2,1374.1,2423.9,1947.1,1745.3,1768.1,2645.7,1778.1,1876.9,1127.8,1886.6,2261.8,2105.8,1933.3,2352.9,1893.7,2083.1,2317.6,2259.1,1969.2,2469.2,1586.4,1546.2,1808,1903.9,1691.8,1505.8,2355.1,2147,2127.8,2706.2,2524.7,2255.7,1984.2,2550.8,2089.9,2615.1,1628.5,2157.7,1342,2363.5,1728.5,2273.3,1593.3,2577.8,1635.7,2892.5,2084.4,1721.8,1484.7,1959.3,2361.2,2187.9,1981,2450.9,1956.8,2269.8,1968.3,2520.9
