Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
12,Xishuangbanna,18.708,19.183,19.333,18.683,18.617,18.533,18.608,19,19.225,18.992,19.283,18.908,18.808,19.525,19.133,19.575,19.242,19.3,19.175,19.275,18.533,19.375,19.7,19.108,19.192,18.975,19.083,19.133,18.8,19.108,19.65,19.642,19.383,19.175,19.108,18.917,19.7,19.3,18.775,19.492,19.775,18.7,19.233,19.575,19.3,19.333,19.283,19.933,19.525,19.233,19.808,19.608,19.65,19.1,19.317,19.892,19.575,19.217,19.35,19.692,19.275,19.7
13,Mudumalai,20.9,20.925,21.217,20.725,20.575,20.442,21.025,21.55,21.267,20.992,20.775,20.5,20.525,20.725,20.883,21.325,20.442,20.667,21.075,20.667,20.483,21.092,21.358,20.567,20.542,20.867,21.5,21.542,22.292,22.158,21.917,22.217,21.875,21.342,21.558,21.758,22.008,21.975,21.042,21.767,21.925,21.275,21.467,21.608,21.742,21.575,22.025,22.542,21.375,21.633,22.15,22.442,22.6,21.992,22.092,21.925,22.142,21.925,22.408,22.25,22.133,22.425
14,Danum Valley,28.025,28.125,27.808,27.092,27.4,27.142,27.817,28.3,27.908,27.892,27.325,27.525,27.65,27.625,27.125,28.167,27,27.325,27.6,28.233,27.217,27.525,28.017,27.517,27.408,27.317,28.192,28.342,28.217,28.533,28.575,28.475,28.925,28.342,28.5,28.775,29.217,29.05,28.875,29.383,29.292,29.05,29.05,29.3,29.283,28.967,29.617,29.8,29.383,29.408,29.217,29.3,29.133,29.367,29.2,28.967,29.3,29.042,29.383,29.2,28.983,29.467
15,Lambir,29.767,30.092,29.933,29.325,29.475,28.833,29.708,30.033,29.692,29.6,28.908,29.083,29.042,29.158,28.575,29.792,28.533,28.792,29.292,29.517,28.742,29.267,29.933,29.125,29.092,28.642,29.392,29.592,29.508,29.783,29.983,29.95,30.467,29.733,29.825,30.05,30.275,30.167,29.925,30.308,30.358,30.258,30.3,30.383,30.292,30.342,30.475,30.667,30.217,30.333,30.375,30.383,30.333,30.175,30.4,29.925,30.292,30.217,30.3,30.417,30.175,30.308
16,Pasoh,28.333,28.767,28.475,27.858,27.792,27.517,28.408,28.983,28.617,28.442,28.075,27.917,28.333,28.267,27.717,28.475,28.05,28.108,28.583,28.7,27.7,28.142,28.8,27.583,27.883,27.375,28.342,28.733,28.875,28.7,28.883,28.95,29.217,28.267,28.542,28.658,28.958,29.225,28.675,29.192,29.592,29.267,29.25,29.042,29.775,29.483,29.933,30.642,29.458,29.775,29.892,30.492,30.492,29.908,30.108,30.167,30.258,29.892,30.275,30.875,30.292,30.125
17,Palanan,25.642,26.042,25.583,25.083,24.925,25.208,25.4,25.492,25.508,25.792,25.517,25.067,25.35,25.7,25.308,25.725,25.108,25.1,25.075,25.608,24.733,25.55,26.1,25.625,25.8,24.933,25.908,25.917,25.892,25.967,25.167,25.258,26,25.442,25.8,25.7,26.425,26.183,25.675,26.617,26.108,25.25,26.1,26.275,25.917,25.875,26.142,27.233,26.758,26.533,26.617,26.267,26.042,25.758,26.05,26.358,26.608,26.067,26.133,26.417,25.842,26.025
18,Bukit Timah,29.967,30.433,30.125,29.492,29.508,29.083,29.967,30.45,30.092,29.975,29.475,29.383,29.758,29.708,29.075,29.942,29.4,29.475,30.008,30.142,29.075,29.558,30.142,28.975,29.225,28.758,29.783,30.275,30.25,30.092,30.45,30.667,30.817,29.842,30.117,30.317,30.725,30.792,30.267,31,30.767,30.683,30.742,30.925,31.108,30.867,31.542,31.758,30.875,31.058,31.042,31.575,30.925,31.05,31.142,31.075,31.125,31.1,31.483,31.875,31.342,31.292
19,Sinharaja,26.917,27.183,27.075,26.8,26.717,26.817,27.608,27.692,27.533,26.892,27.133,27.192,27.033,27.092,27.258,27.758,26.817,27.217,27.292,27.283,26.633,27.1,27.575,26.583,26.85,27.417,27.317,27.65,28.383,28.217,27.983,27.942,28.083,26.85,27.558,27.583,28.15,27.633,27.508,27.992,28.008,27.275,27.025,27.442,27.875,27.875,27.775,28.65,27.458,28,28.267,28.733,28.542,28.225,28.4,28.233,28.175,28.067,28.492,28.633,28.4,28.783
20,Fushan,20.917,21.925,21.917,21.167,20.808,20.933,20.992,20.992,21.442,21.292,21.692,21.067,21.375,21.458,21.033,21.283,21.108,20.917,21.083,21.383,20.617,20.842,21.65,21.217,21.108,20.283,21.95,21.567,21.058,21.683,21.758,20.95,21.617,21.125,21.283,20.525,21.558,21.558,21.042,21.733,21.65,20.6,21.667,21.758,20.683,21.067,20.992,22.117,21.442,21.075,21.283,21.333,21.033,20.275,20.117,20.575,20.092,20.1,20.425,20.675,20.183,20.733
21,Kenting,23.783,24.467,23.642,23.408,23.108,23.517,23.267,23.467,23.767,23.7,23.883,23.275,23.492,23.75,23.433,23.717,23.35,23.242,23.233,23.458,22.658,23.85,24.65,24.042,24.433,22.908,23.892,23.817,23.733,23.792,23.275,23.267,23.942,23.2,23.55,23.375,24.55,24.275,23.5,24.992,24.167,22.975,24.008,24.125,23.492,23.283,23.383,24.525,23.775,23.425,23.592,23.75,23.467,22.867,23.017,23.592,23.35,23.1,23.283,23.558,22.908,23.358
22,Lienhuachih,16.075,16.933,16.267,15.942,15.6,15.933,15.767,15.875,16.217,16.125,16.367,15.775,16.042,16.15,15.775,16.067,15.85,15.667,15.767,15.9,15.883,16.7,16.892,16.292,16.667,15.283,16.158,16.075,15.45,15.642,15.808,15.742,16.533,15.825,16.117,15.667,16.667,16.4,15.992,17,16.575,15.517,16.417,16.617,15.775,15.858,15.75,16.875,16.1,15.758,15.925,16.125,15.875,15.1,15.067,15.65,15.233,15.142,15.408,15.65,15.067,15.617
23,Nanjenshan,22.542,23.242,22.342,22.15,21.842,22.258,21.958,22.175,22.483,22.4,22.625,21.983,22.2,22.442,22.125,22.375,22.075,21.942,21.958,22.183,21.458,22.583,23.342,22.75,23.108,21.617,22.625,22.55,22.383,22.483,22.05,22,22.7,21.925,22.292,22.067,23.25,22.967,22.208,23.658,22.9,21.675,22.742,22.85,22.175,22.008,22.033,23.175,22.417,22.042,22.183,22.417,22.15,21.508,21.617,22.2,21.925,21.717,21.917,22.192,21.517,21.992
