"","Group.1","x"
"1",2011-01-05,17.07245
"2",2011-02-04,0.2289606
"3",2011-02-05,-0.1694196
"4",2011-02-06,-1.389373
"5",2011-02-07,-3.991071
"6",2011-02-08,-6.854966
"7",2011-02-09,-10.76333
"8",2011-02-10,-8.967622
"9",2011-02-11,-10.5988
"10",2011-02-12,-5.082297
"11",2011-02-13,-1.94179
"12",2011-02-14,4.077028
"13",2011-02-15,-3.831404
"14",2011-02-16,-0.6620386
"15",2011-02-17,5.051236
"16",2011-02-18,8.824224
"17",2011-02-19,2.210689
"18",2011-02-20,-4.760419
"19",2011-02-21,-2.559995
"20",2011-02-22,-6.135015
"21",2011-02-23,-3.942422
"22",2011-02-24,-0.3512489
"23",2011-02-25,0.3459806
"24",2011-02-26,-1.665244
"25",2011-02-27,0.1515315
"26",2011-02-28,3.35172
"27",2011-03-01,-3.273588
"28",2011-03-02,0.03844842
"29",2011-03-03,-6.506538
"30",2011-03-04,-3.21529
"31",2011-03-05,3.323654
"32",2011-03-06,0.3712001
"33",2011-03-07,-3.262649
"34",2011-03-08,-3.964473
"35",2011-03-09,5.050464
"36",2011-03-10,8.904065
"37",2011-03-11,1.495554
"38",2011-03-12,0.3553362
"39",2011-03-13,1.804718
"40",2011-03-14,-0.6517681
"41",2011-03-15,2.834296
"42",2011-03-16,2.713477
"43",2011-03-17,-5.376568
"44",2011-03-18,8.777852
"45",2011-03-19,4.153028
"46",2011-03-20,0.1177023
"47",2011-03-21,4.802738
"48",2011-03-22,8.733838
"49",2011-03-23,6.726022
"50",2011-03-24,-1.478053
"51",2011-03-25,-4.382795
"52",2011-03-26,-3.815531
"53",2011-03-27,-3.092149
"54",2011-03-28,-5.343709
"55",2011-03-29,-5.378529
"56",2011-03-30,2.413274
"57",2011-03-31,1.6778
"58",2011-04-01,0.4688314
"59",2011-04-02,0.5664551
"60",2011-04-03,-0.7938371
"61",2011-04-04,7.556216
"62",2011-04-05,1.982075
"63",2011-04-06,-0.5253015
"64",2011-04-07,2.323773
"65",2011-04-08,4.762861
"66",2011-04-09,4.569225
"67",2011-04-10,5.636241
"68",2011-04-11,14.09367
"69",2011-04-12,10.52458
"70",2011-04-13,5.639087
"71",2011-04-14,3.251251
"72",2011-04-15,4.715615
"73",2011-04-16,8.408018
"74",2011-04-17,4.928025
"75",2011-04-18,7.009955
"76",2011-04-19,10.71741
"77",2011-04-20,12.76178
"78",2011-04-21,5.511694
"79",2011-04-22,4.181089
"80",2011-04-23,5.643094
"81",2011-04-24,13.51442
"82",2011-04-25,15.50401
"83",2011-04-26,18.03936
"84",2011-04-27,18.56472
"85",2011-04-28,9.877741
"86",2011-04-29,8.670402
"87",2011-04-30,5.643094
"88",2011-05-01,10.049
"89",2011-05-02,11.7177
"90",2011-05-03,14.60785
"91",2011-05-04,-8.530514
"92",2011-05-05,2.421329
"93",2011-05-06,5.666684
"94",2011-05-07,7.731527
"95",2011-05-08,10.25076
"96",2011-05-09,6.668189
"97",2011-05-10,5.294473
"98",2011-05-11,13.01447
"99",2011-05-12,12.33758
"100",2011-05-13,16.11176
"101",2011-05-14,14.70468
"102",2011-05-15,13.58642
"103",2011-05-16,12.86763
"104",2011-05-17,14.31701
"105",2011-05-18,12.41568
"106",2011-05-19,9.987584
"107",2011-05-20,9.157737
"108",2011-05-21,10.9179
"109",2011-05-22,13.50221
"110",2011-05-23,17.10227
"111",2011-05-24,16.86926
"112",2011-05-25,14.67377
"113",2011-05-26,19.39643
"114",2011-05-27,15.1841
"115",2011-05-28,16.23892
"116",2011-05-29,17.71087
"117",2011-05-30,18.73766
"118",2011-05-31,19.44326
"119",2011-06-01,20.32162
"120",2011-06-02,13.67666
"121",2011-06-03,8.892772
"122",2011-06-04,10.03435
"123",2011-06-05,16.06517
"124",2011-06-06,13.83082
"125",2011-06-07,14.246
"126",2011-06-08,17.32588
"127",2011-06-09,19.1728
"128",2011-06-10,17.79179
"129",2011-06-11,18.46636
"130",2011-06-12,17.73405
"131",2011-06-13,12.68827
"132",2011-06-14,11.25
"133",2011-06-15,9.439131
"134",2011-06-16,13.69246
"135",2011-06-17,14.32004
"136",2011-06-18,16.90619
"137",2011-06-19,19.15069
"138",2011-06-20,17.98286
"139",2011-06-21,18.85997
"140",2011-06-22,19.44281
"141",2011-06-23,20.61526
"142",2011-06-24,15.98195
"143",2011-06-25,14.27014
"144",2011-06-26,13.62839
"145",2011-06-27,17.6379
"146",2011-06-28,19.68692
"147",2011-06-29,15.58911
"148",2011-06-30,13.19572
"149",2011-07-01,13.77968
"150",2011-07-02,13.61944
"151",2011-07-03,18.96749
"152",2011-07-04,18.41754
"153",2011-07-05,18.07577
"154",2011-07-06,19.29634
"155",2011-07-07,18.61282
"156",2011-07-08,18.82055
"157",2011-07-09,17.27208
"158",2011-07-10,16.90488
"159",2011-07-11,19.81968
"160",2011-07-12,19.88939
"161",2011-07-13,17.01469
"162",2011-07-14,13.78009
"163",2011-07-15,14.95309
"164",2011-07-16,15.23014
"165",2011-07-17,16.90791
"166",2011-07-18,18.8252
"167",2011-07-19,21.12518
"168",2011-07-20,20.87949
"169",2011-07-21,22.55321
"170",2011-07-22,22.99269
"171",2011-07-23,21.4305
"172",2011-07-24,22.09624
"173",2011-07-25,21.62543
"174",2011-07-26,19.96407
"175",2011-07-27,17.92334
"176",2011-07-28,17.82678
"177",2011-07-29,19.97048
"178",2011-07-30,20.6724
"179",2011-07-31,17.71204
"180",2011-08-01,18.16046
"181",2011-08-02,19.13601
"182",2011-08-03,20.80059
"183",2011-08-04,21.55828
"184",2011-08-05,21.17252
"185",2011-08-06,20.79652
"186",2011-08-07,21.50701
"187",2011-08-08,18.50431
"188",2011-08-09,19.32731
"189",2011-08-10,16.70256
