"","Group.1","x"
"211",2011-09-30,10.95693
"212",2011-10-01,7.461833
"213",2011-10-02,6.009198
"214",2011-10-03,6.395234
"215",2011-10-04,8.255072
"216",2011-10-05,8.718393
"217",2011-10-06,7.13356
"218",2011-12-01,0.04352908
"219",2011-12-02,-2.910941
"220",2011-12-03,-2.716018
"221",2011-12-04,2.812743
"222",2011-12-05,6.082483
"223",2011-12-06,12.17696
"224",2011-12-07,2.212319
"225",2011-12-08,-1.889475
"226",2011-12-09,-0.4554547
"227",2011-12-10,-4.133233
"228",2011-12-11,-6.525662
"229",2011-12-12,-5.328951
"230",2011-12-13,-4.235889
"231",2011-12-14,2.31157
"232",2011-12-15,6.555369
"233",2011-12-16,3.293149
"234",2011-12-17,-3.231188
"235",2011-12-18,-2.827115
"236",2011-12-19,-2.84316
"237",2011-12-20,5.936195
"238",2011-12-21,8.935728
"239",2011-12-22,5.499153
"240",2011-12-23,4.080285
"241",2011-12-24,-0.1377003
"242",2011-12-25,-2.613714
"243",2011-12-26,0.720628
"244",2011-12-27,2.517401
"245",2011-12-28,-2.725966
"246",2011-12-29,-3.937612
"247",2011-12-30,-1.018786
"248",2011-12-31,2.833483
"249",2012-01-01,1.323092
"250",2012-01-02,-2.222018
"251",2012-01-03,-7.441236
"252",2012-01-04,-12.35635
"253",2012-01-05,-3.192316
"254",2012-01-06,0.7112712
"255",2012-01-07,3.171113
"256",2012-01-08,-1.765678
"257",2012-01-09,-2.598808
"258",2012-01-10,-3.498131
"259",2012-01-11,-0.7873142
"260",2012-01-12,3.640948
"261",2012-01-13,-3.933951
"262",2012-01-14,-6.257082
"263",2012-01-15,-8.4789
"264",2012-01-16,-7.844096
"265",2012-01-17,3.293033
"266",2012-01-18,-6.792598
"267",2012-01-19,-8.527742
"268",2012-01-20,-3.708534
"269",2012-01-21,-3.487906
"270",2012-01-22,-2.142808
"271",2012-01-23,-0.5201404
"272",2012-01-24,1.650953
"273",2012-01-25,-2.175823
"274",2012-01-26,4.520421
"275",2012-01-27,2.786294
"276",2012-01-28,-1.245717
"277",2012-01-29,-3.650332
"278",2012-01-30,-5.765935
"279",2012-01-31,3.446507
"280",2012-02-01,9.305453
"281",2012-02-02,3.324807
"282",2012-02-03,-3.082649
"283",2012-02-04,-1.169295
"284",2012-02-05,-1.506896
"285",2012-02-06,-3.554631
"286",2012-02-07,-0.7519401
"287",2012-02-08,-1.906085
"288",2012-02-09,-4.385643
"289",2012-02-10,-4.621257
"290",2012-02-11,-5.835103
"291",2012-02-12,-8.02599
"292",2012-02-13,-8.283577
"293",2012-02-14,0.1942463
"294",2012-02-15,2.559304
"295",2012-02-16,3.834176
"296",2012-02-17,0.7194078
"297",2012-02-18,-1.338926
"298",2012-02-19,-0.03477468
"299",2012-02-20,-2.1464
"300",2012-02-21,-2.546402
"301",2012-02-22,1.145725
"302",2012-02-23,8.344049
"303",2012-02-24,5.057381
"304",2012-02-25,-0.2642056
"305",2012-02-26,-5.17844
"306",2012-02-27,-1.296288
"307",2012-02-28,-0.6400734
"308",2012-02-29,3.476201
"309",2012-03-01,4.055399
"310",2012-03-02,0.9524316
"311",2012-03-03,3.58597
"312",2012-03-04,-1.013901
"313",2012-03-05,-3.669862
"314",2012-03-06,-5.818837
"315",2012-03-07,0.3215744
"316",2012-03-08,10.52458
"317",2012-03-09,2.878224
"318",2012-03-10,-2.711889
"319",2012-03-11,0.7840864
"320",2012-03-12,4.178316
"321",2012-03-13,11.76605
"322",2012-03-14,11.56916
"323",2012-03-15,11.95317
"324",2012-03-16,10.47571
"325",2012-03-17,10.57334
"326",2012-03-18,10.32399
"327",2012-03-19,13.16051
"328",2012-03-20,15.36326
"329",2012-03-21,13.21095
"330",2012-03-22,14.18561
"331",2012-03-23,12.76511
"332",2012-03-24,13.3517
"333",2012-03-25,9.671088
"334",2012-03-26,3.583123
"335",2012-03-27,-3.342818
"336",2012-03-28,7.759192
"337",2012-03-29,7.723397
"338",2012-03-30,1.842481
"339",2012-03-31,8.809991
"340",2012-04-01,7.886519
"341",2012-04-02,5.834285
"342",2012-04-03,2.51896
"343",2012-04-04,11.4032
"344",2012-04-05,3.376882
"345",2012-04-06,0.1748021
"346",2012-04-07,-0.1363827
"347",2012-04-08,2.606824
"348",2012-04-09,4.777447
"349",2012-04-10,3.446439
"350",2012-04-11,0.2781428
"351",2012-04-12,0.3498398
"352",2012-04-13,2.811846
"353",2012-04-14,6.277671
"354",2012-04-15,13.95659
"355",2012-04-16,13.78615
"356",2012-04-17,10.2467
"357",2012-04-18,8.429989
"358",2012-04-19,7.111595
"359",2012-04-20,7.449224
"360",2012-04-21,10.62257
"361",2012-04-22,6.022218
"362",2012-04-23,3.366716
"363",2012-04-24,2.105671
"364",2012-04-25,2.736196
"365",2012-04-26,11.51465
"366",2012-04-27,5.319692
