"","Group.1","x"
"1",2011-01-05,17.07245
"2",2011-02-04,3.418807
"3",2011-02-05,5.187125
"4",2011-02-06,7.734564
"5",2011-02-07,6.830993
"6",2011-02-08,2.855446
"7",2011-02-09,-0.8934959
"8",2011-02-10,1.2042
"9",2011-02-11,6.307637
"10",2011-02-12,6.658574
"11",2011-02-13,12.91933
"12",2011-02-14,17.88862
"13",2011-02-15,7.351312
"14",2011-02-16,12.78405
"15",2011-02-17,21.08057
"16",2011-02-18,23.29374
"17",2011-02-19,13.34124
"18",2011-02-20,9.054964
"19",2011-02-21,8.162684
"20",2011-02-22,-0.8492327
"21",2011-02-23,5.746054
"22",2011-02-24,5.1753
"23",2011-02-25,17.94761
"24",2011-02-26,7.351092
"25",2011-02-27,15.01939
"26",2011-02-28,22.30819
"27",2011-03-01,7.331958
"28",2011-03-02,16.19269
"29",2011-03-03,3.772483
"30",2011-03-04,8.41203
"31",2011-03-05,13.34426
"32",2011-03-06,13.00925
"33",2011-03-07,36.29916
"34",2011-03-08,15.69063
"35",2011-03-09,11.46434
"36",2011-03-10,17.45019
"37",2011-03-11,9.22005
"38",2011-03-12,22.0347
"39",2011-03-13,17.99206
"40",2011-03-14,11.00354
"41",2011-03-15,9.423779
"42",2011-03-16,14.44317
"43",2011-03-17,19.1361
"44",2011-03-18,26.22514
"45",2011-03-19,17.85361
"46",2011-03-20,10.54668
"47",2011-03-21,23.45038
"48",2011-03-22,17.76921
"49",2011-03-23,14.98902
"50",2011-03-24,8.37677
"51",2011-03-25,7.749183
"52",2011-03-26,6.871655
"53",2011-03-27,4.128407
"54",2011-03-28,7.655269
"55",2011-03-29,9.652417
"56",2011-03-30,6.896868
"57",2011-03-31,5.138197
"58",2011-04-01,8.197736
"59",2011-04-02,8.921568
"60",2011-04-03,14.01879
"61",2011-04-04,28.75411
"62",2011-04-05,22.19409
"63",2011-04-06,18.34062
"64",2011-04-07,21.28346
"65",2011-04-08,13.03522
"66",2011-04-09,8.097303
"67",2011-04-10,16.92293
"68",2011-04-11,28.6262
"69",2011-04-12,17.25197
"70",2011-04-13,12.59106
"71",2011-04-14,19.94613
"72",2011-04-15,19.55463
"73",2011-04-16,16.3438
"74",2011-04-17,19.2031
"75",2011-04-18,23.76529
"76",2011-04-19,17.17659
"77",2011-04-20,29.52619
"78",2011-04-21,16.51942
"79",2011-04-22,7.253968
"80",2011-04-23,21.29644
"81",2011-04-24,28.58689
"82",2011-04-25,28.70282
"83",2011-04-26,27.52667
"84",2011-04-27,26.42801
"85",2011-04-28,23.47276
"86",2011-04-29,18.10408
"87",2011-04-30,18.20234
"88",2011-05-01,15.75262
"89",2011-05-02,23.73477
"90",2011-05-03,26.49965
"91",2011-05-04,14.96745
"92",2011-05-05,18.46721
"93",2011-05-06,20.20407
"94",2011-05-07,20.06778
"95",2011-05-08,20.01651
"96",2011-05-09,21.26831
"97",2011-05-10,21.361
"98",2011-05-11,23.5323
"99",2011-05-12,20.82331
"100",2011-05-13,18.85661
"101",2011-05-14,17.89114
"102",2011-05-15,21.78308
"103",2011-05-16,21.1134
"104",2011-05-17,16.51691
"105",2011-05-18,21.28346
"106",2011-05-19,19.60762
"107",2011-05-20,21.23179
"108",2011-05-21,25.2576
"109",2011-05-22,25.17337
"110",2011-05-23,24.9953
"111",2011-05-24,27.61257
"112",2011-05-25,26.78234
"113",2011-05-26,30.3166
"114",2011-05-27,25.8728
"115",2011-05-28,25.53745
"116",2011-05-29,27.91092
"117",2011-05-30,31.82286
"118",2011-05-31,31.11892
"119",2011-06-01,31.72881
"120",2011-06-02,28.19751
"121",2011-06-03,23.14134
"122",2011-06-04,26.5014
"123",2011-06-05,25.31388
"124",2011-06-06,26.36771
"125",2011-06-07,26.68749
"126",2011-06-08,32.45727
"127",2011-06-09,32.56647
"128",2011-06-10,29.64998
"129",2011-06-11,27.61009
"130",2011-06-12,29.19766
"131",2011-06-13,22.61331
"132",2011-06-14,21.29869
"133",2011-06-15,23.49584
"134",2011-06-16,23.56009
"135",2011-06-17,27.6153
"136",2011-06-18,26.68342
"137",2011-06-19,24.08488
"138",2011-06-20,23.03585
"139",2011-06-21,29.92236
"140",2011-06-22,28.14231
"141",2011-06-23,25.28284
"142",2011-06-24,26.24509
"143",2011-06-25,23.73508
"144",2011-06-26,24.98951
"145",2011-06-27,24.44658
"146",2011-06-28,29.88737
"147",2011-06-29,27.3024
"148",2011-06-30,26.10311
"149",2011-07-01,27.93147
"150",2011-07-02,29.35888
"151",2011-07-03,30.85347
"152",2011-07-04,26.33707
"153",2011-07-05,28.31214
"154",2011-07-06,28.03609
"155",2011-07-07,30.23911
"156",2011-07-08,27.14129
"157",2011-07-09,27.9038
"158",2011-07-10,28.90208
"159",2011-07-11,31.38356
"160",2011-07-12,31.60626
"161",2011-07-13,29.34408
"162",2011-07-14,24.5715
"163",2011-07-15,25.29516
"164",2011-07-16,26.41521
"165",2011-07-17,28.24121
"166",2011-07-18,30.43087
"167",2011-07-19,29.75465
"168",2011-07-20,31.24025
"169",2011-07-21,33.64854
"170",2011-07-22,35.07916
"171",2011-07-23,32.58108
"172",2011-07-24,29.98994
"173",2011-07-25,30.52858
"174",2011-07-26,31.94207
"175",2011-07-27,29.82872
"176",2011-07-28,30.3588
"177",2011-07-29,34.60156
"178",2011-07-30,30.79932
"179",2011-07-31,32.40761
"180",2011-08-01,33.18717
"181",2011-08-02,32.80541
"182",2011-08-03,25.89657
"183",2011-08-04,28.43428
"184",2011-08-05,25.89393
"185",2011-08-06,28.00249
"186",2011-08-07,31.03456
"187",2011-08-08,30.34903
"188",2011-08-09,30.03106
"189",2011-08-10,29.79044
"190",2011-08-11,27.41867
"191",2011-08-12,27.57034
