"year","sites.sitename","emission_units","emission_type","value"
"1751","Bidoup","kg m-2 s-1","SO2",1.56011276607296e-12
"1751","Bukit_Timah","kg m-2 s-1","SO2",2.89071368126954e-13
"1751","Changbaishan","kg m-2 s-1","SO2",1.14302298213838e-13
"1751","Cocoli","kg m-2 s-1","SO2",1.19909300107603e-13
"1751","Danum_Valley","kg m-2 s-1","SO2",7.22091696476689e-15
"1751","Daxinganling","kg m-2 s-1","SO2",3.73949706148314e-16
"1751","Dinghushan","kg m-2 s-1","SO2",5.24096618968045e-12
"1751","Doi_Inthanon","kg m-2 s-1","SO2",5.046111049183e-14
"1751","Donglingshan","kg m-2 s-1","SO2",1.32044522224603e-13
"1751","Fushan","kg m-2 s-1","SO2",9.65718543137874e-14
"1751","Gutianshan","kg m-2 s-1","SO2",1.15605841007971e-12
"1751","Haliburton","kg m-2 s-1","SO2",3.29299965788557e-14
"1751","Harvard_Forest","kg m-2 s-1","SO2",2.08841159231822e-12
"1751","Heishiding","kg m-2 s-1","SO2",1.10021324326416e-12
"1751","Hong_Kong","kg m-2 s-1","SO2",4.31647413938387e-14
"1751","Huai_Kha_Khaeng","kg m-2 s-1","SO2",5.97175666105083e-14
"1751","Ilha_do_Cardoso","kg m-2 s-1","SO2",7.86975965823343e-16
"1751","Indian_Cave","kg m-2 s-1","SO2",7.49652344400167e-14
"1751","Ituri_(Edoro_and_Lenda)","kg m-2 s-1","SO2",7.54932238448616e-14
"1751","Jianfengling","kg m-2 s-1","SO2",1.46806045510199e-12
"1751","Kenting","kg m-2 s-1","SO2",1.13351579539994e-14
"1751","Khao_Chong","kg m-2 s-1","SO2",1.63743078984864e-13
"1751","Korup","kg m-2 s-1","SO2",3.82013935289444e-13
"1751","Kuala_Belalong","kg m-2 s-1","SO2",4.05249525199298e-15
"1751","La_Planada","kg m-2 s-1","SO2",1.22106363428532e-13
"1751","Lambir","kg m-2 s-1","SO2",8.99612872150158e-15
"1751","Laupahoehoe","kg m-2 s-1","SO2",6.81911272384594e-13
"1751","Lienhuachih","kg m-2 s-1","SO2",1.27987824365703e-13
"1751","Lilly_Dickey_Woods","kg m-2 s-1","SO2",1.09932735596984e-14
"1751","Luquillo","kg m-2 s-1","SO2",5.27708177042131e-13
"1751","Manaus","kg m-2 s-1","SO2",9.0755511319317e-17
"1751","Michigan_Big_Woods","kg m-2 s-1","SO2",7.37365296113999e-14
"1751","Mo_Singto","kg m-2 s-1","SO2",1.7058205370594e-13
"1751","Mpala","kg m-2 s-1","SO2",1.38931378341758e-13
"1751","Mudumalai","kg m-2 s-1","SO2",2.44344610056358e-12
"1751","Nanjenshan","kg m-2 s-1","SO2",6.94904262916476e-14
"1751","Ngel_Nyaki","kg m-2 s-1","SO2",1.00788604130269e-13
"1751","Niobara","kg m-2 s-1","SO2",2.1883996496788e-16
"1751","Nonggang","kg m-2 s-1","SO2",1.21939014059764e-12
"1751","Ordway-Swisher","kg m-2 s-1","SO2",2.41825354754349e-14
"1751","Palamanui","kg m-2 s-1","SO2",6.00429217276034e-13
"1751","Palanan","kg m-2 s-1","SO2",1.05351394857792e-13
"1751","Pasoh","kg m-2 s-1","SO2",4.94589733446673e-14
"1751","Rabi","kg m-2 s-1","SO2",2.25099952292149e-14
"1751","San_Lorenzo","kg m-2 s-1","SO2",1.15926160747129e-13
"1751","Santa_Cruz","kg m-2 s-1","SO2",1.31877331896858e-13
"1751","Scotty_Creek","kg m-2 s-1","SO2",3.07366677258174e-16
"1751","Sinharaja","kg m-2 s-1","SO2",2.82929006557766e-12
"1751","Smithsonian_Conservation_Biology_Institute","kg m-2 s-1","SO2",6.81230503958073e-13
"1751","Smithsonian_Environmental_Research_Center","kg m-2 s-1","SO2",1.67534705252108e-12
"1751","Speulderbos","kg m-2 s-1","SO2",6.1674139916184e-12
"1751","Tiantongshan","kg m-2 s-1","SO2",7.12096982942445e-12
"1751","Traunstein","kg m-2 s-1","SO2",5.27663265661202e-12
"1751","Tyson_Research_Center","kg m-2 s-1","SO2",1.41960164132078e-13
"1751","University_of_Maryland,_Baltimore_County","kg m-2 s-1","SO2",2.07624711965216e-12
"1751","Utah_Forest_Dynamics_Plot","kg m-2 s-1","SO2",1.02166284855452e-15
"1751","Wabikon","kg m-2 s-1","SO2",1.5616067233983e-15
"1751","Wanang","kg m-2 s-1","SO2",3.87363631483426e-14
"1751","Wind_River","kg m-2 s-1","SO2",1.05564354875539e-14
"1751","Wytham_Woods","kg m-2 s-1","SO2",1.49786341980423e-10
"1751","Xishuangbanna","kg m-2 s-1","SO2",3.61300812232428e-11
"1751","Yasuni","kg m-2 s-1","SO2",3.79161041696394e-14
"1751","Yosemite_National_Park","kg m-2 s-1","SO2",1.80193952900635e-15
"1751","Zofin","kg m-2 s-1","SO2",3.57570315587599e-12
"1752","Amacayacu","kg m-2 s-1","SO2",7.74354743700001e-15
"1752","Badagongshan","kg m-2 s-1","SO2",1.2611045698387e-12
"1752","Baishanzu","kg m-2 s-1","SO2",3.79106241435141e-13
"1752","Baotianman","kg m-2 s-1","SO2",1.26844139304496e-12
"1752","Barro_Colorado_Island","kg m-2 s-1","SO2",1.16838987402078e-13
"1752","Bidoup","kg m-2 s-1","SO2",1.56139697982934e-12
"1752","Bukit_Timah","kg m-2 s-1","SO2",2.91166316927706e-13
"1752","Changbaishan","kg m-2 s-1","SO2",1.15185514714533e-13
"1752","Cocoli","kg m-2 s-1","SO2",1.21068754659121e-13
"1752","Danum_Valley","kg m-2 s-1","SO2",7.23635392847238e-15
"1752","Daxinganling","kg m-2 s-1","SO2",3.68716513261411e-16
"1752","Dinghushan","kg m-2 s-1","SO2",5.25186808647028e-12
"1752","Doi_Inthanon","kg m-2 s-1","SO2",5.06199879588207e-14
"1752","Donglingshan","kg m-2 s-1","SO2",1.32995681779096e-13
"1752","Fushan","kg m-2 s-1","SO2",9.69612268893107e-14
"1752","Gutianshan","kg m-2 s-1","SO2",1.16034839478833e-12
"1752","Haliburton","kg m-2 s-1","SO2",3.58646958022794e-14
"1752","Harvard_Forest","kg m-2 s-1","SO2",2.12456594599224e-12
"1752","Heishiding","kg m-2 s-1","SO2",1.10380041424326e-12
"1752","Hong_Kong","kg m-2 s-1","SO2",4.32804681172903e-14
"1752","Huai_Kha_Khaeng","kg m-2 s-1","SO2",5.98895680853931e-14
"1752","Ilha_do_Cardoso","kg m-2 s-1","SO2",7.9502585841568e-16
"1752","Indian_Cave","kg m-2 s-1","SO2",7.57505871892059e-14
"1752","Ituri_(Edoro_and_Lenda)","kg m-2 s-1","SO2",7.54153136617289e-14
"1752","Jianfengling","kg m-2 s-1","SO2",1.47252828962448e-12
"1752","Kenting","kg m-2 s-1","SO2",1.1321218862182e-14
"1752","Khao_Chong","kg m-2 s-1","SO2",1.64051403636346e-13
"1752","Korup","kg m-2 s-1","SO2",3.8192303213706e-13
"1752","Kuala_Belalong","kg m-2 s-1","SO2",4.05908016553427e-15
"1752","La_Planada","kg m-2 s-1","SO2",1.2234651272743e-13
"1752","Lambir","kg m-2 s-1","SO2",9.01712015669823e-15
"1752","Laupahoehoe","kg m-2 s-1","SO2",6.88994417905243e-13
"1752","Lienhuachih","kg m-2 s-1","SO2",1.28259026527721e-13
"1752","Lilly_Dickey_Woods","kg m-2 s-1","SO2",1.11898935822421e-14
"1752","Luquillo","kg m-2 s-1","SO2",5.32228388693944e-13
"1752","Manaus","kg m-2 s-1","SO2",9.54390738893966e-17
"1752","Michigan_Big_Woods","kg m-2 s-1","SO2",7.53653456727755e-14
"1752","Mo_Singto","kg m-2 s-1","SO2",1.70830474916843e-13
"1752","Mpala","kg m-2 s-1","SO2",1.38784171638822e-13
"1752","Mudumalai","kg m-2 s-1","SO2",2.45039094741504e-12
"1752","Nanjenshan","kg m-2 s-1","SO2",6.95709100917462e-14
"1752","Ngel_Nyaki","kg m-2 s-1","SO2",1.00955118313963e-13
"1752","Niobara","kg m-2 s-1","SO2",2.22643465791077e-16
"1752","Nonggang","kg m-2 s-1","SO2",1.22422205762118e-12
"1752","Ordway-Swisher","kg m-2 s-1","SO2",2.66047414904685e-14
"1752","Palamanui","kg m-2 s-1","SO2",6.07110213999699e-13
"1752","Palanan","kg m-2 s-1","SO2",1.05590101236064e-13
"1752","Pasoh","kg m-2 s-1","SO2",4.95444673446489e-14
"1752","Rabi","kg m-2 s-1","SO2",2.25888758077027e-14
"1752","San_Lorenzo","kg m-2 s-1","SO2",1.16838987402078e-13
"1752","Santa_Cruz","kg m-2 s-1","SO2",1.33385894611303e-13
"1752","Scotty_Creek","kg m-2 s-1","SO2",3.11702009553507e-16
"1752","Sinharaja","kg m-2 s-1","SO2",2.83405160369241e-12
"1752","Smithsonian_Conservation_Biology_Institute","kg m-2 s-1","SO2",6.95753105549621e-13
"1752","Smithsonian_Environmental_Research_Center","kg m-2 s-1","SO2",1.70971492985308e-12
"1752","Speulderbos","kg m-2 s-1","SO2",6.18338057622667e-12
"1752","Tiantongshan","kg m-2 s-1","SO2",7.1494031398181e-12
"1752","Traunstein","kg m-2 s-1","SO2",5.28786624303366e-12
"1752","Tyson_Research_Center","kg m-2 s-1","SO2",1.43965380379981e-13
"1752","University_of_Maryland,_Baltimore_County","kg m-2 s-1","SO2",2.11887687842464e-12
"1752","Utah_Forest_Dynamics_Plot","kg m-2 s-1","SO2",1.04024583082019e-15
"1752","Wabikon","kg m-2 s-1","SO2",1.58874486493494e-15
"1752","Wanang","kg m-2 s-1","SO2",3.88211892628453e-14
"1752","Wind_River","kg m-2 s-1","SO2",1.07256295776141e-14
"1752","Wytham_Woods","kg m-2 s-1","SO2",1.49928304011204e-10
"1752","Xishuangbanna","kg m-2 s-1","SO2",3.61975610177814e-11
"1752","Yasuni","kg m-2 s-1","SO2",3.80343388583344e-14
"1752","Yosemite_National_Park","kg m-2 s-1","SO2",2.10774915107055e-15
"1752","Zofin","kg m-2 s-1","SO2",3.58890929399048e-12
"1753","Amacayacu","kg m-2 s-1","SO2",7.73541526557932e-15
"1753","Badagongshan","kg m-2 s-1","SO2",1.26682826961889e-12
"1753","Baishanzu","kg m-2 s-1","SO2",3.81504039242888e-13
"1753","Baotianman","kg m-2 s-1","SO2",1.27643950503754e-12
"1753","Barro_Colorado_Island","kg m-2 s-1","SO2",1.17754618741933e-13
"1753","Bidoup","kg m-2 s-1","SO2",1.56269535597661e-12
"1753","Bukit_Timah","kg m-2 s-1","SO2",2.93268804321689e-13
"1753","Changbaishan","kg m-2 s-1","SO2",1.16061950292969e-13
"1753","Cocoli","kg m-2 s-1","SO2",1.22231268653939e-13
"1753","Danum_Valley","kg m-2 s-1","SO2",7.25177051044755e-15
"1753","Daxinganling","kg m-2 s-1","SO2",3.6445966150384e-16
"1753","Dinghushan","kg m-2 s-1","SO2",5.26280069328665e-12
"1753","Doi_Inthanon","kg m-2 s-1","SO2",5.07788827899868e-14
"1753","Donglingshan","kg m-2 s-1","SO2",1.3394132630207e-13
"1753","Fushan","kg m-2 s-1","SO2",9.7349974354519e-14
"1753","Gutianshan","kg m-2 s-1","SO2",1.16462740194995e-12
"1753","Haliburton","kg m-2 s-1","SO2",3.87447282604412e-14
"1753","Harvard_Forest","kg m-2 s-1","SO2",2.16068171562145e-12
"1753","Heishiding","kg m-2 s-1","SO2",1.1073822929605e-12
"1753","Hong_Kong","kg m-2 s-1","SO2",4.34085382283657e-14
"1753","Huai_Kha_Khaeng","kg m-2 s-1","SO2",6.00616068297276e-14
"1753","Ilha_do_Cardoso","kg m-2 s-1","SO2",8.02974628591722e-16
"1753","Indian_Cave","kg m-2 s-1","SO2",7.6533126941977e-14
"1753","Ituri_(Edoro_and_Lenda)","kg m-2 s-1","SO2",7.53376490982986e-14
"1753","Jianfengling","kg m-2 s-1","SO2",1.47699101484423e-12
"1753","Kenting","kg m-2 s-1","SO2",1.13074319186578e-14
"1753","Khao_Chong","kg m-2 s-1","SO2",1.64359589374424e-13
"1753","Korup","kg m-2 s-1","SO2",3.81832101879623e-13
"1753","Kuala_Belalong","kg m-2 s-1","SO2",4.06598414579888e-15
"1753","La_Planada","kg m-2 s-1","SO2",1.22583006443886e-13
"1753","Lambir","kg m-2 s-1","SO2",9.03792164475646e-15
"1753","Laupahoehoe","kg m-2 s-1","SO2",6.96047324349674e-13
"1753","Lienhuachih","kg m-2 s-1","SO2",1.28529954251065e-13
