"year","sites.sitename","emission_units","emission_type","value"
"1751","Bidoup","kg m-2 s-1","NOx",4.47372218074062e-13
"1751","Bukit_Timah","kg m-2 s-1","NOx",9.99956166707858e-13
"1751","Changbaishan","kg m-2 s-1","NOx",4.24061246467067e-13
"1751","Cocoli","kg m-2 s-1","NOx",1.3270574372474e-13
"1751","Danum_Valley","kg m-2 s-1","NOx",1.28581963556334e-14
"1751","Daxinganling","kg m-2 s-1","NOx",6.69820881849582e-14
"1751","Dinghushan","kg m-2 s-1","NOx",3.08781261532652e-12
"1751","Doi_Inthanon","kg m-2 s-1","NOx",1.68780129600543e-13
"1751","Donglingshan","kg m-2 s-1","NOx",3.63244999561664e-13
"1751","Fushan","kg m-2 s-1","NOx",5.61635791635617e-13
"1751","Gutianshan","kg m-2 s-1","NOx",8.23418559763511e-13
"1751","Haliburton","kg m-2 s-1","NOx",2.719123453764e-14
"1751","Harvard_Forest","kg m-2 s-1","NOx",1.78534324244313e-12
"1751","Heishiding","kg m-2 s-1","NOx",8.66307581768623e-13
"1751","Hong_Kong","kg m-2 s-1","NOx",2.09965717748434e-14
"1751","Huai_Kha_Khaeng","kg m-2 s-1","NOx",1.75334227236183e-13
"1751","Ilha_do_Cardoso","kg m-2 s-1","NOx",1.3092814979372e-15
"1751","Indian_Cave","kg m-2 s-1","NOx",1.05040172718355e-13
"1751","Ituri_(Edoro_and_Lenda)","kg m-2 s-1","NOx",4.31957077007805e-14
"1751","Jianfengling","kg m-2 s-1","NOx",1.07047666087282e-12
"1751","Kenting","kg m-2 s-1","NOx",6.38541452746931e-14
"1751","Khao_Chong","kg m-2 s-1","NOx",3.70509641373019e-13
"1751","Korup","kg m-2 s-1","NOx",3.45582888138809e-13
"1751","Kuala_Belalong","kg m-2 s-1","NOx",3.32913133849928e-14
"1751","La_Planada","kg m-2 s-1","NOx",1.95962924384822e-13
"1751","Lambir","kg m-2 s-1","NOx",2.04089898252525e-14
"1751","Laupahoehoe","kg m-2 s-1","NOx",5.84255903477316e-13
"1751","Lienhuachih","kg m-2 s-1","NOx",7.97619772134059e-13
"1751","Lilly_Dickey_Woods","kg m-2 s-1","NOx",3.97206456368026e-14
"1751","Luquillo","kg m-2 s-1","NOx",8.87547450881672e-13
"1751","Manaus","kg m-2 s-1","NOx",6.55493120914344e-16
"1751","Michigan_Big_Woods","kg m-2 s-1","NOx",2.22118611914168e-13
"1751","Mo_Singto","kg m-2 s-1","NOx",3.4552604714585e-13
"1751","Mpala","kg m-2 s-1","NOx",4.42955231362916e-13
"1751","Mudumalai","kg m-2 s-1","NOx",1.74356466696684e-12
"1751","Nanjenshan","kg m-2 s-1","NOx",4.09710588116888e-13
"1751","Ngel_Nyaki","kg m-2 s-1","NOx",3.31913874047218e-13
"1751","Niobara","kg m-2 s-1","NOx",3.07186942847849e-14
"1751","Nonggang","kg m-2 s-1","NOx",8.63542046300892e-13
"1751","Ordway-Swisher","kg m-2 s-1","NOx",4.81695944078382e-14
"1751","Palamanui","kg m-2 s-1","NOx",5.09267176684387e-13
"1751","Palanan","kg m-2 s-1","NOx",1.22940700410698e-13
"1751","Pasoh","kg m-2 s-1","NOx",3.94667192129367e-14
"1751","Rabi","kg m-2 s-1","NOx",1.4138709001557e-14
"1751","San_Lorenzo","kg m-2 s-1","NOx",9.50139769176372e-14
"1751","Santa_Cruz","kg m-2 s-1","NOx",2.53297951824384e-13
"1751","Scotty_Creek","kg m-2 s-1","NOx",2.13103653085078e-16
"1751","Sinharaja","kg m-2 s-1","NOx",1.42103836632394e-12
"1751","Smithsonian_Conservation_Biology_Institute","kg m-2 s-1","NOx",5.97653047521409e-13
"1751","Smithsonian_Environmental_Research_Center","kg m-2 s-1","NOx",1.65667666595328e-12
"1751","Speulderbos","kg m-2 s-1","NOx",9.73510003485874e-12
"1751","Tiantongshan","kg m-2 s-1","NOx",3.77274428162839e-12
"1751","Traunstein","kg m-2 s-1","NOx",1.80277447904185e-12
"1751","Tyson_Research_Center","kg m-2 s-1","NOx",2.8633846534467e-13
"1751","University_of_Maryland,_Baltimore_County","kg m-2 s-1","NOx",2.5123856812126e-12
"1751","Utah_Forest_Dynamics_Plot","kg m-2 s-1","NOx",1.19544240727078e-14
"1751","Wabikon","kg m-2 s-1","NOx",5.63055670212243e-15
"1751","Wanang","kg m-2 s-1","NOx",2.09750295448923e-14
"1751","Wind_River","kg m-2 s-1","NOx",2.04310235808129e-14
"1751","Wytham_Woods","kg m-2 s-1","NOx",2.08842249320874e-11
"1751","Xishuangbanna","kg m-2 s-1","NOx",2.08739001425614e-13
"1751","Yasuni","kg m-2 s-1","NOx",2.22629159259163e-14
"1751","Yosemite_National_Park","kg m-2 s-1","NOx",7.1253036309092e-15
"1751","Zofin","kg m-2 s-1","NOx",1.99653961339118e-12
"1752","Amacayacu","kg m-2 s-1","NOx",8.82245279482898e-15
"1752","Badagongshan","kg m-2 s-1","NOx",1.00751519757289e-12
"1752","Baishanzu","kg m-2 s-1","NOx",2.81889690863441e-13
"1752","Baotianman","kg m-2 s-1","NOx",1.35325672990052e-12
"1752","Barro_Colorado_Island","kg m-2 s-1","NOx",9.56643732837688e-14
"1752","Bidoup","kg m-2 s-1","NOx",4.47885804643169e-13
"1752","Bukit_Timah","kg m-2 s-1","NOx",1.00358871408897e-12
"1752","Changbaishan","kg m-2 s-1","NOx",4.25646320608845e-13
"1752","Cocoli","kg m-2 s-1","NOx",1.33666368184204e-13
"1752","Danum_Valley","kg m-2 s-1","NOx",1.28829632813738e-14
"1752","Daxinganling","kg m-2 s-1","NOx",6.71845090407541e-14
"1752","Dinghushan","kg m-2 s-1","NOx",3.09480600055398e-12
"1752","Doi_Inthanon","kg m-2 s-1","NOx",1.69141824527482e-13
"1752","Donglingshan","kg m-2 s-1","NOx",3.64620870965031e-13
"1752","Fushan","kg m-2 s-1","NOx",5.63830711711728e-13
"1752","Gutianshan","kg m-2 s-1","NOx",8.26300681693135e-13
"1752","Haliburton","kg m-2 s-1","NOx",2.92615938755668e-14
"1752","Harvard_Forest","kg m-2 s-1","NOx",1.81625364921392e-12
"1752","Heishiding","kg m-2 s-1","NOx",8.69066696726614e-13
"1752","Hong_Kong","kg m-2 s-1","NOx",2.10530705400214e-14
"1752","Huai_Kha_Khaeng","kg m-2 s-1","NOx",1.75705014638294e-13
"1752","Ilha_do_Cardoso","kg m-2 s-1","NOx",1.32157901508738e-15
"1752","Indian_Cave","kg m-2 s-1","NOx",1.06433425026042e-13
"1752","Ituri_(Edoro_and_Lenda)","kg m-2 s-1","NOx",4.3158574358708e-14
"1752","Jianfengling","kg m-2 s-1","NOx",1.073743477215e-12
"1752","Kenting","kg m-2 s-1","NOx",6.3782233765658e-14
"1752","Khao_Chong","kg m-2 s-1","NOx",3.71198802625499e-13
"1752","Korup","kg m-2 s-1","NOx",3.45589120607235e-13
"1752","Kuala_Belalong","kg m-2 s-1","NOx",3.3331562643641e-14
"1752","La_Planada","kg m-2 s-1","NOx",1.96083545264642e-13
"1752","Lambir","kg m-2 s-1","NOx",2.04251354378975e-14
"1752","Laupahoehoe","kg m-2 s-1","NOx",5.90427414753647e-13
"1752","Lienhuachih","kg m-2 s-1","NOx",7.99301741551047e-13
"1752","Lilly_Dickey_Woods","kg m-2 s-1","NOx",4.04155806802418e-14
"1752","Luquillo","kg m-2 s-1","NOx",8.95423935719291e-13
"1752","Manaus","kg m-2 s-1","NOx",6.63346242839063e-16
"1752","Michigan_Big_Woods","kg m-2 s-1","NOx",2.26268827107355e-13
"1752","Mo_Singto","kg m-2 s-1","NOx",3.46114033700911e-13
"1752","Mpala","kg m-2 s-1","NOx",4.43006502690729e-13
"1752","Mudumalai","kg m-2 s-1","NOx",1.74766775893785e-12
"1752","Nanjenshan","kg m-2 s-1","NOx",4.10212040939025e-13
"1752","Ngel_Nyaki","kg m-2 s-1","NOx",3.32091251216703e-13
"1752","Niobara","kg m-2 s-1","NOx",3.12525357285507e-14
"1752","Nonggang","kg m-2 s-1","NOx",8.66581037885314e-13
"1752","Ordway-Swisher","kg m-2 s-1","NOx",5.06788248525706e-14
"1752","Palamanui","kg m-2 s-1","NOx",5.14982338795989e-13
"1752","Palanan","kg m-2 s-1","NOx",1.23184902550491e-13
"1752","Pasoh","kg m-2 s-1","NOx",3.95368370238269e-14
"1752","Rabi","kg m-2 s-1","NOx",1.41791133201739e-14
"1752","San_Lorenzo","kg m-2 s-1","NOx",9.56643732837688e-14
"1752","Santa_Cruz","kg m-2 s-1","NOx",2.57045648728934e-13
"1752","Scotty_Creek","kg m-2 s-1","NOx",2.1611408475845e-16
"1752","Sinharaja","kg m-2 s-1","NOx",1.4235836427322e-12
"1752","Smithsonian_Conservation_Biology_Institute","kg m-2 s-1","NOx",6.10281015557418e-13
"1752","Smithsonian_Environmental_Research_Center","kg m-2 s-1","NOx",1.68985455733853e-12
