"sites.sitename","variable","Yr","Mo","Value","N.Obs"
"Amacayacu","pre",1911,6,218.3,0
"Amacayacu","pre",1911,7,167.4,0
"Amacayacu","pre",1911,8,160.5,0
"Amacayacu","pre",1911,9,205.6,0
"Amacayacu","pre",1911,10,243.1,0
"Amacayacu","pre",1911,11,251.9,0
"Amacayacu","pre",1911,12,280.7,0
"Amacayacu","pre",1912,1,358.8,0
"Amacayacu","pre",1912,2,283.3,0
"Amacayacu","pre",1912,3,344.5,0
"Amacayacu","pre",1912,4,325.4,0
"Amacayacu","pre",1912,5,282.7,0
"Amacayacu","pre",1912,6,218.3,0
"Amacayacu","pre",1912,7,167.4,0
"Amacayacu","pre",1912,8,160.5,0
"Amacayacu","pre",1912,9,205.6,0
"Amacayacu","pre",1912,10,243.1,0
"Amacayacu","pre",1912,11,251.9,0
"Amacayacu","pre",1912,12,280.7,0
"Amacayacu","pre",1913,1,358.8,0
"Amacayacu","pre",1913,2,283.3,0
"Amacayacu","pre",1913,3,344.5,0
"Amacayacu","pre",1913,4,325.4,0
"Amacayacu","pre",1913,5,282.7,0
"Amacayacu","pre",1913,6,218.3,0
"Amacayacu","pre",1913,7,167.4,0
"Amacayacu","pre",1913,8,160.5,0
"Amacayacu","pre",1913,9,205.6,0
"Amacayacu","pre",1913,10,243.1,0
"Amacayacu","pre",1913,11,251.9,0
"Amacayacu","pre",1913,12,280.7,0
"Amacayacu","pre",1914,1,358.8,0
"Amacayacu","pre",1914,2,283.3,0
"Amacayacu","pre",1914,3,344.5,0
"Amacayacu","pre",1914,4,325.4,0
"Amacayacu","pre",1914,5,282.7,0
"Amacayacu","pre",1914,6,218.3,0
"Amacayacu","pre",1914,7,167.4,0
"Amacayacu","pre",1914,8,160.5,0
"Amacayacu","pre",1914,9,205.6,0
"Amacayacu","pre",1914,10,243.1,0
"Amacayacu","pre",1914,11,251.9,0
"Amacayacu","pre",1914,12,280.7,0
"Amacayacu","pre",1915,1,358.8,0
"Amacayacu","pre",1915,2,283.3,0
"Amacayacu","pre",1915,3,344.5,0
"Amacayacu","pre",1915,4,325.4,0
"Amacayacu","pre",1915,5,282.7,0
"Amacayacu","pre",1915,6,218.3,0
"Amacayacu","pre",1915,7,167.4,0
"Amacayacu","pre",1915,8,160.5,0
"Amacayacu","pre",1915,9,205.6,0
"Amacayacu","pre",1915,10,243.1,0
"Amacayacu","pre",1915,11,251.9,0
"Amacayacu","pre",1915,12,280.7,0
"Amacayacu","pre",1916,1,358.8,0
"Amacayacu","pre",1916,2,283.3,0
"Amacayacu","pre",1916,3,344.5,0
"Amacayacu","pre",1916,4,325.4,0
"Amacayacu","pre",1916,5,282.7,0
"Amacayacu","pre",1916,6,218.3,0
"Amacayacu","pre",1916,7,167.4,0
"Amacayacu","pre",1916,8,160.5,0
"Amacayacu","pre",1916,9,205.6,0
"Amacayacu","pre",1916,10,243.1,0
"Amacayacu","pre",1916,11,251.9,0
"Amacayacu","pre",1916,12,280.7,0
"Amacayacu","pre",1917,1,358.8,0
"Amacayacu","pre",1917,2,283.3,0
"Amacayacu","pre",1917,3,344.5,0
"Amacayacu","pre",1917,4,325.4,0
"Amacayacu","pre",1917,5,282.7,0
"Amacayacu","pre",1917,6,218.3,0
"Amacayacu","pre",1917,7,167.4,0
"Amacayacu","pre",1917,8,160.5,0
"Amacayacu","pre",1917,9,205.6,0
"Amacayacu","pre",1917,10,243.1,0
"Amacayacu","pre",1917,11,251.9,0
"Amacayacu","pre",1917,12,280.7,0
"Amacayacu","pre",1918,1,358.8,0
"Amacayacu","pre",1918,2,283.3,0
"Amacayacu","pre",1918,3,344.5,0
"Amacayacu","pre",1918,4,325.4,0
"Amacayacu","pre",1918,5,282.7,0
"Amacayacu","pre",1918,6,218.3,0
"Amacayacu","pre",1918,7,167.4,0
"Amacayacu","pre",1918,8,160.5,0
"Amacayacu","pre",1918,9,205.6,0
"Amacayacu","pre",1918,10,243.1,0
"Amacayacu","pre",1918,11,251.9,0
"Amacayacu","pre",1918,12,280.7,0
"Amacayacu","pre",1919,1,358.8,0
"Amacayacu","pre",1919,2,283.3,0
"Amacayacu","pre",1919,3,344.5,0
"Amacayacu","pre",1919,4,325.4,0
"Amacayacu","pre",1919,5,282.7,0
"Amacayacu","pre",1919,6,218.3,0
"Amacayacu","pre",1919,7,167.4,0
"Amacayacu","pre",1919,8,160.5,0
"Amacayacu","pre",1919,9,205.6,0
"Amacayacu","pre",1919,10,243.1,0
"Amacayacu","pre",1919,11,251.9,0
"Amacayacu","pre",1919,12,280.7,0
"Amacayacu","pre",1920,1,358.8,0
"Amacayacu","pre",1920,2,283.3,0
"Amacayacu","pre",1920,3,344.5,0
"Amacayacu","pre",1920,4,325.4,0
"Amacayacu","pre",1920,5,282.7,0
"Amacayacu","pre",1920,6,218.3,0
"Amacayacu","pre",1920,7,167.4,0
"Amacayacu","pre",1920,8,160.5,0
"Amacayacu","pre",1920,9,205.6,0
"Amacayacu","pre",1920,10,243.1,0
"Amacayacu","pre",1920,11,251.9,0
"Amacayacu","pre",1920,12,280.7,0
"Amacayacu","pre",1921,1,358.8,0
"Amacayacu","pre",1921,2,283.3,0
"Amacayacu","pre",1921,3,344.5,0
"Amacayacu","pre",1921,4,325.4,0
"Amacayacu","pre",1921,5,282.7,0
"Amacayacu","pre",1921,6,218.3,0
"Amacayacu","pre",1921,7,167.4,0
"Amacayacu","pre",1921,8,160.5,0
"Amacayacu","pre",1921,9,205.6,0
"Amacayacu","pre",1921,10,243.1,0
"Amacayacu","pre",1921,11,251.9,0
"Amacayacu","pre",1921,12,280.7,0
"Amacayacu","pre",1922,1,358.8,0
"Amacayacu","pre",1922,2,283.3,0
"Amacayacu","pre",1922,3,344.5,0
"Amacayacu","pre",1922,4,325.4,0
"Amacayacu","pre",1922,5,282.7,0
"Amacayacu","pre",1922,6,218.3,0
"Amacayacu","pre",1922,7,167.4,0
"Amacayacu","pre",1922,8,160.5,0
"Amacayacu","pre",1922,9,205.6,0
"Amacayacu","pre",1922,10,243.1,0
"Amacayacu","pre",1922,11,251.9,0
"Amacayacu","pre",1922,12,280.7,0
"Amacayacu","pre",1923,1,358.8,0
"Amacayacu","pre",1923,2,283.3,0
"Amacayacu","pre",1923,3,344.5,0
"Amacayacu","pre",1923,4,325.4,0
"Amacayacu","pre",1923,5,282.7,0
"Amacayacu","pre",1923,6,218.3,0
"Amacayacu","pre",1923,7,167.4,0
"Amacayacu","pre",1923,8,160.5,0
"Amacayacu","pre",1923,9,205.6,0
"Amacayacu","pre",1923,10,243.1,0
"Amacayacu","pre",1923,11,251.9,0
"Amacayacu","pre",1923,12,280.7,0
"Amacayacu","pre",1924,1,358.8,0
"Amacayacu","pre",1924,2,283.3,0
"Amacayacu","pre",1924,3,344.5,0
"Amacayacu","pre",1924,4,325.4,0
"Amacayacu","pre",1924,5,282.7,0
"Amacayacu","pre",1924,6,218.3,0
"Amacayacu","pre",1924,7,167.4,0
"Amacayacu","pre",1924,8,160.5,0
"Amacayacu","pre",1924,9,205.6,0
"Amacayacu","pre",1924,10,243.1,0
"Amacayacu","pre",1924,11,251.9,0
"Amacayacu","pre",1924,12,280.7,0
"Amacayacu","pre",1925,1,358.8,0
"Amacayacu","pre",1925,2,283.3,0
"Amacayacu","pre",1925,3,344.5,0
"Amacayacu","pre",1925,4,325.4,0
"Amacayacu","pre",1925,5,282.7,0
"Amacayacu","pre",1925,6,218.3,0
"Amacayacu","pre",1925,7,167.4,0
"Amacayacu","pre",1925,8,160.5,0
"Amacayacu","pre",1925,9,205.6,0
"Amacayacu","pre",1925,10,243.1,0
"Amacayacu","pre",1925,11,251.9,0
"Amacayacu","pre",1925,12,280.7,0
"Amacayacu","pre",1926,1,358.8,0
"Amacayacu","pre",1926,2,283.3,0
"Amacayacu","pre",1926,3,344.5,0
"Amacayacu","pre",1926,4,325.4,0
"Amacayacu","pre",1926,5,282.7,0
"Amacayacu","pre",1926,6,218.3,0
"Amacayacu","pre",1926,7,167.4,0
"Amacayacu","pre",1926,8,160.5,0
"Amacayacu","pre",1926,9,205.6,0
"Amacayacu","pre",1926,10,243.1,0
"Amacayacu","pre",1926,11,251.9,0
"Amacayacu","pre",1926,12,280.7,0
"Amacayacu","pre",1927,1,358.8,0
"Amacayacu","pre",1927,2,283.3,0
"Amacayacu","pre",1927,3,344.5,0
"Amacayacu","pre",1927,4,325.4,0
"Amacayacu","pre",1927,5,282.7,0
"Amacayacu","pre",1927,6,218.3,0
"Amacayacu","pre",1927,7,167.4,0
"Amacayacu","pre",1927,8,160.5,0
"Amacayacu","pre",1927,9,205.6,0
"Amacayacu","pre",1927,10,243.1,0
"Amacayacu","pre",1927,11,251.9,0
"Amacayacu","pre",1927,12,280.7,0
"Amacayacu","pre",1928,1,358.8,0
"Amacayacu","pre",1928,2,283.3,0
"Amacayacu","pre",1928,3,344.5,0
"Amacayacu","pre",1928,4,325.4,0
"Amacayacu","pre",1928,5,282.7,0
"Amacayacu","pre",1928,6,218.3,0
"Amacayacu","pre",1928,7,167.4,0
"Amacayacu","pre",1928,8,160.5,0
"Amacayacu","pre",1928,9,205.6,0
"Amacayacu","pre",1928,10,243.1,0
"Amacayacu","pre",1928,11,251.9,0
"Amacayacu","pre",1928,12,280.7,0
"Amacayacu","pre",1929,1,358.8,0
"Amacayacu","pre",1929,2,283.3,0
"Amacayacu","pre",1929,3,344.5,0
"Amacayacu","pre",1929,4,325.4,0
"Amacayacu","pre",1929,5,282.7,0
"Amacayacu","pre",1929,6,218.3,0
"Amacayacu","pre",1929,7,167.4,0
"Amacayacu","pre",1929,8,160.5,0
"Amacayacu","pre",1929,9,205.6,0
"Amacayacu","pre",1929,10,243.1,0
"Amacayacu","pre",1929,11,251.9,0
"Amacayacu","pre",1929,12,280.7,0
"Amacayacu","pre",1930,1,358.8,0
"Amacayacu","pre",1930,2,283.3,0
"Amacayacu","pre",1930,3,344.5,0
"Amacayacu","pre",1930,4,325.4,0
"Amacayacu","pre",1930,5,282.7,0
"Amacayacu","pre",1930,6,218.3,0
"Amacayacu","pre",1930,7,167.4,0
"Amacayacu","pre",1930,8,160.5,0
"Amacayacu","pre",1930,9,205.6,0
"Amacayacu","pre",1930,10,243.1,0
"Amacayacu","pre",1930,11,251.9,0
"Amacayacu","pre",1930,12,280.7,0
"Amacayacu","pre",1931,1,358.8,0
"Amacayacu","pre",1931,2,283.3,0
"Amacayacu","pre",1931,3,346.2,1
"Amacayacu","pre",1931,4,328.5,1
"Amacayacu","pre",1931,5,282.7,0
"Amacayacu","pre",1931,6,218.3,0
"Amacayacu","pre",1931,7,158.4,1
"Amacayacu","pre",1931,8,160.5,0
"Amacayacu","pre",1931,9,205.6,0
"Amacayacu","pre",1931,10,249,1
"Amacayacu","pre",1931,11,251.9,0
"Amacayacu","pre",1931,12,280.7,0
"Amacayacu","pre",1932,1,520.9,2
"Amacayacu","pre",1932,2,331.1,1
"Amacayacu","pre",1932,3,366.7,2
"Amacayacu","pre",1932,4,404,2
"Amacayacu","pre",1932,5,326.6,1
"Amacayacu","pre",1932,6,295.7,1
"Amacayacu","pre",1932,7,160.6,2
"Amacayacu","pre",1932,8,144,1
"Amacayacu","pre",1932,9,260.6,1
"Amacayacu","pre",1932,10,245.3,2
"Amacayacu","pre",1932,11,260.2,1
"Amacayacu","pre",1932,12,211.8,1
"Amacayacu","pre",1933,1,226.5,2
"Amacayacu","pre",1933,2,196.7,1
"Amacayacu","pre",1933,3,637.6,2
"Amacayacu","pre",1933,4,339.8,2
"Amacayacu","pre",1933,5,118.4,1
"Amacayacu","pre",1933,6,155.4,1
"Amacayacu","pre",1933,7,115,2
"Amacayacu","pre",1933,8,101.9,1
"Amacayacu","pre",1933,9,165.2,1
"Amacayacu","pre",1933,10,167.7,2
"Amacayacu","pre",1933,11,266.1,1
"Amacayacu","pre",1933,12,277.6,1
"Amacayacu","pre",1934,1,289.4,2
"Amacayacu","pre",1934,2,157.4,1
"Amacayacu","pre",1934,3,271.2,2
"Amacayacu","pre",1934,4,231.7,2
"Amacayacu","pre",1934,5,456.3,1
"Amacayacu","pre",1934,6,401.2,1
"Amacayacu","pre",1934,7,115,2
"Amacayacu","pre",1934,8,147.6,1
"Amacayacu","pre",1934,9,223.5,1
"Amacayacu","pre",1934,10,255.5,2
"Amacayacu","pre",1934,11,296.4,1
"Amacayacu","pre",1934,12,247.8,1
"Amacayacu","pre",1935,1,283.9,2
"Amacayacu","pre",1935,2,136.2,1
"Amacayacu","pre",1935,3,432.1,2
"Amacayacu","pre",1935,4,256.5,2
"Amacayacu","pre",1935,5,361,1
"Amacayacu","pre",1935,6,217.6,1
"Amacayacu","pre",1935,7,105.5,2
"Amacayacu","pre",1935,8,128.3,1
"Amacayacu","pre",1935,9,131.2,1
"Amacayacu","pre",1935,10,157.3,2
"Amacayacu","pre",1935,11,250.1,1
"Amacayacu","pre",1935,12,188.7,1
"Amacayacu","pre",1936,1,377.5,2
"Amacayacu","pre",1936,2,257.8,1
"Amacayacu","pre",1936,3,347,2
"Amacayacu","pre",1936,4,270.9,2
"Amacayacu","pre",1936,5,250.8,1
"Amacayacu","pre",1936,6,165.8,1
"Amacayacu","pre",1936,7,84.5,2
"Amacayacu","pre",1936,8,98,1
"Amacayacu","pre",1936,9,253.8,1
"Amacayacu","pre",1936,10,189.6,2
"Amacayacu","pre",1936,11,240,1
