"sites.sitename","variable","Yr","Mo","Value","N.Obs"
"Amacayacu","dtr",1911,3,8.6,0
"Amacayacu","dtr",1911,4,8,0
"Amacayacu","dtr",1911,5,7.9,0
"Amacayacu","dtr",1911,6,8.4,0
"Amacayacu","dtr",1911,7,9.4,0
"Amacayacu","dtr",1911,8,9.7,0
"Amacayacu","dtr",1911,9,10,0
"Amacayacu","dtr",1911,10,9.4,0
"Amacayacu","dtr",1911,11,9.1,0
"Amacayacu","dtr",1911,12,8.5,0
"Amacayacu","dtr",1912,1,8.6,0
"Amacayacu","dtr",1912,2,8.7,0
"Amacayacu","dtr",1912,3,8.6,0
"Amacayacu","dtr",1912,4,8,0
"Amacayacu","dtr",1912,5,7.9,0
"Amacayacu","dtr",1912,6,8.4,0
"Amacayacu","dtr",1912,7,9.4,0
"Amacayacu","dtr",1912,8,9.7,0
"Amacayacu","dtr",1912,9,10,0
"Amacayacu","dtr",1912,10,9.4,0
"Amacayacu","dtr",1912,11,9.1,0
"Amacayacu","dtr",1912,12,8.5,0
"Amacayacu","dtr",1913,1,8.6,0
"Amacayacu","dtr",1913,2,8.7,0
"Amacayacu","dtr",1913,3,8.6,0
"Amacayacu","dtr",1913,4,8,0
"Amacayacu","dtr",1913,5,7.9,0
"Amacayacu","dtr",1913,6,8.4,0
"Amacayacu","dtr",1913,7,9.4,0
"Amacayacu","dtr",1913,8,9.7,0
"Amacayacu","dtr",1913,9,10,0
"Amacayacu","dtr",1913,10,9.4,0
"Amacayacu","dtr",1913,11,9.1,0
"Amacayacu","dtr",1913,12,8.5,0
"Amacayacu","dtr",1914,1,8.6,0
"Amacayacu","dtr",1914,2,8.7,0
"Amacayacu","dtr",1914,3,8.6,0
"Amacayacu","dtr",1914,4,8,0
"Amacayacu","dtr",1914,5,7.9,0
"Amacayacu","dtr",1914,6,8.4,0
"Amacayacu","dtr",1914,7,9.4,0
"Amacayacu","dtr",1914,8,9.7,0
"Amacayacu","dtr",1914,9,10,0
"Amacayacu","dtr",1914,10,9.4,0
"Amacayacu","dtr",1914,11,9.1,0
"Amacayacu","dtr",1914,12,8.5,0
"Amacayacu","dtr",1915,1,8.6,0
"Amacayacu","dtr",1915,2,8.7,0
"Amacayacu","dtr",1915,3,8.6,0
"Amacayacu","dtr",1915,4,8,0
"Amacayacu","dtr",1915,5,7.9,0
"Amacayacu","dtr",1915,6,8.4,0
"Amacayacu","dtr",1915,7,9.4,0
"Amacayacu","dtr",1915,8,9.7,0
"Amacayacu","dtr",1915,9,10,0
"Amacayacu","dtr",1915,10,9.4,0
"Amacayacu","dtr",1915,11,9.1,0
"Amacayacu","dtr",1915,12,8.5,0
"Amacayacu","dtr",1916,1,8.6,0
"Amacayacu","dtr",1916,2,8.7,0
"Amacayacu","dtr",1916,3,8.6,0
"Amacayacu","dtr",1916,4,8,0
"Amacayacu","dtr",1916,5,7.9,0
"Amacayacu","dtr",1916,6,8.4,0
"Amacayacu","dtr",1916,7,9.4,0
"Amacayacu","dtr",1916,8,9.7,0
"Amacayacu","dtr",1916,9,10,0
"Amacayacu","dtr",1916,10,9.4,0
"Amacayacu","dtr",1916,11,9.1,0
"Amacayacu","dtr",1916,12,8.5,0
