"Description: Standardized Precipitation Evapotranspiration Index (SPEI) at timescales between 1 and 48 months. Each column is a time series of monthly SPEI values starting on January 1901. Units: standard (Z) scores, i.e. normally distributed values with mean 0 and unit standard deviation. Missing value: NA. Not a number: nan. Version: 2.5 - July 2017. Comment: Using Penman equation for ET. Creators: Santiago Beguería - santiago.begueria_add_the_at_symbol_csic.es and Sergio Vicente-Serrano - svicen_add_the_at_symbol_ipe.csic.es."
SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
-0.10098,-1.00679,-1.15446,-1.57187,-1.05203,-0.32763,-0.61151,0.14185,-0.27854,0.24389,0.15096,0.11934,-0.06388,-0.01291,-0.02385,0.56354,0.24193,-0.02197,-0.2081,-0.37962,-0.55828,-0.17346,-0.41868,-0.21778,-0.41165,-0.37791,-0.16728,-0.14122,-0.06082,0.27335,0.20722,0.05598,-0.05898,-0.22773,-0.32579,-0.13688,-0.08309,-0.14639,-0.16444,-0.00144,-0.23947,-0.40925,-0.45955,-0.5368,-0.72417,-0.6883,-0.73381,-0.73862
0.80453,0.43789,-0.38069,-0.62493,-1.1397,-0.77918,-0.13083,-0.38821,0.31047,-0.08481,0.39169,0.31269,0.27073,0.08871,0.13221,0.10191,0.65535,0.35185,0.1003,-0.09044,-0.2627,-0.43959,-0.06482,-0.30313,-0.10942,-0.29617,-0.2678,-0.07054,-0.044,0.02971,0.3525,0.28355,0.13688,0.01521,-0.15126,-0.24794,-0.06098,-0.00551,-0.07366,-0.09129,0.06525,-0.17003,-0.33933,-0.39212,-0.46924,-0.65768,-0.62364,-0.66528
0.09615,0.61527,0.3899,-0.3151,-0.53965,-1.07236,-0.71926,-0.09967,-0.36664,0.31931,-0.08449,0.38656,0.31497,0.27693,0.09851,0.13623,0.10923,0.65473,0.36229,0.11186,-0.0817,-0.248,-0.42294,-0.04759,-0.28647,-0.09233,-0.28596,-0.2571,-0.0589,-0.02494,0.04976,0.37413,0.30466,0.15222,0.03003,-0.13883,-0.23786,-0.05044,0.00276,-0.06923,-0.08847,0.07338,-0.16321,-0.33485,-0.38646,-0.46656,-0.65193,-0.61825
1.48915,1.21915,1.33071,1.10804,0.52944,0.26155,-0.27408,-0.14003,0.41407,0.16717,0.738,0.36758,0.7547,0.68381,0.63324,0.46841,0.48292,0.43794,0.91849,0.64898,0.41987,0.21946,0.04811,-0.12359,0.2247,-0.00571,0.17594,-0.00927,0.01006,0.19291,0.21849,0.2906,0.59759,0.52385,0.37066,0.24121,0.0777,-0.01518,0.16722,0.21436,0.14087,0.1181,0.27258,0.03515,-0.13004,-0.19195,-0.27559,-0.46928
0.34084,1.26289,1.13817,1.2763,1.10872,0.60496,0.36993,-0.09502,-0.00839,0.47775,0.24242,0.77416,0.42164,0.77473,0.70602,0.66975,0.51359,0.52912,0.4858,0.9401,0.6804,0.47539,0.27892,0.11135,-0.05483,0.27821,0.06181,0.23363,0.05309,0.06915,0.24479,0.26735,0.33734,0.64248,0.5694,0.41718,0.28593,0.12411,0.03548,0.21579,0.26326,0.18896,0.16376,0.30541,0.07168,-0.0957,-0.1584,-0.24459
-0.57215,-0.2546,0.57018,0.52725,0.75732,0.65855,0.20182,0.01418,-0.3839,-0.26558,0.18992,-0.04244,0.49633,0.15538,0.53328,0.46624,0.43845,0.28609,0.31372,0.28817,0.76814,0.50797,0.30082,0.1195,-0.03832,-0.20068,0.13287,-0.08108,0.09059,-0.08657,-0.0603,0.11377,0.1289,0.20536,0.51333,0.44574,0.29331,0.16422,0.00452,-0.08387,0.09224,0.13892,0.07062,0.04801,0.1895,-0.0377,-0.20078,-0.2563
0.18669,-0.35837,-0.17905,0.51285,0.48854,0.72015,0.64169,0.22522,0.04321,-0.32455,-0.19838,0.21013,-0.0119,0.48808,0.16982,0.53708,0.47116,0.45124,0.3111,0.32969,0.30231,0.76134,0.51439,0.31631,0.14054,-0.01621,-0.18011,0.15423,-0.0538,0.11685,-0.05374,-0.02563,0.14785,0.15559,0.22863,0.52158,0.45633,0.30579,0.17607,0.02343,-0.06656,0.10851,0.15551,0.0893,0.06713,0.20032,-0.02652,-0.18598
-1.2278,-0.7073,-0.93533,-0.67869,-0.05152,-0.04621,0.18552,0.13882,-0.1906,-0.33174,-0.6759,-0.51611,-0.12287,-0.32536,0.18994,-0.11836,0.25633,0.19622,0.19004,0.04505,0.06882,0.05385,0.53254,0.28745,0.08921,-0.0782,-0.23655,-0.4011,-0.05854,-0.27703,-0.09798,-0.27137,-0.23693,-0.05906,-0.04384,0.03097,0.33329,0.27298,0.1227,-0.00339,-0.16112,-0.25391,-0.07608,-0.02889,-0.09481,-0.11818,0.01714,-0.20482
-0.55821,-1.33625,-1.04347,-1.22066,-0.92947,-0.3241,-0.31759,-0.0849,-0.1428,-0.42026,-0.53896,-0.90294,-0.70016,-0.28284,-0.48548,0.03673,-0.2694,0.11814,0.05291,0.03641,-0.11523,-0.08612,-0.09897,0.37811,0.12336,-0.06796,-0.22808,-0.3825,-0.5337,-0.20226,-0.41525,-0.24616,-0.41221,-0.37786,-0.20101,-0.185,-0.10333,0.19308,0.14216,0.00203,-0.11364,-0.26832,-0.35543,-0.17978,-0.13291,-0.19483,-0.21674,-0.07645
1.71858,1.15005,0.48227,0.45191,0.10001,0.18536,0.63171,0.62785,0.76564,0.68466,0.39962,0.26955,-0.02235,0.05173,0.40849,0.20875,0.62952,0.36036,0.66198,0.60771,0.58328,0.45116,0.45396,0.42715,0.8145,0.59661,0.43079,0.26777,0.1197,-0.03883,0.26184,0.07711,0.22629,0.06666,0.09233,0.24019,0.25246,0.32032,0.58916,0.52506,0.38846,0.26569,0.12515,0.03911,0.20509,0.24579,0.18078,0.15677
0.85935,1.70667,1.22182,0.69182,0.66972,0.3629,0.4126,0.79471,0.7905,0.90845,0.8392,0.56819,0.42329,0.13304,0.19002,0.53166,0.33719,0.72368,0.45794,0.7474,0.6943,0.67277,0.55201,0.55128,0.51979,0.89323,0.68205,0.52265,0.36398,0.22218,0.06376,0.34607,0.17246,0.31649,0.16641,0.18883,0.33015,0.33635,0.39742,0.65206,0.58826,0.458,0.33775,0.20465,0.12224,0.28112,0.3189,0.25467
-0.45483,0.34187,1.49381,1.00036,0.48177,0.49121,0.21685,0.30146,0.69574,0.68875,0.81259,0.74456,0.47866,0.3306,0.03458,0.10408,0.4402,0.24758,0.64397,0.38466,0.67761,0.62618,0.60498,0.48025,0.48508,0.45762,0.83194,0.6195,0.45966,0.30165,0.1607,0.00728,0.28759,0.11196,0.25888,0.10758,0.12706,0.27167,0.27542,0.33488,0.58996,0.52832,0.39803,0.27938,0.14965,0.06843,0.22678,0.26331
-0.55686,-0.70309,0.03475,1.22637,0.77203,0.27356,0.30752,0.0533,0.17362,0.58927,0.58493,0.70606,0.64479,0.38125,0.24353,-0.06982,0.01477,0.34733,0.15961,0.55698,0.29659,0.5994,0.54779,0.5285,0.40443,0.41474,0.39362,0.78049,0.56259,0.39735,0.24017,0.09916,-0.05341,0.23215,0.05906,0.20542,0.05313,0.07448,0.22118,0.22644,0.28882,0.5387,0.47828,0.35048,0.23417,0.10482,0.02647,0.18424
-0.31213,-0.66522,-0.79557,-0.10154,1.03291,0.60638,0.11941,0.1782,-0.04804,0.09209,0.50334,0.51136,0.62592,0.56614,0.31171,0.16343,-0.14818,-0.05534,0.27978,0.09564,0.48935,0.23261,0.53529,0.48162,0.4654,0.34552,0.35945,0.33616,0.72629,0.50889,0.3422,0.18588,0.04954,-0.10492,0.17743,0.00182,0.15118,0.0038,0.02092,0.16879,0.17436,0.23636,0.4856,0.42689,0.30048,0.18624,0.05515,-0.02179
-0.72538,-0.83383,-1.10471,-1.0587,-0.40555,0.79349,0.3877,-0.08113,-0.03418,-0.23619,-0.10037,0.33505,0.35136,0.47698,0.42026,0.16167,0.0215,-0.29427,-0.18496,0.1555,-0.02608,0.38479,0.13609,0.44156,0.39025,0.37504,0.24721,0.26582,0.24633,0.65246,0.43456,0.26376,0.10807,-0.03481,-0.18722,0.09984,-0.07997,0.07066,-0.08226,-0.06614,0.08422,0.0962,0.16052,0.41309,0.35794,0.22821,0.11896,-0.01354
-0.89149,-1.20907,-1.23642,-1.43062,-1.37365,-0.74308,0.4987,0.09204,-0.35612,-0.315,-0.48279,-0.3291,0.12411,0.1405,0.26969,0.21489,-0.04466,-0.18647,-0.49593,-0.38562,-0.04185,-0.21226,0.20848,-0.03318,0.28068,0.22801,0.21042,0.08049,0.10892,0.0885,0.51669,0.29186,0.1109,-0.04091,-0.18375,-0.3303,-0.03797,-0.21844,-0.06478,-0.22102,-0.2022,-0.04854,-0.0303,0.03586,0.29741,0.24673,0.11433,0.00607
-1.06855,-1.45306,-1.64185,-1.729,-1.96678,-1.75817,-1.20901,0.11869,-0.2667,-0.70123,-0.65409,-0.80516,-0.65347,-0.19484,-0.18201,-0.03301,-0.08268,-0.32361,-0.45587,-0.75156,-0.62911,-0.28012,-0.43168,-0.01757,-0.24783,0.06803,0.01973,9e-05,-0.13131,-0.09766,-0.11274,0.32623,0.09836,-0.07802,-0.21834,-0.36398,-0.50322,-0.21255,-0.39373,-0.23953,-0.39612,-0.3735,-0.21727,-0.20351,-0.12924,0.13148,0.08753,-0.04599
-1.22893,-1.4768,-1.66003,-1.8205,-1.95429,-2.14925,-1.88885,-1.54112,-0.41296,-0.69846,-1.0629,-1.00916,-1.13316,-0.99322,-0.58407,-0.57199,-0.41688,-0.45572,-0.65778,-0.77028,-1.04009,-0.90032,-0.56362,-0.68722,-0.28561,-0.50757,-0.18946,-0.24076,-0.25771,-0.38471,-0.33961,-0.35264,0.08381,-0.13731,-0.30719,-0.42948,-0.56934,-0.69662,-0.41813,-0.59706,-0.45017,-0.59995,-0.56946,-0.41483,-0.39665,-0.31825,-0.06449,-0.0984
-2.09701,-2.21905,-2.00524,-2.1053,-2.2221,-2.47507,-2.75712,-2.3806,-2.10883,-1.155,-1.25412,-1.51228,-1.42892,-1.53989,-1.41239,-1.0387,-1.03989,-0.89647,-0.93726,-1.10756,-1.22054,-1.45083,-1.29938,-0.96669,-1.05214,-0.67888,-0.89012,-0.56693,-0.62834,-0.64252,-0.76294,-0.70537,-0.70962,-0.25907,-0.47732,-0.64769,-0.7496,-0.88502,-0.99452,-0.72442,-0.90635,-0.76429,-0.91012,-0.87087,-0.7131,-0.68428,-0.59835,-0.34366
-1.97048,-2.27772,-2.25653,-2.18252,-2.31554,-2.43848,-2.6096,-2.84593,-2.60484,-2.43069,-1.65342,-1.6702,-1.84772,-1.73951,-1.87911,-1.76495,-1.39731,-1.41473,-1.29847,-1.34496,-1.47224,-1.59791,-1.7933,-1.64836,-1.31208,-1.36912,-1.01481,-1.20855,-0.89568,-0.965,-0.98477,-1.0981,-1.03884,-1.03839,-0.57325,-0.7852,-0.9479,-1.0283,-1.1555,-1.24749,-0.98852,-1.17046,-1.03738,-1.17436,-1.12614,-0.97388,-0.93612,-0.84365
-1.38457,-2.20752,-2.54466,-2.62595,-2.57271,-2.64163,-2.75921,-3.00032,-3.0773,-2.95461,-3.03446,-2.15516,-2.09882,-2.23429,-2.05709,-2.29798,-2.20008,-1.76684,-1.79,-1.66721,-1.68756,-1.76598,-1.87504,-2.03969,-1.86341,-1.54507,-1.57338,-1.23919,-1.40293,-1.11827,-1.19061,-1.20986,-1.31334,-1.24977,-1.25032,-0.79878,-0.9891,-1.13482,-1.19298,-1.31502,-1.3918,-1.14753,-1.32734,-1.20545,-1.33832,-1.28536,-1.13831,-1.09527
-1.9128,-2.25107,-2.85488,-3.14807,-3.38318,-3.11791,-2.97781,-3.14499,-3.31748,-3.37783,-3.19408,-3.32078,-2.68533,-2.40765,-2.4698,-2.30404,-2.53095,-2.46515,-2.04892,-2.0866,-1.96947,-1.98693,-2.03119,-2.13095,-2.2534,-2.06819,-1.77404,-1.79114,-1.49941,-1.64941,-1.38142,-1.46567,-1.48894,-1.5829,-1.51454,-1.51059,-1.08203,-1.25048,-1.38179,-1.41815,-1.53364,-1.59064,-1.36506,-1.53938,-1.43249,-1.55003,-1.49221,-1.35034
-0.97821,-1.91457,-2.03466,-2.60014,-2.92143,-3.36124,-3.20764,-3.05186,-3.25941,-3.5348,-3.6841,-3.32402,-3.25955,-2.56586,-2.36734,-2.42849,-2.27982,-2.47847,-2.383,-2.06598,-2.10474,-2.017,-2.04599,-2.07483,-2.15504,-2.31796,-2.10406,-1.82915,-1.83773,-1.58342,-1.70593,-1.45722,-1.53737,-1.56597,-1.65828,-1.59406,-1.59387,-1.18069,-1.32792,-1.44557,-1.47372,-1.58396,-1.63182,-1.42434,-1.58795,-1.49052,-1.59856,-1.5463
-0.33596,-0.96074,-1.75343,-1.90137,-2.43321,-2.87205,-3.34,-3.38461,-3.34216,-3.52194,-3.81639,-3.88336,-3.45723,-3.29785,-2.57121,-2.41141,-2.44526,-2.28573,-2.49629,-2.42034,-2.11213,-2.15016,-2.05852,-2.0731,-2.10559,-2.19369,-2.3467,-2.12858,-1.86029,-1.86525,-1.61069,-1.73213,-1.48464,-1.55951,-1.59175,-1.68307,-1.6148,-1.61869,-1.20874,-1.34406,-1.45765,-1.48295,-1.58886,-1.63329,-1.43475,-1.59586,-1.50196,-1.60438
-1.32238,-1.04073,-1.41709,-2.10445,-2.1279,-2.65426,-3.18309,-3.61796,-3.99628,-3.85303,-4.16023,-4.32021,-4.70241,-4.00839,-3.97738,-2.87669,-2.66769,-2.65237,-2.45022,-2.67755,-2.56787,-2.267,-2.30994,-2.223,-2.24476,-2.25999,-2.37151,-2.54116,-2.29466,-2.00142,-1.98808,-1.73642,-1.84785,-1.61119,-1.69509,-1.7263,-1.81506,-1.73801,-1.74703,-1.32732,-1.4557,-1.55811,-1.57506,-1.68331,-1.71945,-1.52285,-1.69067,-1.603
-0.72463,-1.45955,-1.32262,-1.57055,-2.16574,-2.13578,-2.54168,-3.1496,-3.67623,-4.41172,-4.11882,-4.88156,-4.77971,-5.12816,-4.31024,-3.96824,-2.9125,-2.7464,-2.7231,-2.50451,-2.70898,-2.59602,-2.30955,-2.33593,-2.26462,-2.30015,-2.31277,-2.40689,-2.58389,-2.33776,-2.04473,-2.02215,-1.78784,-1.88212,-1.65442,-1.72578,-1.76641,-1.85902,-1.77689,-1.7877,-1.38312,-1.49879,-1.59497,-1.60756,-1.71468,-1.74946,-1.56087,-1.72172
0.12847,-0.40862,-1.16391,-1.04318,-1.35379,-2.07056,-2.11118,-2.5645,-3.17015,-3.85608,-4.16417,-4.10097,-5.13487,-5.16904,-5.66611,-4.32064,-4.06821,-2.94844,-2.8283,-2.78941,-2.54319,-2.80126,-2.72072,-2.38086,-2.41981,-2.34636,-2.35283,-2.36601,-2.48429,-2.71631,-2.45183,-2.12612,-2.09199,-1.83005,-1.92836,-1.68082,-1.75946,-1.7967,-1.88961,-1.79683,-1.79911,-1.38759,-1.50633,-1.6088,-1.62185,-1.72536,-1.76271,-1.56808
-0.32478,-0.26502,-0.62412,-1.18908,-1.12641,-1.42691,-2.08607,-2.0536,-2.51868,-3.04895,-3.79765,-4.3286,-4.23922,-5.2524,-4.84747,-5.07506,-4.09008,-3.75524,-2.86222,-2.72501,-2.70167,-2.49082,-2.71061,-2.66382,-2.35418,-2.40035,-2.32179,-2.33874,-2.36996,-2.46326,-2.64938,-2.43468,-2.11475,-2.08329,-1.84254,-1.93204,-1.70318,-1.7803,-1.81931,-1.8961,-1.81148,-1.81663,-1.42492,-1.53146,-1.63491,-1.64861,-1.74616,-1.77701
0.63296,0.25681,0.21428,-0.09527,-0.60153,-0.65571,-0.94235,-1.76843,-1.80188,-2.20068,-2.63853,-3.31278,-3.54604,-3.47169,-3.84256,-3.9507,-4.06476,-3.66182,-3.38096,-2.58569,-2.483,-2.57296,-2.35758,-2.55522,-2.50844,-2.20164,-2.26871,-2.1729,-2.18926,-2.24551,-2.32062,-2.50665,-2.31418,-2.02758,-2.00462,-1.74682,-1.83881,-1.60802,-1.68839,-1.72875,-1.81462,-1.73159,-1.73358,-1.32821,-1.44286,-1.54401,-1.56289,-1.66243
-0.68889,-0.12377,-0.31594,-0.30848,-0.50407,-0.89765,-0.89986,-1.15016,-1.82006,-1.87646,-2.15346,-2.45255,-2.77251,-2.95238,-2.93519,-3.14957,-3.25659,-3.36889,-3.20103,-3.11879,-2.52653,-2.49187,-2.57286,-2.39267,-2.57918,-2.52346,-2.24563,-2.32982,-2.23424,-2.2435,-2.32072,-2.3787,-2.50189,-2.34427,-2.08125,-2.05592,-1.80039,-1.87736,-1.6613,-1.7396,-1.77231,-1.84786,-1.76901,-1.76714,-1.38799,-1.49,-1.58005,-1.59737
0.74656,-0.04493,0.21299,0.00972,0.00705,-0.16214,-0.51661,-0.58206,-0.83079,-1.47587,-1.6527,-1.94093,-2.22853,-2.48186,-2.65639,-2.7315,-2.90103,-3.04464,-3.21544,-3.03174,-2.92472,-2.29025,-2.32595,-2.44059,-2.27149,-2.44783,-2.37205,-2.1225,-2.20722,-2.11683,-2.13334,-2.23302,-2.31381,-2.42364,-2.25632,-1.96543,-1.95549,-1.69242,-1.78009,-1.57281,-1.63881,-1.67003,-1.75358,-1.68014,-1.67896,-1.28917,-1.3976,-1.49253
0.91885,0.98545,0.34818,0.51935,0.34825,0.35036,0.17635,-0.12719,-0.21058,-0.45203,-1.01376,-1.33636,-1.71137,-2.01654,-2.29569,-2.45961,-2.50417,-2.69561,-2.87531,-3.02459,-2.82284,-2.75958,-2.1014,-2.18765,-2.34584,-2.1756,-2.33721,-2.21238,-1.96843,-2.02344,-1.95072,-1.9599,-2.09129,-2.14887,-2.28465,-2.11225,-1.82622,-1.82837,-1.56031,-1.66329,-1.44546,-1.50505,-1.53249,-1.61431,-1.54218,-1.53945,-1.16803,-1.28459
-0.46751,0.21666,0.47058,-0.01315,0.23054,0.07843,0.08537,-0.06719,-0.37185,-0.41544,-0.63667,-1.22436,-1.53691,-1.92524,-2.22295,-2.63547,-2.89304,-2.92348,-3.16154,-3.32817,-3.41167,-3.06577,-2.94722,-2.2192,-2.26017,-2.43365,-2.23979,-2.37981,-2.23768,-2.02172,-2.08325,-1.99555,-2.0056,-2.11722,-2.18223,-2.29031,-2.14136,-1.86126,-1.8579,-1.60827,-1.70547,-1.49486,-1.55873,-1.59358,-1.67674,-1.60346,-1.60467,-1.23828
-1.10292,-1.27225,-0.5411,-0.17225,-0.50983,-0.20453,-0.33684,-0.32623,-0.47209,-0.73935,-0.76999,-0.99321,-1.5844,-1.77389,-2.08347,-2.34713,-2.70911,-2.97279,-2.97344,-3.22939,-3.34128,-3.41263,-3.1152,-2.99703,-2.30997,-2.33161,-2.48586,-2.31737,-2.46978,-2.34933,-2.13595,-2.21125,-2.13305,-2.13322,-2.23226,-2.28581,-2.41604,-2.26534,-1.99715,-1.97615,-1.73304,-1.8134,-1.61974,-1.6796,-1.71925,-1.79038,-1.71645,-1.71628
-1.38456,-1.67608,-1.57687,-1.05671,-0.70383,-0.95131,-0.60907,-0.69382,-0.67765,-0.81083,-1.06499,-1.07041,-1.2751,-1.77406,-1.90678,-2.1524,-2.36204,-2.67856,-2.83928,-2.89927,-3.12643,-3.27029,-3.36178,-3.09136,-2.96748,-2.42102,-2.38593,-2.5091,-2.35109,-2.51072,-2.37747,-2.17781,-2.25103,-2.1973,-2.20752,-2.29777,-2.3589,-2.44847,-2.29596,-2.04627,-2.02091,-1.80391,-1.86976,-1.69504,-1.75279,-1.79343,-1.8566,-1.78901
-0.90827,-1.51868,-1.80882,-1.68441,-1.26644,-0.94706,-1.16429,-0.81473,-0.87743,-0.86326,-1.00796,-1.25957,-1.24321,-1.4412,-1.91742,-2.03666,-2.24242,-2.42362,-2.76008,-2.94972,-3.03939,-3.26206,-3.40009,-3.44656,-3.17999,-3.07863,-2.51656,-2.46411,-2.5845,-2.41934,-2.57536,-2.4493,-2.24548,-2.31286,-2.27304,-2.28031,-2.35456,-2.4236,-2.48777,-2.32127,-2.07925,-2.05275,-1.8458,-1.90389,-1.74179,-1.80156,-1.84378,-1.89974
1.14145,0.26654,-0.59666,-1.16139,-1.25814,-0.86324,-0.55899,-0.80638,-0.4906,-0.59032,-0.56673,-0.71917,-0.97798,-0.98909,-1.20065,-1.68006,-1.86558,-2.11891,-2.31654,-2.63539,-2.78121,-2.88045,-3.08551,-3.1937,-3.27358,-3.03894,-2.95959,-2.40361,-2.37617,-2.4962,-2.32417,-2.45741,-2.32524,-2.12941,-2.19955,-2.14538,-2.15336,-2.23165,-2.31263,-2.3865,-2.22463,-1.96664,-1.94547,-1.73192,-1.80052,-1.62687,-1.68858,-1.72961
0.08701,0.86129,0.24983,-0.49274,-1.04329,-1.17724,-0.82737,-0.54579,-0.77937,-0.47221,-0.57383,-0.54918,-0.70179,-0.96294,-0.98221,-1.18277,-1.64063,-1.84755,-2.10151,-2.29322,-2.57985,-2.71278,-2.81835,-2.98081,-3.09859,-3.20421,-2.99341,-2.88076,-2.36078,-2.34038,-2.45281,-2.28199,-2.42008,-2.27189,-2.0795,-2.12584,-2.08896,-2.10989,-2.17505,-2.25492,-2.32779,-2.1677,-1.92312,-1.90475,-1.70239,-1.77333,-1.60317,-1.66104
1.38464,1.12925,1.40449,0.86407,0.22298,-0.37502,-0.64889,-0.32078,-0.06174,-0.30267,-0.05839,-0.16958,-0.14072,-0.29604,-0.55665,-0.60112,-0.81877,-1.30463,-1.5795,-1.89172,-2.12143,-2.43208,-2.61693,-2.7127,-2.89623,-3.02136,-3.07303,-2.87944,-2.76944,-2.2338,-2.25275,-2.39038,-2.20989,-2.33246,-2.17901,-1.95892,-2.00242,-1.9479,-1.9666,-2.03467,-2.10315,-2.20092,-2.04337,-1.80065,-1.79297,-1.57027,-1.65548,-1.47257
-0.90623,0.44724,0.38672,0.85675,0.41494,-0.127,-0.65729,-0.88409,-0.58694,-0.34516,-0.551,-0.2899,-0.39347,-0.36703,-0.51624,-0.77321,-0.80499,-1.01165,-1.46582,-1.70014,-1.97007,-2.17075,-2.45358,-2.6422,-2.72178,-2.89731,-2.98724,-3.05006,-2.90388,-2.78721,-2.29093,-2.3147,-2.41173,-2.24314,-2.35808,-2.21442,-2.01692,-2.0651,-2.02154,-2.02578,-2.08804,-2.15518,-2.24685,-2.08455,-1.86548,-1.85678,-1.64435,-1.71766
1.32491,0.5974,1.21622,1.10744,1.35033,0.98115,0.50011,0.03962,-0.31081,-0.05417,0.1603,-0.03175,0.15573,0.0444,0.06276,-0.07418,-0.31457,-0.37241,-0.58333,-1.03066,-1.30765,-1.65119,-1.88936,-2.14788,-2.33107,-2.42015,-2.61539,-2.67574,-2.73647,-2.63982,-2.49599,-1.99936,-2.05656,-2.20868,-2.05519,-2.15772,-2.01294,-1.80866,-1.85369,-1.80379,-1.81906,-1.89532,-1.95935,-2.03148,-1.892,-1.67125,-1.67486,-1.46222
0.76771,1.28484,0.78481,1.27194,1.18079,1.37812,1.07556,0.64828,0.26825,-0.07132,0.14365,0.32972,0.12163,0.28824,0.17732,0.1959,0.07538,-0.14153,-0.19886,-0.38922,-0.80703,-1.08702,-1.43239,-1.69881,-1.92911,-2.08916,-2.18615,-2.37109,-2.41858,-2.47399,-2.4388,-2.28076,-1.77643,-1.85865,-2.02186,-1.89025,-1.97392,-1.83784,-1.63844,-1.67083,-1.61065,-1.62629,-1.70779,-1.7655,-1.84858,-1.72447,-1.51761,-1.53215
-0.08697,0.47945,1.01369,0.59507,1.08132,1.03317,1.25463,0.96448,0.56248,0.21467,-0.08882,0.09256,0.26652,0.06924,0.23407,0.14029,0.15386,0.04436,-0.16279,-0.22527,-0.41683,-0.82397,-1.09337,-1.43247,-1.69311,-1.92834,-2.07819,-2.19821,-2.39723,-2.45848,-2.52493,-2.50174,-2.35255,-1.80147,-1.87817,-2.02441,-1.89717,-1.9794,-1.84388,-1.65895,-1.68347,-1.62462,-1.6441,-1.72804,-1.78674,-1.85133,-1.7266,-1.52223
-0.63609,-0.55405,-0.06259,0.54937,0.2161,0.67364,0.6649,0.92035,0.66663,0.31545,-0.00145,-0.27081,-0.1007,0.06853,-0.10052,0.06291,-0.03088,-0.01206,-0.1127,-0.32277,-0.38183,-0.56674,-0.96529,-1.23407,-1.57102,-1.82325,-2.06621,-2.18075,-2.3157,-2.50086,-2.60062,-2.65292,-2.65836,-2.47155,-1.92469,-1.98212,-2.11673,-1.98462,-2.06697,-1.93029,-1.74379,-1.77,-1.71575,-1.72879,-1.80018,-1.85101,-1.90038,-1.78556
-1.01871,-1.23445,-1.10478,-0.59594,0.09119,-0.20405,0.24565,0.26612,0.53368,0.31787,0.01147,-0.32239,-0.55179,-0.35702,-0.18909,-0.34715,-0.1687,-0.25969,-0.2449,-0.36161,-0.57585,-0.61736,-0.79389,-1.17302,-1.42423,-1.74853,-1.96458,-2.18908,-2.27285,-2.41957,-2.61614,-2.67561,-2.72911,-2.71404,-2.55514,-2.02194,-2.07935,-2.19235,-2.06016,-2.15287,-2.0168,-1.83646,-1.87405,-1.83379,-1.84804,-1.91498,-1.96981,-2.02839
1.3673,0.54103,0.06498,-0.05836,0.2973,0.74585,0.44175,0.8111,0.78734,0.97555,0.77025,0.48141,0.1987,-0.05847,0.11163,0.25835,0.1002,0.24915,0.15297,0.17225,0.0641,-0.13339,-0.19767,-0.36516,-0.74409,-1.00708,-1.33329,-1.60036,-1.81123,-1.92135,-2.04515,-2.2129,-2.26892,-2.3119,-2.31087,-2.15776,-1.68753,-1.76402,-1.91019,-1.78936,-1.86981,-1.74892,-1.56942,-1.58576,-1.5345,-1.54937,-1.62932,-1.68662
1.69255,1.81528,1.23242,0.89469,0.77156,0.96432,1.24515,0.97869,1.26074,1.21785,1.35286,1.17547,0.89666,0.62955,0.39634,0.55654,0.66574,0.50176,0.60698,0.52426,0.53782,0.44323,0.26851,0.19304,0.03061,-0.32359,-0.60197,-0.93107,-1.22421,-1.42273,-1.53023,-1.63604,-1.76667,-1.82429,-1.88368,-1.89644,-1.76422,-1.30845,-1.39339,-1.54932,-1.45678,-1.5349,-1.43929,-1.25683,-1.26418,-1.2013,-1.22236,-1.31563
0.10465,1.45951,1.73732,1.1563,0.83591,0.73973,0.93128,1.21432,0.96904,1.23139,1.20026,1.33385,1.1643,0.89093,0.62279,0.40038,0.55391,0.65902,0.50005,0.60686,0.52866,0.54053,0.44574,0.2697,0.19795,0.03878,-0.3086,-0.58892,-0.91998,-1.21266,-1.40428,-1.51248,-1.61521,-1.73674,-1.79831,-1.85756,-1.864,-1.7398,-1.28732,-1.36438,-1.51722,-1.42857,-1.50378,-1.41163,-1.23401,-1.24193,-1.17996,-1.2
1.12229,0.80539,1.5475,1.83061,1.36981,1.08814,1.00753,1.15974,1.39226,1.17824,1.40208,1.36528,1.47135,1.31682,1.06008,0.80608,0.60073,0.74536,0.83281,0.67047,0.75845,0.68814,0.69622,0.6047,0.43816,0.36674,0.21241,-0.12627,-0.40682,-0.7482,-1.06125,-1.25596,-1.37015,-1.4815,-1.60171,-1.6569,-1.71948,-1.72676,-1.60268,-1.14226,-1.22815,-1.38656,-1.30332,-1.3798,-1.29137,-1.10559,-1.11126,-1.04542
