Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
36,Tyson Research Center,123.57,114.4,101.67,102.83,116.61,111.04,104.04,113.35,111.35,120.23,110.7,117.2,112.04,112.95,105.67,109.39,100.24,109.71,118.13,111.96,103.78,111.35,90.91,99.03,105.38,117.33,99.99,116.14,116.24,116.09,102.68,108.34,102.6,105.95,103.34,100.81,91.13,117.88,110.22,82.1,91.23,85.16,109.11,88.45,105.19,121.13,108.98,87.01,93.59,106.17,97.28,104.89,97.87,89.59,96.8,89.99,96.44,113.22,94.42,103.11,88.39,78.78
37,Wabikon Lake Forest,196.56,204.73,189.6,206.74,191.61,206.33,209.27,207.39,203.09,202.19,206.76,195.37,194.97,202.02,197.19,214.04,221.53,194.17,207,191.28,194.85,210.63,188.05,212.13,200.74,221.84,187.34,199.02,203.34,204.73,206.95,198.12,202.87,198.53,196.56,193.59,201.18,204.04,215.92,204.33,195.63,211.8,214.08,193.03,203.63,207.37,208.22,178.43,195.1,200.61,186.09,209.06,203.98,194.68,189.64,188.57,186.71,203.71,201.83,186.8,194.1,192.17
38,Wind River,169.74,164.53,141.44,161.75,169.16,163.35,153.39,127.84,150.69,155.46,145.66,150.42,142.29,165.68,146.15,145.25,141.12,145.08,150.49,156.54,161.75,160.09,145.15,151.87,156.28,159.41,153.78,152.31,142.51,140.97,136.57,161.66,133.49,148.69,167.25,134.22,137.3,140,141.31,138.45,139.23,118.22,150.7,140.41,130.9,151.42,135.18,130.37,146.09,146.94,148.31,148.4,127.51,127.99,140.69,138.9,146.68,151.62,151.09,137.53,155.36,138.43
39,Yosemite National Park,183.09,184.59,194.73,182.59,192.54,186.31,181.55,173.42,180.58,187.32,181.86,184.41,175.23,186.77,182.85,167.35,176.95,178.29,179.84,171.22,190.94,172.69,169.46,168.43,184.66,185.12,173.01,161.09,169.7,168.23,161.71,183.59,176.63,171.76,177.78,167.05,151.34,165.88,168.88,173.52,165.59,147.8,162.75,166.93,155.04,150.09,146.29,162.74,156.44,149.31,143.15,146.23,135.58,130.71,128.56,140.43,138.39,138.43,143.89,140.56,150.47,127.51
40,Ilha do Cardoso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Manaus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Amacayacu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,La Planada,0,0,0.17,0.23,0,0.06,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.04,0.01,0,0,0,0.08,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.06,0,0,0,0,0
44,Yasuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Barro Colorado Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Cocoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,San Lorenzo/ Sherman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Luquillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Laupahoehoe ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Palamanui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0
51,Badagongshan,73.26,66.21,54.46,67.58,64.61,74.41,61.27,60.28,53.3,58.9,54.09,65.88,66.6,67.19,52.68,55.74,70.84,55.05,72.31,63.61,73.33,57.48,49.74,65.5,57.77,62.54,58.87,56.36,58.23,59.98,58.01,59.99,57.35,71.7,66.48,55.97,53.71,64.49,59.28,51.75,53.29,60.29,63.27,50.54,51.73,65.47,44.93,51.21,45.04,54.84,48.6,41.15,53.61,41.45,58.7,51.12,40.49,60.16,51.14,51.26,58.83,60.53
52,Baotianman,99.78,90.37,89.52,94.1,103.46,111.15,91.62,91.77,84.16,90.6,81.09,97.11,95.17,88.79,90.45,92.46,103.77,85.46,104.29,99.08,100.8,90.36,83.43,89.15,85.38,97.25,83.81,88.4,91.72,91.03,88.72,82.75,90.33,91.56,95.34,90.39,89.85,94.62,82.95,79.79,90.13,96.09,87.8,80.76,87.26,90.1,77.31,75.42,75.09,80.09,77.1,66.83,73.93,68.82,80.56,70.74,62.41,76.56,75.98,76.58,77.03,83.17
53,Changbaishan,223.28,224.26,224.93,223.94,220.53,220.88,223.61,223.21,215.3,226.64,218.89,224.9,223.39,224.57,225.74,220.86,218.83,221.45,226.85,216.95,221.88,225.19,221.19,222.35,212.45,222.96,220.28,224.08,223.08,222.44,220.99,219.36,214.2,221.76,218.53,220.76,222.99,218.1,220.48,213.3,216.69,219.19,217.75,214.2,220.15,219.32,222.48,200.07,217.08,214.74,216.54,215.43,208.9,211.54,211.85,214.79,209.49,210.56,211.71,210.84,219.6,209.59
54,Donglingshan,183.2,178.28,176.03,174.92,173.84,178.41,176.63,172.9,165.78,173.37,164.13,180.48,175.14,168.14,175.62,173.6,176.61,176.51,174.6,176.16,179.23,177.3,168.68,177.46,162.66,176.96,163.16,172.79,169.71,177.79,170.46,160.23,162.13,172,166.4,170.61,166.6,164.86,159.19,158.56,166.29,164.1,161.94,155.47,156.5,162.65,158.65,149.45,159.41,157.3,155.8,156.73,156.51,152.7,155.25,152.82,153.39,152.79,155.5,165.89,153.11,158.48
55,Gutianshan,50.39,57.6,39.97,52.26,56.81,61.26,47.14,52.79,39.25,47.46,51.15,62.96,59.02,60.44,51.21,45.14,69.38,50.18,70.42,58.75,60.46,50.82,45.85,52.15,46.15,52.25,56.03,48.92,37.48,51.17,55.37,50.76,53.3,63.43,57.86,54.11,48.84,56.46,44.71,38.13,43.95,48.58,52.98,40.77,54.36,57.99,40.4,38.32,41.66,40.73,39.69,31.44,48.26,37.3,61.56,42.6,34.69,61.11,49.2,45.95,57.48,51.04
56,Tiantongshan,29.49,34.26,23.44,30.69,34.73,38.42,35.09,34.7,26.97,29.39,31.1,37.5,47.96,31.63,33.15,26.53,50.64,37.33,43.31,37.64,40.91,31.92,28.71,34.25,31.02,34.32,35.97,33.81,20.46,35.38,31.39,31,31.8,38.59,32.36,35.09,30.65,27.99,23.46,22.31,24.41,26.35,32.09,24.61,33.87,32.81,25.54,17.99,23.37,23.01,24.21,18.09,30.54,21.4,42.07,21.7,15.07,33.62,25.41,26.63,39.34,32.54
57,Zofin,124.93,136.03,129.87,135.52,140.31,146.73,121.96,128.81,129.49,123.41,113.91,141.37,139.77,133.39,140.47,113.46,122.1,129.54,137.58,131.58,135.65,134.48,140.87,110.36,126.04,129.41,119.18,128.87,132.68,147.71,122.86,130.19,128.26,132.87,138.89,134.64,135.88,120.66,117.29,115.67,132.29,119.47,127.64,105.91,119.84,139.31,135.54,122.16,119.45,99.62,122.73,113.56,136.97,123.09,131.1,120.66,101.78,107.74,107.62,128.98,112.83,110.28
58,Speulderbos,85.36,102.09,79.51,92.05,105.44,101.17,73.03,95.84,87.85,79.92,80.42,107.45,114.73,101.06,102.33,86,75.96,97.97,101.77,102.48,87.74,96.39,98.84,72.02,84.75,94.47,72.97,89.21,98.58,94.15,92.51,88.42,79.63,86.13,102.07,95.83,97.22,62.69,68.44,56.56,88.47,71.53,82.4,68.4,80.14,115.11,80.91,70.29,66.2,52.14,77.53,64.12,89.41,74.95,68.22,72.85,52.86,68,76.89,106.08,61.79,73.98
59,Wytham Woods,79.8,88.9,71.3,78.96,93.81,94.27,63.7,78.29,69.82,68.11,68.88,97.08,93.61,79.18,85.28,67.57,67.56,77.66,83.91,79.62,70.37,67.71,80.04,61.82,71.99,78.27,66.78,75.1,87.82,78.12,77.93,74.43,70.29,77.26,92.36,87.66,81.46,63.07,61.62,54.39,73.59,65.87,62.57,52.32,66.27,83.59,59.88,56.7,56.2,57.01,68.84,38.23,60.34,48.85,56.85,53.81,43.35,59.22,60.39,88.87,42.8,61
