"sites.sitename","Month","tmp_mean","tmn.x_mean","tmx_mean","cld_mean","pre_sum","wet_sum","frs_sum","pet_sum_sum","cld_min","cld_max","cld_median","cld_sd","dtr_min","dtr_max","dtr_median","dtr_sd","frs_min","frs_max","frs_median","frs_sd","pre_min","pre_max","pre_median","pre_sd","tmn.x_min","tmn.x_max","tmn.x_median","tmn.x_sd","tmp_min","tmp_max","tmp_median","tmp_sd","tmn.y_min","tmn.y_max","tmn.y_median","tmn.y_sd","tmx_min","tmx_max","tmx_median","tmx_sd","vap_min","vap_max","vap_median","vap_sd","wet_min","wet_max","wet_median","wet_sd"
"Amacayacu","01",25.9085718972342,21.2085718427386,30.7085718154907,86.7585736955915,20613.0004310608,1998.39996911,0,5790.80015373231,73.2000045776367,94.4000015258789,86.4000015258789,3.61724883823799,9.5,9.5,9.5,0,0,0,0,0,52.2000007629395,513.900024414062,284.600006103516,87.512498410369,20.1000003814697,22.8000011444092,21.2000007629395,0.545533441011044,24.8000011444092,27.5,25.8999996185303,0.545533274954895,20.1000003814697,22.8000011444092,21.2000007629395,0.545533441011044,29.6000003814697,32.2999992370605,30.7000007629395,0.545533360371743,28,32.4000015258789,29.8000011444092,0.951977385055874,13.65999985,31,29.56999969,3.18869997298162
"Amacayacu","02",26.1757147380284,21.3757146290371,30.9971432277135,82.3342868259975,17648.00025177,1684.969966448,0,5775.50008058548,66.7000045776367,96.0999984741211,82.5,4.55618315711909,8.90000057220459,10.1999998092651,9.60000038146973,0.205639882276772,0,0,0,0,74.5999984741211,473.800018310547,245.5,71.077257208872,20,22.8999996185303,21.3000011444092,0.623323443931745,25,27.7000007629395,26.1000003814697,0.6044366322052,20,22.8999996185303,21.3000011444092,0.623323443931745,29.8999996185303,32.6000022888184,30.8999996185303,0.600476162730701,27.3999996185303,33.4000015258789,29.4499998092652,1.2359230589243,6.179999828,28,24.46999931,3.48846882850284
"Amacayacu","03",26.038571875436,21.438571875436,30.6385717664446,88.3971447535923,20819.4002456665,1866.679965974,0,5710.2001862526,80.3000030517578,93.0999984741211,88.8000030517578,2.22182649285489,9.19999980926514,9.19999980926514,9.19999980926514,0,0,0,0,0,108.099998474121,478.5,286.400009155273,80.2540232812151,20.6000003814697,22.3999996185303,21.3999996185303,0.449892941226091,25.2000007629395,27,26,0.44989296826103,20.6000003814697,22.3999996185303,21.3999996185303,0.449892941226091,29.8000011444092,31.6000003814697,30.6000003814697,0.449893078507166,28.6000003814697,32,30.2000007629395,0.735698744383638,7.579999924,31,26.82499981,3.76057604412003
"Amacayacu","04",26.162857409886,21.7628576006208,30.5628575461251,88.3728586469378,20215.0003967285,1701.80996134,0,5217.00011014938,79,100,88.8000030517578,3.24470240230973,8.80000019073486,8.80000019073486,8.80000019073486,0,0,0,0,0,155.699996948242,472.800018310547,294.350006103516,62.0986949534599,20.6000003814697,22.6000003814697,21.8000011444092,0.464125026871595,25,27,26.2000007629395,0.464125024489251,20.6000003814697,22.6000003814697,21.8000011444092,0.464125026871595,29.3999996185303,31.3999996185303,30.6000003814697,0.464124935491416,28.7000007629395,32.1000022888184,30.6000003814697,0.724503211953473,17.77999878,29.56999969,24.684999465,2.40998927678108
"Amacayacu","05",25.6900004250663,21.2900003705706,30.1900004250663,87.3257154192243,16412.8001861572,1696.82996173,0,5015.80001330375,74.5999984741211,99.5999984741211,87.5,4.0596877740633,8.90000057220459,8.90000057220459,8.90000057220459,0,0,0,0,0,84.2000045776367,420.600006103516,231.950004577637,75.5499995584782,20.3999996185303,22.3999996185303,21.3500003814697,0.50192390646609,24.8000011444092,26.8000011444092,25.7500009536744,0.50192383817486,20.3999996185303,22.3999996185303,21.3500003814697,0.50192390646609,29.3000011444092,31.3000011444092,30.2500009536744,0.50192383817486,28.8000011444092,31.8000011444092,30,0.766537483619743,15.14999962,31,24.399999615,3.5949482627921
"Amacayacu","06",25.3114289419992,20.7114288602557,30.011428969247,79.6585728236607,12319.1002578735,1370.86997031,0,5016.00005865097,65,90,80.4500007629395,5.07638728428928,9.30000019073486,9.30000019073486,9.30000019073486,0,0,0,0,0,64,399.300018310547,166.300003051757,64.9595858202715,19.5,21.6000003814697,20.7000007629395,0.507778077112861,24.1000003814697,26.2000007629395,25.3000011444092,0.507777996854759,19.5,21.6000003814697,20.7000007629395,0.507778077112861,28.8000011444092,30.8999996185303,30,0.507777991877565,27.3999996185303,30.8999996185303,29.3999996185303,0.769771926978338,12.38999939,28.84999847,19.369999885,3.28279658713462
"Amacayacu","07",25.3600003106254,20.4600005013602,30.3600003106254,72.9814298902239,8796.70017623901,1354.949972173,0,5778.40015077591,57.7000007629395,83.4000015258789,73.3500022888184,4.76801833859098,9.90000057220459,9.90000057220459,9.90000057220459,0,0,0,0,0,21.2000007629395,270.700012207031,119.550003051758,48.7903655298607,18.8999996185303,21.7000007629395,20.5,0.626330419217823,23.8000011444092,26.6000003814697,25.3999996185303,0.626330400681354,18.8999996185303,21.7000007629395,20.5,0.626330419217823,28.8000011444092,31.6000003814697,30.3999996185303,0.626330400681354,26.1000003814697,30.6000003814697,28.3000011444092,0.881285890590397,8.529999733,27.96999931,19.464999195,3.74183389558435
"Amacayacu","08",25.744286101205,20.5442860739572,31.0442861557007,71.8185727800642,9163.0001411438,1198.15997698,0,6320.9000916481,60.2000007629395,83.3000030517578,72.2000007629395,4.2323219577397,10.5,10.5,10.5,0,0,0,0,0,46.2000007629395,246.100006103516,127.400001525879,49.9716334652424,19.3999996185303,22,20.6000003814697,0.586968595204329,24.6000003814697,27.2000007629395,25.8000011444092,0.586968585583653,19.3999996185303,22,20.6000003814697,0.586968595204329,29.8999996185303,32.5,31.1000003814697,0.586968758486236,27,31.5,29.2000007629395,0.878740175731317,10.23999977,23.18999863,17.249999045,3.05026241863492
"Amacayacu","09",26.1928575243269,20.9928575515747,31.4928575788226,73.8757161276681,11532.7001838684,1375.0799656,0,6483.00014019013,62.2000007629395,85.9000015258789,74.2000045776367,3.5911903426933,10.5,10.5,10.5,0,0,0,0,0,39.1000022888184,376.300018310547,169,59.738013122449,19.8000011444092,22.6000003814697,21.0500001907348,0.539544008533704,25,27.8000011444092,26.2500009536744,0.539543962057623,19.8000011444092,22.6000003814697,21.0500001907348,0.539544008533704,30.3000011444092,33.1000022888184,31.5500001907348,0.539544065256758,27.8999996185303,31.8999996185303,29.7000007629395,0.788740605821554,10.52999973,29.1099987,20.214999195,3.38020374636063
"Amacayacu","10",26.0842860358102,20.984286063058,31.2842862537929,75.6328589303153,16802.2002868652,1466.48996543,0,6643.30013155937,66.3000030517578,88.8000030517578,76.0000038146973,3.62322310019395,10.3000001907349,10.3000001907349,10.3000001907349,0,0,0,0,0,65.5999984741211,456.600006103516,230.800003051758,73.7152292614417,19.5,22.1000003814697,21,0.504655454901894,24.6000003814697,27.2000007629395,26.1000003814697,0.504655387215037,19.5,22.1000003814697,21,0.504655454901894,29.8000011444092,32.4000015258789,31.3000011444092,0.504655309747,28.2000007629395,32,30.3000011444092,0.785638306074548,11.38000011,28.53999901,20.835000035,3.19398403952428
