sites.sitename,tmp_mean,tmn.x_mean,tmx_mean,cld_mean,pre_sum,pre_mean,wet_sum,frs_sum,pet_sum_sum,cld_min,cld_max,cld_median,cld_sd,dtr_min,dtr_max,dtr_median,dtr_sd,frs_min,frs_max,frs_median,frs_sd,pre_min,pre_max,pre_median,pre_sd,tmn.x_min,tmn.x_max,tmn.x_median,tmn.x_sd,tmp_min,tmp_max,tmp_median,tmp_sd,tmn.y_min,tmn.y_max,tmn.y_median,tmn.y_sd,tmx_min,tmx_max,tmx_median,tmx_sd,vap_min,vap_max,vap_median,vap_sd,wet_min,wet_max,wet_median,wet_sd
Jianfengling,24.5638099,21.14654799,28.03071468,68.85845375,149436.6025,2134.808607,7896.739824,0,83220.90107,30.80000114,93.80000305,69.25000381,10.50652016,4.900000095,10.40000057,6.800000191,0.841404299,0,0,0,0,1.300000072,754.2999878,146.0500031,147.8818613,11.80000019,26.30000114,22,3.558211643,15.60000038,29.60000038,25.5,3.381221363,11.80000019,26.30000114,22,3.558211643,18.30000114,32.90000153,29,3.247360289,12.60000038,30.89999962,25.20000076,4.568854817,0.089999996,24.39999962,8.854999543,4.571796604
Kenting,23.42738135,20.04428604,26.86011944,67.48666799,158002.1028,2257.172898,13007.94973,0,83345.70125,43.90000153,88,67.5,6.964118336,5.200000286,8.5,6.800000191,0.511371772,0,0,0,0,16.5,789.1000366,144.4500046,135.3093603,11.19999981,25.20000076,20.5,3.436134955,14.90000057,28.89999962,24,3.403775188,11.19999981,25.20000076,20.5,3.436134955,18.60000038,32.70000076,27.5,3.393117536,13.30000019,31.39999962,23.70000076,4.817627482,3.909999847,31,15.27499962,4.68906452
Khao_Chong,26.94523848,22.28047656,31.65928624,70.85190601,157029.7024,2243.281463,12429.49973,0,85739.10154,32.60000229,95.70000458,75.30000305,12.30026804,6.400000095,13.69999981,8.900000572,1.485007643,0,0,0,0,0.600000024,579.2000122,190.3500061,111.8122805,19.20000076,24.30000114,22.39999962,0.87324132,24.39999962,29.60000038,26.89999962,0.889872113,19.20000076,24.30000114,22.39999962,0.87324132,27.89999962,35.5,31.5,1.388067684,23.20000076,32.90000153,29,1.702646397,0.469999999,28.15999985,16.71500016,6.399250984
Korup,25.53011945,21.08309562,30.01726232,83.18690636,175601.3026,2508.590038,12669.85975,0,71569.90092,52.5,100,83.04999924,10.81662179,5.599999905,13.10000038,8.900000572,1.665927753,0,0,0,0,0,986,210.1500015,152.3971644,18.5,22.80000114,21.20000076,0.739309921,23.30000114,28.10000038,25.39999962,0.965845819,18.5,22.80000114,21.20000076,0.739309921,26.39999962,33.90000153,30.10000038,1.650073119,22.39999962,29.60000038,27.10000038,1.134029923,0,30.87999916,17.21999931,8.440123034
Kuala_Belalong,26.56904799,22.44142895,30.74797657,68.4430966,266232.9045,3803.327207,16367.40962,0,83118.20128,44.5,95.30000305,68.65000153,6.284990084,5.5,10.5,8.400000572,0.609552505,0,0,0,0,17.80000114,974.5,314.8500061,129.349795,20.89999962,24,22.39999962,0.448595112,24.70000076,28.30000114,26.60000038,0.51573018,20.89999962,24,22.39999962,0.448595112,27.5,32.60000229,30.80000114,0.716863637,26.80000114,32.10000229,29.39999962,0.7781506,3.649999857,31,19.68499947,4.89323484
La_Planada,16.22250035,11.21071448,21.28392895,80.28976333,114524.3019,1636.061456,12154.49971,0.539999982,66744.00124,53.20000076,100,80.70000458,5.689814066,5.300000191,13.10000038,10,1.041216951,0,0.149999991,0,0.006645533,3.700000048,393.8999939,136.4000092,66.19702662,9.199999809,15,11.19999981,0.740665859,14.60000038,17.80000114,16.20000076,0.549335742,9.199999809,15,11.19999981,0.740665859,18.70000076,23.20000076,21.30000114,0.77343638,12.5,17.60000038,15,0.864012032,2.429999828,24.92000008,15.28499985,4.29451801
Lambir,26.31321465,22.38130995,30.29750037,70.33262055,218390.1038,3119.858626,16739.69965,0,79555.6013,44.10000229,97.70000458,70.40000153,5.911640785,5.400000095,10.5,7.900000095,0.549243537,0,0,0,0,14.10000038,1037,252.8000031,115.3662489,20.5,24.10000038,22.39999962,0.499220564,24.30000114,28,26.30000114,0.593813296,20.5,24.10000038,22.39999962,0.499220564,27,32.29999924,30.39999962,0.781936083,26.89999962,32.29999924,29.60000038,0.773264535,4.179999828,31,19.79999924,5.029187376
Laupahoehoe,18.70357179,14.76142883,22.69547659,68.86702475,143639.4025,2051.991464,17147.71963,0,74932.90116,56.90000153,80.59999847,68.80000305,5.453148787,5.700000286,10.5,7.900000095,0.732821776,0,0,0,0,13.10000038,899.5,144.2500076,111.423635,10.40000057,18.39999962,14.90000057,1.475250906,15,22.10000038,18.70000076,1.370265433,10.40000057,18.39999962,14.90000057,1.475250906,19.30000114,25.89999962,22.60000038,1.357398317,13.69999981,21.39999962,17.30000114,1.261117003,3.639999866,31,20.57999992,5.371507276
Lienhuachih,16.40761934,13.11833356,19.7451194,70.66773944,140475.9023,2006.798605,13788.62969,290.019993,61948.90118,41.79999924,93.70000458,70.90000153,8.683035914,4.400000095,9.5,6.599999905,0.976192983,0,8.789999962,0,0.886477753,4,624.2999878,127.6500015,126.5191178,3.5,19.10000038,13.40000057,4.026254451,7.300000191,22.39999962,16.80000114,3.636920264,3.5,19.10000038,13.40000057,4.026254451,10.60000038,25.80000114,20.20000076,3.273616942,7.400000095,24.89999962,15.30000019,4.596841112,2.429999828,31,16.22999954,5.640073089
Lilly_Dickey_Woods,11.67523831,5.727023908,17.65559554,65.39512019,76776.90143,1096.812878,8989.369806,8472.759833,68044.10116,32.20000076,85.59999847,65.85000229,8.629655819,7.400000095,18.70000076,11.90000057,1.728193269,0,31,4.089999676,11.16438891,5.5,257.6000061,85.70000458,44.78131106,-17.5,21,5.700000286,9.03850057,-11.60000038,27.20000076,12.40000057,9.422561092,-17.5,21,5.700000286,9.03850057,-5.800000191,33.90000153,19.10000038,9.887700569,1.700000048,26.20000076,9.800000191,6.52073749,4.739999771,18.90999985,10.65499974,2.352503351
