sitename,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Manaus,31.308,31.292,31.325,31.225,31.2,31.142,31.167,31.175,31.242,31.35,31.625,31.758,31.675,32.092,31.758,31.292,30.817,31.242,31.383,31.25,30.917,30.7,30.875,31.058,31.242,31.2,30.308,30.575,30.558,30.658,31.117,30.95,30.342,30.4,31.058,31.233,31.075,30.717,30.942,31.192,31.2,31.092,30.717,31.042,31.208,31.35,31.05,30.95,30.608,31.208,31.408,31.475,31.25,31.3,30.758,30.458,31.358,31.658,31.025,31.042,31.425,31.467,31.817,31.492,31.392,31.475,31.608,31.058,31.767,31.308,30.883,31.342,31.283,31,30.95,31.217,31.283,30.933,31.508,31.483,31.258,31.458,31.4,30.933,31.158,31.017,31.858,31.408,30.85,31.575,31.408,31.617,31.167,31.183,31.775,31.25,31.925,32.175,31.158,31.492,31.983,31.85,32.058,32.075,32.383,32.05,31.908,31.475,32.2,32.433,32.033,32.05,31.992,32.108
Amacayacu,30.675,30.675,30.675,30.675,30.675,30.675,30.675,30.675,30.675,30.583,30.675,30.742,30.675,30.775,30.783,30.575,30.392,30.625,30.767,30.717,30.258,30.567,30.458,30.558,30.592,30.692,30.35,30.458,30.45,30.492,30.767,30.525,30.417,30.342,30.525,30.558,30.775,30.6,30.558,30.892,31.292,31,30.942,31.058,30.992,30.75,30.633,30.483,30.6,30.35,30.358,30.275,30.517,30.5,30.333,30.1,30.458,30.85,30.708,30.6,31.2,31.217,31.592,31.217,31.05,31.35,31.175,31.017,31.233,31.225,30.933,31.367,30.725,29.775,30.033,29.925,30,30.192,30.267,30.517,30.058,30.392,30.583,30.417,30.217,29.95,30.825,30.667,30.417,30.525,30.783,30.433,30.025,30.3,30.75,30.458,30.483,30.883,30.175,30.592,30.533,30.708,30.833,30.75,31.008,30.583,30.7,30.708,31.117,31.125,30.808,30.825,30.942,30.983
Yasuni,31.858,31.858,31.858,31.858,31.858,31.858,31.858,31.858,31.858,31.783,31.833,31.875,31.875,31.858,32.008,31.892,31.708,31.8,31.842,31.808,31.7,31.783,31.692,31.8,31.658,32,31.792,31.808,31.858,32.033,31.967,31.542,31.667,31.875,31.942,32.358,32.058,31.967,31.942,32.35,32.617,32.167,32.525,32.783,32.558,32.375,32.008,32.333,31.95,31.975,32.092,31.975,32.042,31.85,31.433,31.567,32.55,32.55,32.358,32.408,32.425,32.208,32.675,32.033,32.258,32.108,31.825,31.908,32.333,31.908,31.192,32.042,31.542,30.867,30.525,31.117,31.675,31.575,31.8,31.825,31.733,31.95,32.725,31.533,31.75,31.842,32.725,31.8,31.492,31.95,31.908,31.85,31.592,31.783,31.992,31.083,31.458,31.9,31.217,31.408,31.45,31.592,31.617,31.175,31.142,31.092,31,31.05,32.133,31.95,31.433,31.492,31.658,31.883
Scotty_Creek,2.6417,1.6333,2.8333,2.275,3.6417,3.3833,2.0833,2.3,0.75833,0.69167,1.4083,2.2083,0.74167,0.79167,2.4167,1.6583,-0.28333,-0.41667,0.58333,1.1583,1.9,1.1333,2.7917,2.1583,1.3667,2.6333,1.0167,3.525,2.1667,2.4083,3.3167,0.76667,-0.3,2.0083,1.2583,0.23333,3.2,3.9333,1.9167,3.0083,2.0667,3.15,4.2083,4.2833,1.7583,1.2917,1.7583,1.8583,2.8,1.0833,0.83333,2.65,2.9333,2.3417,0.775,0.825,2.3167,2.5083,1.0667,1.65,0.48333,2.3917,2.4167,1.45,1.8583,0.70833,2.3333,1.85,2.2917,2.1417,2.075,1.1167,3.1833,0.69167,2.0417,3.7333,3.175,2.825,2.3583,3.6083,4.1,0.60833,1.2833,1.9333,2.425,2.625,4.5917,2.625,2.9083,1.7417,3.1167,2.3167,4.4667,3.2167,3.175,1.7917,3.4583,4.6417,3.5833,3.1583,3.1667,2.4583,3.2083,2.5333,4.0833,3.4917,2.5083,2.6167,1.85,3.575,3.2083,3.175,3.3833,3.0833
Korup,29.75,29.783,29.85,29.717,29.842,30.025,29.883,29.7,29.942,29.767,29.85,30.183,29.875,30.192,29.867,29.867,29.867,29.867,29.867,29.867,29.867,29.867,29.842,29.733,29.5,30.058,29.933,29.558,29.3,30.125,30.375,30.308,30.117,30.108,30.225,29.858,30.183,30.483,30.267,29.867,30.767,30.483,29.925,30.108,29.967,29.875,30.375,29.75,30.308,29.783,29.675,29.483,29.3,29.383,29.2,29.258,29.492,29.7,29.625,29.683,29.592,29.542,30.158,29.65,29.783,29.942,29.5,29.667,30.217,29.95,29.65,30.017,30.208,29.483,29.375,29.133,29.717,29.817,29.933,29.958,30,29.675,29.983,30.033,29.908,29.717,30.675,29.967,30.167,29.975,29.958,30.008,30.225,29.958,30.5,30.183,30.183,30.892,30.225,30.25,29.975,30.142,30.5,30.242,30.558,30.308,30.267,30.15,30.475,30.708,30.5,30.275,30.425,30.458
Khao_Chong,31.983,31.433,31.292,31.133,32.008,32.017,31.283,31.342,31.342,31.25,32.15,32.15,32.042,32.283,32.1,31.783,31.575,31.608,32.258,31.975,31.692,31.7,31.608,31.558,31.742,32.2,31.833,31.925,31.758,32.125,32.242,31.883,32.075,31.617,32.1,31.95,32.008,31.383,31.317,31.642,32.333,31.225,31.5,31.633,31.592,32.017,32.15,31.95,31.983,31.808,31.35,31.2,31.083,31.258,31.15,30.983,31.617,31.992,31.442,31.358,31.083,31.142,31.433,31.367,31.108,31.358,31.125,31.633,31.625,31.192,30.992,31.7,31.508,31.258,30.7,31.075,31.575,31.475,31.8,31.558,31.417,31.45,31.908,31.217,31.5,31.492,32.192,31.567,31.433,32,32.025,32,31.833,31.8,32.1,31.908,32.258,32.625,31.242,31.617,31.692,32.2,31.95,32.133,32.1,31.992,31.575,31.483,31.867,32.158,31.475,32.042,31.95,32.058
Barro_Colorado_Island_(BCI),29.267,29.267,29.267,29.267,29.267,29.267,29.267,29.267,29.267,29.267,29.267,29.267,29.267,29.267,29.55,29.367,29.167,29.167,29.267,29.267,29.125,29.083,29.15,29.25,29.15,29.383,29.017,29.15,29.2,29.225,29.442,29.192,29.242,29.275,29.283,29.783,29.517,29.183,29.283,29.433,30.033,29.65,29.367,29.55,29.725,29.917,29.642,29.517,29.35,28.775,29.317,29.492,29.883,29.467,29.217,30.267,30.492,30.7,30.325,29.942,29.625,29.408,29.858,29.858,29.958,29.558,29.342,28.842,29.367,29.317,28.95,29.708,29.492,28.617,28.083,28.725,28.692,29.125,29.283,29.325,28.917,29.175,29.717,28.792,28.967,29.092,29.425,29.05,28.875,29.45,29.783,29.892,29.967,29.85,29.908,28.9,29.417,29.35,29.008,29.25,29.667,29.5,29.4,29.175,29.017,29.267,29.117,29.233,29.733,29.608,29.5,29.242,29.55,29.65
Cocoli,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.1,30.383,30.208,30,29.992,30.1,30.1,29.925,29.9,29.975,30.083,29.958,30.217,29.85,30.008,30.042,30.083,30.3,30.033,30.025,30.042,30.083,30.6,30.358,30.092,30.142,30.317,30.908,30.508,30.258,30.325,30.45,30.65,30.35,30.317,30.142,29.567,30.25,30.367,30.708,30.225,30.092,31.142,31.417,31.558,31.142,30.833,30.525,30.117,30.65,30.625,30.708,30.433,30.167,29.717,30.258,30.1,29.708,30.558,30.233,29.417,28.75,29.5,29.433,29.908,30.092,30.167,29.692,30.033,30.642,29.617,29.908,30.142,30.45,29.942,29.775,30.458,30.592,30.725,30.783,30.683,30.758,29.683,30.233,30.183,29.733,30.025,30.45,30.3,30.2,29.942,29.783,30.025,29.858,29.992,30.542,30.392,30.258,30,30.342,30.492
San_Lorenzo/_Sherman,29.267,29.267,29.267,29.267,29.267,29.267,29.267,29.267,29.267,29.267,29.267,29.267,29.267,29.267,29.55,29.367,29.167,29.167,29.267,29.267,29.125,29.083,29.15,29.25,29.15,29.383,29.017,29.15,29.2,29.225,29.442,29.192,29.242,29.275,29.283,29.783,29.517,29.183,29.283,29.433,30.033,29.65,29.367,29.55,29.725,29.917,29.642,29.517,29.35,28.775,29.317,29.492,29.883,29.467,29.217,30.267,30.492,30.7,30.325,29.942,29.625,29.408,29.858,29.858,29.958,29.558,29.342,28.842,29.367,29.317,28.95,29.708,29.492,28.617,28.083,28.725,28.692,29.125,29.283,29.325,28.917,29.175,29.717,28.792,28.967,29.092,29.425,29.05,28.875,29.45,29.783,29.892,29.967,29.85,29.908,28.9,29.417,29.35,29.008,29.25,29.667,29.5,29.4,29.175,29.017,29.267,29.117,29.233,29.733,29.608,29.5,29.242,29.55,29.65
Luquillo,28.133,27.8,28.067,27.5,27.858,27.75,27.375,27.908,27.3,27.133,27.733,28.133,27.308,27.767,27.975,27.475,27.317,27.592,27.825,28.008,27.608,27.283,27.758,27.892,28,28.042,27.733,27.758,27.475,28.083,28.167,28.458,28.392,28.15,27.417,27.825,28.258,27.325,27.792,28.325,28.2,28.192,27.417,27.792,27.308,27.492,27.767,27.958,27.542,26.858,27.883,27.733,27.792,27.417,27.792,27.3,27.967,28.65,28.592,28.842,28.208,28.367,28.542,29.108,28.675,28.592,28.608,29.217,29.2,28.867,28.642,28.258,28.333,28.242,28.342,28.1,28.658,28.708,28.108,28.842,28.508,28.008,28.892,28.492,28.692,28.817,29.075,28.908,28.758,29.425,29.467,29.383,29.758,29.5,29.583,28.783,28.633,29.008,28.417,28.633,28.892,28.775,28.592,28.308,28.75,28.658,28.933,28.483,29.025,29.042,28.45,29.167,29.042,29.417
