sitename,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Manaus,1463.4,1733.2,1491.6,1621.9,1643.2,1282.1,1648.6,1814.5,2139,1880.9,1504.6,1499.2,1947.7,1859.7,1550.4,1733.1,2071.3,1575.7,1656.1,2118.7,2185.7,1780.3,1994.8,2023,1806.6,1892.7,2388.5,2340.1,2318.3,1953.7,1744.5,1592.5,2209.3,2410.5,2262.2,1650.4,2029,2268.9,2082.6,1458.4,1806.4,1852.6,2202.6,2148.2,2592.4,1936.8,1564.4,2069.4,2047.9,2153.4,2323.5,2328.6,2464.4,2086.7,2230.6,2093.2,1680.5,1783.6,1649.6,2174.5,2019.5,2202.8,2040,2108.5,1822,2094.1,2036.1,2563.5,2106.9,2253.4,2203.3,1741.2,2271.4,2275.3,2141.8,2245.1,1943.1,1939.8,2140.9,1820.6,2167,1998.5,1855.9,2215.9,2164.6,2234,1935.4,2553,2836.2,2237.8,2069.1,1745.4,2305.4,2086.8,2142.1,2416.1,2115.6,2084.7,2438.4,2566.2,1865.3,2065.7,1869.5,2034,2139,2135.9,2271.8,2888.1,1898,2187.3,2559.6,1922.1,2550,2326.5
Amacayacu,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2719.3,2679.9,2730.8,2411.6,2277.8,2556.3,2992.5,2723.8,2651.6,2771.5,3033.3,2445.7,2671.6,2305.3,2426.7,2463.4,2882,2976.4,3438.3,2787.3,2062.7,2803,3103.3,2694.8,2554.9,2531.5,2867.5,2862,2492.2,2723.7,2752.1,3460.6,2725.6,2767.8,3117.6,2813.3,3005.6,2675.6,2367.3,2856.6,3286.3,2636.8,3162.6,3395.9,2978.2,2978.8,2939.4,2876.1,2846.5,2764.9,2661.7,3034.5,2743.4,3306.2,2818,2950.3,3038.5,2439.9,2605.5,2784.3,2475.1,2142.6,2299.9,1881.6,2404.8,2367.9,2174.9,2229.2,2406.1,2121.8,1957.6,2734.3,2784.9,2852.4,2657.6,2783.7,2659.4,2971,2786,2843.2,2979.6,3008.7,2900.9,2943.5,3324.2,3179.5,2944.4,3163.5,2484,2457.2,2264,2285.7,2566.5
Yasuni,4120.1,3049.5,2966.4,3158.6,2910.3,3069.6,3327.4,3674.7,3544.4,3215,3001.7,3145,3643.8,2733.1,3866.1,3686.6,4397.6,3468.6,3263.7,2823.8,3617.8,2847.6,2836,3512.8,3620.1,2862.5,3842.2,3609.1,3384.7,3442.2,3226.2,4236.5,3319.4,4390.3,3668.2,3017.4,3289.6,3917.2,3409.9,3093.7,2929.1,2902.8,3845.7,3324.7,2950.9,2634.5,3489.5,2626.6,3860.6,3968.9,3274.7,2886.6,3568.3,3279.2,3994.6,3981.2,2718.2,3057.3,3199.9,3000.3,2905.1,3271.2,3055.9,3298.8,3220.4,3360,2780.2,3419.1,3235.5,3794,4252.6,4046.2,3643,3642.5,4648.7,3693.3,3218.8,2879.4,2958.8,3016.9,4016.3,3541.8,3219.4,3268.4,2369.1,2654.8,2834,3713.2,2861.7,2642.1,2701.7,2422.6,3391.8,3594.4,3508.9,3725.8,3194.3,3050.8,4176.4,3337.5,3186.4,2963.1,3499.2,3218.4,3181.9,3357.6,2966,5137.9,3079.4,3399.4,3697.7,2980.2,3075.6,3213.3
Scotty_Creek,224.4,353.1,307.4,333,414.6,381.1,309.9,293.5,351.8,326.8,317.6,217.3,355.8,316.6,317.8,265.7,384.5,281.6,277.3,308.3,390.9,290.6,380.3,310.3,244,231.9,222.4,217.4,201,369,337.8,449.1,321.9,333.9,409.5,286,318.6,292,306,336.5,307.8,191.3,227.9,386.8,295.2,221.8,340.2,434.5,338,471.8,308.6,355.5,270.5,300.3,297.9,485.7,360.3,385.8,324.9,444,355.1,464.7,404.9,353.6,302.6,380.8,254.6,337.3,355.3,385.7,313.5,333.8,411.1,445.9,358.9,377,324.5,307.8,302.7,320.8,535.4,413.6,290,436,375.2,363.1,297.5,554.7,389.6,392.8,396,397,276.3,333.2,204.9,416.3,498.2,407.1,423.7,379.4,358.1,320.9,430.9,276.5,347.7,364.3,414.8,403.2,390.7,362.1,383.3,393.5,427.2,372
Korup,2244.2,3242.2,3208.3,3132.9,3465.7,3516.3,2827.6,2992.7,3416,2081,2894.8,2324,2947.4,2525,3029,2897.9,2422.2,2588.9,2237.2,2472.7,2313.8,2263.3,2837.5,3044.2,3000,2713.8,2779.3,3210.6,3037.2,2768.9,2809.9,2187.2,2933.7,2219,2993.1,2729.4,2286,2668.2,3188.2,3040.9,3120.8,3001.5,2855.1,2595.6,2248.1,2368.7,2512.7,2480.1,2547.9,2692.4,2722.2,2639.4,2512.7,3234.3,2829.9,2839.4,3018.2,2808.9,2784.2,2806.1,2770.7,2943.2,2394.2,2623.6,2914.4,2511.2,2563.8,2571.6,3027.3,2457.6,2542.2,2507.7,2172.8,2000.9,2100.6,2380.5,2389.5,2865.7,2573.5,2973.5,2648.5,2665.2,2137.6,2308.9,2521.4,2347.1,2364.1,2378.4,2509.5,2424.6,2386.7,2386.6,2291.6,2395.4,2316.3,2616.1,3097.5,2330.1,2616.4,2565.7,2371.9,2404.8,2610.3,2711.5,2267.3,2691.9,2845.4,2629.3,2547.9,2281.5,2325.6,2351.1,1857.4,2350.6
Khao_Chong,2550.2,2139.8,2093.5,2440.7,1904.6,2054.5,2658.3,2984.3,2646,2655.8,1783.9,2435.4,2580.5,2875.6,2761.3,3190.2,2499,2531.3,2406.7,2240.9,2430.2,2640.1,1455.5,2330.7,1886.1,2385.2,2563.4,2092.4,1785.9,2112.3,2445.7,2573.9,2495.3,2334.3,2697.2,2175.5,2545.8,2781.8,1946,1641.3,2309.6,2770.7,2394.4,2063.3,2655.9,2653.7,2206.5,1956,2863.8,2804,3064,2333.4,2939.5,2483.8,2076.8,2344.7,2405.6,2147.6,2346.5,2152.4,2233.1,2374.8,2057.9,2228.6,2632.7,2771.1,2262.6,1948.6,2257.1,2557.4,1969.7,1809.3,2777.6,2191.1,2524,2251.3,1737.2,1791.9,1835.6,2343.3,1950.4,2337,2122.1,2329.4,2227.3,2142.1,1945.8,2585.2,1815.9,1873.1,2223.9,1809.9,2692.1,2291.3,2266.4,2634.1,2217,2261.7,2736.8,2698.8,2260.1,1839.9,2344.3,1909.1,2692.7,2215,2414.3,2523.4,2074.4,2712.5,2837.9,2846.9,2528.9,2425.4
Barro_Colorado_Island_(BCI),3061.6,2665.7,3107.8,2817.8,2953.1,2727.9,2535.1,2879.4,3104.3,2720.6,2759.3,2729,2918.7,2573.3,3132.6,3335.4,3041.8,2541.7,2769.9,2666.3,2631.8,2574.1,2474.8,3004.1,2692.1,2439.3,2900.3,2304.3,2176.7,2281,2249,2316.2,2851.1,3073.5,2707.4,2475.1,3104.6,3502.4,2942.7,2793.9,2580.2,2862.4,2691.9,2640.7,2485.8,2529.4,2699.4,2425.5,2984.4,2968.9,2775.6,2267.7,2062,2830.6,3450.4,2926,1698.6,2446.2,2129.1,2937.7,2852.1,2955.6,2289.3,2798.4,2672.7,2981.3,2947.9,3022.4,3210.2,3622.4,2784.3,3220.1,3038.5,2775.2,3147.2,2675.2,2793,2810.7,2883.8,2532.3,3322.6,2697.4,2693,2837.2,2882.6,2943.1,3390.7,2878.3,3028,3172.4,2990.4,2744.1,2696.3,3517.6,2731.6,2873,2627,2519.2,3354.4,2910.6,3203.5,3285,2950.7,3755.6,2746.3,2653.5,3479,3075.1,3098.1,4019.2,3662.9,2554.4,2245.1,3095
Cocoli,1736.6,1536.2,1776.9,1610.4,1678.1,1578,1447.2,1670.7,1762.4,1550.7,1603.7,1568.4,1662.6,1475,1770.2,1870.4,1757.7,1477.8,1607.8,1542.6,1517.2,1517.2,1440.9,1711.2,1550.6,1383.2,1680.3,1311.7,1245,1307.7,1290.4,1323.5,1621.9,1757.3,1542.3,1415.7,1740.4,1986.2,1667.8,1608.3,1373.6,1586.3,1503.4,1416,1398.9,1384.5,1544.6,1330.6,1684.8,1722.2,1607.8,1399.7,1211.4,1599.7,1914.9,1700.5,1064.8,1363.8,1334.8,1850.2,1838.7,1747.8,1470.1,1858.5,1399.3,1591.2,1579.4,1545.8,1641.4,1729.1,1836.3,1548,1792.7,1647.1,1894.5,1236.7,1556.6,1793.3,1771.7,1655.1,1927.8,1286.3,1543.3,1697.2,1390.6,1846.7,1973.8,1649.4,1668.9,1850.7,1754.6,1602.5,1501.7,2045.3,1490.1,1595.5,1496,1436.5,1787.5,1715.8,1869.2,1844.7,1716.8,2095.3,1567.6,1522.9,1934.4,1702.3,1833.3,2071.3,1926.7,1393.4,1299.2,1799.4
San_Lorenzo/_Sherman,3061.6,2665.7,3107.8,2817.8,2953.1,2727.9,2535.1,2879.4,3104.3,2720.6,2759.3,2729,2918.7,2573.3,3132.6,3335.4,3041.8,2541.7,2769.9,2666.3,2631.8,2574.1,2474.8,3004.1,2692.1,2439.3,2900.3,2304.3,2176.7,2281,2249,2316.2,2851.1,3073.5,2707.4,2475.1,3104.6,3502.4,2942.7,2793.9,2580.2,2862.4,2691.9,2640.7,2485.8,2529.4,2699.4,2425.5,2984.4,2968.9,2775.6,2267.7,2062,2830.6,3450.4,2926,1698.6,2446.2,2129.1,2937.7,2852.1,2955.6,2289.3,2798.4,2672.7,2981.3,2947.9,3022.4,3210.2,3622.4,2784.3,3220.1,3038.5,2775.2,3147.2,2675.2,2793,2810.7,2883.8,2532.3,3322.6,2697.4,2693,2837.2,2882.6,2943.1,3390.7,2878.3,3028,3172.4,2990.4,2744.1,2696.3,3517.6,2731.6,2873,2627,2519.2,3354.4,2910.6,3203.5,3285,2950.7,3755.6,2746.3,2653.5,3479,3075.1,3098.1,4019.2,3662.9,2554.4,2245.1,3095
Luquillo,2975.6,2461.7,2160.4,2347.9,2517.7,2264.9,1972.8,2100.5,2564.5,2228.7,2418,1782.8,2069.8,2204.1,2299.8,2859.2,2117.1,1760.2,2532.5,1859.4,2270.8,1884.2,1745.1,1976.8,1850.8,1704,2604.1,2640.8,2175.5,1989.1,3555.4,3027.8,2819.9,1872.3,2442,2985.8,1573,2308.2,1720.5,2601,2486.9,2936.4,2396.6,2538.3,1682,2046,1928.5,2478.4,2301,2287.7,2503.5,2659,1903.2,2084.2,1986.5,2271.5,1994.1,2802.3,2027,3071.6,2259.6,2333.5,2049.4,1766.5,2103.3,2033.1,1271.3,1722.7,3128.4,3463.6,1989.8,1962.2,1872.4,2038.4,1946.8,1704.5,2428.9,1928.3,3526.8,1659.4,2890.9,2516.6,2462.7,2609,2345.8,2135.7,2887.6,2213.1,2107.4,2093.6,1739.8,2346.8,2092.7,1817,2143.1,1780.9,1537.6,3050.8,2564,1655.1,1997.3,1796.6,2429.8,2864,2951.9,2680.4,2318.1,2453.3,2853.3,3571.1,3375.9,2051.2,3399.3,2483.2
