StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
44,4,189805,5.83,63.1,0.98,0.98,2.03,0.98,55,114,1.13,0.87,1.1,0.81,0.49,0.28,0.27,51.6,74.6
44,4,189806,1.68,71.1,-0.78,-0.78,-2.33,-0.78,188,5,-1.84,-0.13,-0.12,0.11,0.52,-0.06,-0.17,58,84.2
44,4,189807,3.28,76.7,-1.23,-1.23,-1.59,-1.23,363,0,-0.38,-1.43,-0.37,-0.41,0.39,-0.24,-0.45,65.9,87.4
44,4,189808,6.92,74.5,0.71,0.71,2.13,0.71,294,0,1.43,0.92,0.06,0.75,0.64,0.46,0.3,64.7,84.3
44,4,189809,1.77,67.6,0.08,0.08,-1.68,-0.56,113,35,-0.73,0.55,0.24,0.1,0.21,0.56,-0.2,55.6,79.5
44,4,189810,6.48,56.1,0.94,0.94,2.61,0.94,9,285,1.38,0.66,1.29,0.8,0.63,0.99,0.47,47,65.1
44,4,189811,2.81,41.7,1.06,1.06,0.67,1.06,0,699,0.17,1.15,0.52,0.43,0.89,0.78,0.4,32.5,50.9
44,4,189812,3.57,33.5,1.4,1.4,1.33,1.4,0,976,0.6,0.4,1.22,1.07,0.83,0.86,0.82,24,42.9
44,4,189901,3.66,31.3,1.74,1.74,1.46,1.74,0,1045,0.78,0.83,0.66,1.4,1,0.84,0.99,21.3,41.3
44,4,189902,5.42,25.2,2.89,2.89,3.99,2.89,0,1114,1.91,1.77,1.67,1.39,1.22,1.48,0.92,15.8,34.6
44,4,189903,4.78,40.9,3.28,3.28,2.05,3.28,0,747,1.12,1.96,1.94,1.9,1.94,1.53,1.15,31.4,50.4
44,4,189904,1.38,52.9,-0.71,2.23,-2.13,1.31,0,363,-1.54,-0.09,1.11,1.07,1.65,1.31,1.05,40.5,65.3
44,4,189905,4.64,62.7,-0.5,2.13,0.4,1.34,50,121,0.51,-0.44,0.22,1.28,1.22,1.12,0.95,50.9,74.5
44,4,189906,3.34,72.9,-0.63,1.73,-0.55,0.7,239,0,-0.23,0.07,-0.61,1,1.39,1.47,0.98,61.3,84.5
44,4,189907,3.15,74.9,-0.9,1.22,-1,-0.18,307,0,-0.48,-0.56,-0.25,0.58,0.77,1.41,0.86,62.1,87.7
44,4,189908,4.3,73.8,-0.88,1.02,-0.21,-0.41,273,0,0.37,-0.11,-0.3,-0.14,0.8,0.93,1.02,63.2,84.5
44,4,189909,5.15,64.4,-0.21,1.5,1.75,0.68,61,79,0.92,0.79,0.43,-0.06,0.99,1.32,1.33,53,75.7
44,4,189910,2.65,55.2,-0.38,1.15,-0.59,0.14,7,311,-0.09,0.53,0.53,0.24,0.7,0.84,1.21,43.9,66.4
44,4,189911,1.81,43.4,-0.7,0.67,-1.06,-0.6,0,648,-0.52,-0.49,0.12,-0.15,-0.03,0.69,0.95,32.6,54.1
44,4,189912,1.82,34,-0.91,-0.91,-0.84,-0.91,0,961,-0.77,-0.94,-0.84,-0.3,-0.52,0.46,0.87,24.1,43.9
44,4,190001,2.38,33,-0.89,-0.89,-0.23,-0.89,0,992,-0.18,-0.73,-0.92,-0.22,-0.25,0.24,0.71,23.4,42.5
44,4,190002,4.24,31.5,0.82,0.82,2.47,0.82,0,938,1.3,0.82,0.26,0.13,-0.08,0.06,1.05,20.6,42.4
44,4,190003,2.84,37.9,-0.01,-0.01,-0.02,0.73,0,840,-0.21,0.8,0.54,-0.3,-0.05,-0.29,0.88,28.1,47.6
44,4,190004,1.86,51.7,-0.48,-0.48,-1.43,-0.48,0,399,-0.97,-0.93,0.1,-0.53,-0.16,-0.22,0.72,39.8,63.6
44,4,190005,1.97,63,-1.18,-1.18,-2.24,-1.18,54,116,-1.18,-1.65,-1.54,-0.91,-0.61,-0.75,0.22,48.4,77.6
44,4,190006,5.58,70.6,0.72,0.72,2.17,0.72,175,7,1,-0.11,-0.59,-0.14,-0.61,-0.39,0.72,59.5,81.7
44,4,190007,4.29,76.1,0.75,0.75,0.3,0.75,344,0,0.34,0.91,0,0.03,-0.46,-0.17,0.91,62.9,89.2
44,4,190008,1.82,77.3,-0.92,-0.92,-2.75,-0.92,381,0,-1.38,-0.66,0,-1.01,-0.71,-0.54,0.3,64.7,90
