Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
12,Xishuangbanna,26.042,26.483,26.267,25.65,25.242,25.725,26.833,26.892,26.467,26.358,26.192,25.792,26.458,25.95,26.333,26.758,25.592,25.892,26.683,25.925,25.1,25.85,25.992,25.925,26.367,25.5,25.042,26.183,27.133,27.083,25.9,25.917,26.392,26.375,25.75,25.783,26.233,26.067,25.758,25.758,26.267,25.917,26.117,26.183,25.85,25.633,25.825,27.175,25.942,25.842,25.867,26.108,26.317,26.183,26.558,26.792,26.325,26.2,27.308,27.883,25.792,27.658
13,Mudumalai,28.683,28.817,28.75,28.517,28.175,28.158,28.467,28.725,28.85,28.675,28.608,28.558,28.733,29.175,29.042,29.225,28.517,28.717,29.025,28.492,28.308,29.142,29.175,29.067,28.583,29,28.867,28.658,28.758,29.175,28.908,29.258,29.733,28.883,29.358,29.392,29.633,29.625,29.433,29.367,29.4,29.375,29.558,29.483,29.717,29.633,29.9,30.192,29.725,29.417,29.692,29.825,30.042,29.383,29.675,29.6,29.675,29.425,29.733,29.833,29.45,29.958
14,Danum Valley,28.892,28.783,29.092,29.042,28.867,28.85,29.217,29.2,28.942,28.908,28.683,28.358,28.308,28.475,28.542,29.042,28.775,28.942,28.975,28.892,28.883,29.117,29.183,29.183,29.208,28.667,28.65,28.967,29.017,29.058,29.283,29.258,29.45,28.925,29.1,29.017,29.45,29.333,29.175,29.417,29.333,29.35,29.158,29.117,29.075,28.867,29.175,29.5,29.1,29.283,29.383,29.475,29.15,29.233,29.133,29.033,28.875,28.783,29.217,29.092,29.15,29.317
15,Lambir,30.767,30.275,30.767,30.317,30.05,29.85,30.383,30.392,30.15,30.375,29.867,29.592,29.525,29.85,29.933,30.542,30.567,30.475,30.05,29.925,29.967,30.383,30.442,30.042,30.183,29.533,29.55,29.983,30.15,30.183,30.2,30.225,30.375,29.542,29.917,29.8,30.292,30.083,29.95,30.317,30.283,30.358,30.092,30.192,30.058,30.075,30.5,30.775,30.342,30.4,30.442,30.675,30.35,30.275,30.283,30.242,30.042,29.592,30.108,29.975,29.958,30.425
16,Pasoh,29.558,29.542,29.608,29.442,29.542,29.342,29.675,30.133,29.833,29.708,29.75,29.508,29.992,29.575,29.692,29.742,29.267,29.825,29.925,29.917,29.325,29.808,29.675,29.483,29.433,29.85,30.275,30.333,30.392,30.2,30.275,30.133,30.675,29.692,30.167,30.242,30.55,30.308,30.217,30.783,30.708,30.783,30.542,30.575,30.417,30.483,30.933,31.342,30.417,30.583,30.642,31.267,30.767,30.808,30.925,30.417,30.4,30.308,30.525,30.867,30.433,30.525
17,Palanan,29.933,30.3,30.158,30.292,29.542,29.592,30.033,29.792,30.225,30.05,29.958,29.417,28.875,29.2,29.125,29.383,28.992,29.142,29.867,29.85,28.85,29.533,30.183,29.75,30.092,29.4,29.633,29.742,29.758,29.717,29.425,29.683,30.567,30.042,30.167,29.2,30.058,30.333,30.642,30.208,30.242,30.675,30.1,30.408,29.792,29.675,29.7,31.075,30.067,30.1,30.092,30.233,30.233,29.892,29.95,30.725,30.25,29.867,29.717,30.35,29.808,30.233
18,Bukit Timah,30.883,30.9,31,30.65,30.575,30.35,30.675,31.025,30.55,30.583,30.758,30.383,30.567,30.408,30.717,30.85,30.342,30.333,30.692,30.3,30.117,30.508,30.158,29.8,30.275,30.342,30.558,30.425,30.642,30.767,30.875,31.217,31.433,30.508,31.167,31.058,31.3,30.967,30.767,31.433,31.533,31.35,31.342,31.458,31.417,31.408,32.05,31.933,31.392,31.442,31.583,32.075,31.533,31.575,31.817,31.425,31.233,31.033,31.25,31.292,30.808,31.083
19,Sinharaja,29.483,29.742,29.708,29.333,29.117,29.175,29.442,29.783,29.575,29.45,29.4,29.517,29.483,29.942,29.875,29.983,29.75,29.733,29.925,29.742,29.542,30.033,30.192,29.758,29.667,29.817,29.758,29.833,29.875,30.225,29.775,29.75,30.275,29.717,29.867,29.817,30.467,30.392,30.158,30.308,30.142,30.208,30.242,30.192,30.483,30.258,30.408,30.958,30.267,30.2,30.475,30.492,30.517,30.408,30.433,30.275,30.258,30.075,30.358,30.55,30.417,30.5
20,Fushan,24.083,24.442,24.325,24.55,23.933,23.8,23.892,24.158,24.342,24.258,24.458,23.992,24.05,24.333,24.025,24.608,23.833,23.617,24.008,24.142,23.917,23.967,24.183,24.1,24.242,23.883,24.825,24.408,24.55,24.542,24.433,24.458,24.617,23.867,24.125,23.7,24.592,24.167,24.075,24.617,24.375,23.983,24.408,24.817,23.958,24.267,24.417,25.392,24.6,24.917,24.933,25.075,24.958,24.883,24.467,25.1,25.242,24.833,24.975,24.758,24.333,24.425
21,Kenting,26.408,26.975,26.492,26.9,26.425,26.3,26.45,26.7,27.217,26.883,26.833,26.425,26.208,26.492,26.617,26.892,26.133,25.967,26.867,26.7,26.175,26.45,26.992,26.925,26.858,26.55,26.917,26.35,26.533,27.225,26.875,26.642,27.075,26.808,26.792,26.133,27.308,26.775,26.575,26.725,27.05,27.058,27.258,27.317,26.642,26.575,26.65,27.65,26.983,27.05,27,27.175,27.333,27.183,27.042,27.833,27.642,27.242,27.067,27.233,26.842,27.092
