Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
12,Xishuangbanna,207.01,195.15,214.9,188.08,191.86,204.74,199.81,184.06,227.76,200.55,226.04,180.05,205.1,209.67,223.17,213.09,212.33,222.12,188.46,220.12,207.35,211.22,210.16,201.29,216.92,210.58,218.35,207.97,191.06,194.55,216.6,210.71,213.44,195.35,211.49,205.49,196.8,188.39,192.53,202.09,205.56,199.46,202.83,218.11,201.03,207.24,195.22,201.15,216.17,203.92,209.2,210.97,200.04,205.12,203.67,194.09,199.17,216.23,187.17,200.8,200.26,201.86
13,Mudumalai,56.06,52.76,60.32,54.23,57.14,57.62,48.99,65.02,54.38,58.39,56.21,63.04,60.18,64.31,51.05,63.27,57.93,56.83,64.7,60.35,58.06,56.87,58.2,55.12,62.36,53.06,63.84,55.74,60.42,54.7,55.01,52.94,53.08,53.17,50.43,57.41,56.11,61.14,59.01,53.28,59.01,56,63.59,54.83,47.67,65.44,66.04,66.19,57.16,69.38,67.64,50.68,53.1,70.54,74.12,55.5,66.82,66.36,63.91,73.58,70.03,47.79
14,Danum Valley,251.4,270.01,262.55,280.81,287.12,285.88,242.31,238.12,261.04,268.67,259.83,278.08,250.77,242.25,244.11,266.84,267.27,242.63,247.71,255.71,263.54,244.36,253.74,269.06,277.78,258.61,254.69,256.77,239.6,268.81,241.53,229.51,221.26,288.9,240.83,263.45,230.97,278.56,255.03,255.41,232.84,224.01,227.18,254.33,241.91,266.89,215.77,191.48,283.94,275.5,273.56,212.71,253.37,222.66,274.41,289.99,264.92,285.28,267.74,252.77,287.5,286.36
15,Lambir,290.14,298.2,293.92,311.16,307.42,299.44,289.21,263.14,282.96,291.18,282.44,297.14,272.59,263.46,276.44,293.49,293.93,269.96,281.07,279.95,282.9,262.97,269.73,291.51,290.51,279.26,277.23,268.86,275.65,282.94,283.98,266.79,257.05,314.1,284.07,291.75,262.03,306.1,291.8,262.82,259.94,248.36,258.39,283,283.37,291.64,260.72,241.76,299.78,306.03,289.52,275.77,281.46,274.35,280.88,316.99,301.1,320.41,304.74,295.61,309.36,291.48
16,Pasoh,253.02,231.11,234.6,230.61,241.31,233.1,239.56,229.99,249.07,232.5,231.15,247.67,233.34,249.1,226.43,237.65,243.47,237.25,251.83,213.49,229.09,221.99,241.52,210.57,223.45,224.51,226.71,211.97,234.28,234.83,224.07,245.21,229.67,231.75,216.1,227.19,243.41,263.96,228.53,223.36,240.19,240.66,245.47,215.8,228.56,245.92,226.43,228.79,237.31,249.26,251.54,219.59,256.14,234.49,246.57,284.75,251.61,255.66,250.1,240.31,261.89,225.67
17,Palanan,181.61,185.39,195.98,192.43,189.82,195.3,210.71,191.92,183.22,187.53,198.3,195.22,164.83,185.08,181.97,187.47,198.35,169.83,162.85,206.74,210.09,179.49,163.53,160.3,168.07,157.58,162.35,160.71,144.95,181.57,190.2,175.63,165.5,210.85,183.12,183.98,157.16,150.17,182.37,192.37,168.68,170.34,138.17,151.63,185.29,176.01,132.75,156.82,240.92,181.2,193.21,162.94,161.4,155.56,149.69,149.39,177.19,173.26,156.23,151.03,186.92,186.82
18,Bukit Timah,275.6,264.71,259.71,266.91,263.55,259.51,253.83,260.05,277.95,264.45,248.01,272.92,245.74,282.76,245.02,263.88,255.91,263.21,285.21,258.52,257.33,232.7,269.52,244.46,253.08,244.88,254.57,253.46,266.16,263.03,255.21,249.2,262.37,263.64,252.44,276.5,264.42,293.53,250.43,249.47,258.46,253.24,264.49,244.48,260.49,274.14,233.64,270.73,264.91,279.18,274.82,238.89,278.65,263.53,262.21,281.19,283.54,274.43,260.72,280.18,281.04,249.17
19,Sinharaja,136.31,134.79,140.73,129.87,126.41,120.4,125.39,119.15,125.27,130.95,117.74,117.83,117.62,136.26,150.84,128.05,134.84,106.84,121.27,108.63,102.73,118.39,120.07,114.26,117.21,98.06,148.32,98.68,133.04,120.24,123.1,108.55,104.74,154.19,148.45,135.66,123.73,153.96,128.06,124.87,118.7,128.87,118.19,101.38,128.34,146.66,125.36,130.17,103.93,98.82,145.2,129.16,142.07,139.36,140.98,130.96,134.01,153.42,126.25,177.15,127.35,103.75
20,Fushan,226.47,218.17,220.16,204.09,197.54,230.41,215.74,190.54,216.75,203.92,211.8,185.11,162.81,193.15,203.45,238.99,192.43,199.01,196.47,237.85,161.16,208.8,210.01,219.79,219.61,188.9,202.5,197.36,197.72,210.72,203.65,199.12,214.09,206.87,213.5,187.44,203.6,205.75,197.32,233.48,187.22,229.77,173.89,213.19,206.36,199.82,200.72,240.33,203.62,220.93,197.91,188.04,168.43,187.14,210.09,215.55,190.93,198.31,193.81,226.62,197.22,247.86
21,Kenting,190.93,182.96,203.28,176.76,168.6,196.32,188.63,177.66,184.26,179.98,193.09,176.97,144.19,166.49,174.59,190.26,179.05,182.26,173.6,194.39,169.28,187.6,179.81,176.79,182.55,150.88,169.62,176.25,160.16,174.63,183.35,173.9,183.97,187.57,193.16,180.7,163.47,162.21,172.26,197.67,171.62,182.37,143.94,167.58,172.52,167.85,153.46,198.19,208.52,182.63,190.17,162.34,155.71,159.38,168.74,172.91,164.11,177,157.45,175.8,178.93,199.09
