sitename,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Manaus,22.733,22.717,22.75,22.65,22.625,22.567,22.592,22.6,22.667,22.775,23.05,23.183,23.1,23.517,23.183,22.717,22.242,22.667,22.808,22.675,22.342,22.125,22.3,22.483,22.667,22.625,21.733,22,21.983,22.083,22.133,22.242,22.267,22.183,22.633,22.858,23.017,23.075,23.25,23.458,23.617,23.4,23.125,23.408,23.217,22.775,23.133,23.042,22.808,22.6,22.817,22.883,23.142,23.2,22.692,22.458,23.233,23.75,23.242,22.242,22.117,22.333,22.642,22.542,22.75,23.008,22.783,22.633,23.158,22.917,22.65,23.1,23.208,22.75,22.692,22.992,22.458,22.233,22.783,22.642,22.567,22.708,22.992,22.433,22.508,22.85,23.433,22.908,22.533,23.108,23.275,23.083,22.925,22.825,23.392,23.075,23.35,22.9,22.108,22.433,23.083,23.258,23.417,23.225,23.417,23.125,23,22.792,23.683,23.767,23.925,24.025,24.083,24.283
Amacayacu,21.05,21.05,21.05,21.05,21.05,21.05,21.05,21.05,21.05,20.958,21.05,21.117,21.05,21.15,21.158,20.95,20.767,21,21.142,21.092,20.633,20.942,20.833,20.933,20.967,21.067,20.725,20.833,20.825,20.867,21.142,20.9,20.792,20.717,20.9,20.933,21.15,20.975,20.933,21.267,21.617,21.333,21.317,21.433,21.383,21.125,20.892,20.817,20.983,20.683,20.7,20.617,20.883,20.783,20.667,20.458,20.833,21.175,20.975,20.85,21.283,21.325,21.767,21.492,21.383,21.683,21.542,21.408,21.558,21.492,21.35,21.708,21.125,20.217,20.3,20.408,20.425,20.608,20.692,20.908,20.475,20.883,21.017,20.9,20.633,20.408,21.25,21.108,20.9,20.975,21.192,20.833,20.417,20.675,21.125,21.017,21.117,21.45,20.583,20.967,20.908,21.167,21.333,21.317,21.458,21.117,21.167,21.1,21.483,21.558,21.183,21.192,21.283,21.233
Yasuni,20.133,20.133,20.133,20.133,20.133,20.133,20.133,20.133,20.133,20.058,20.108,20.15,20.15,20.133,20.283,20.167,19.983,20.075,20.117,20.083,19.975,20.058,19.967,20.075,19.933,20.275,20.067,20.083,20.133,19.975,20.383,20.358,20.142,19.767,19.883,19.933,19.95,19.825,19.833,19.492,20.142,19.75,20.15,20.467,20.333,20.075,19.908,20.3,19.933,19.133,19.983,19.775,19.65,19.425,19.692,19.608,20.2,20,19.958,19.842,20.208,20.275,20.292,20.358,19.792,20.233,19.917,19.775,19.992,20.092,19.817,20.817,19.925,19.575,19.725,19.742,19.958,19.692,19.767,19.975,20.35,20.6,20.65,19.95,19.833,20.233,20.417,20.608,20.267,20.5,20.375,20.45,19.975,20.058,20.267,20.092,20.775,21,19.583,19.683,19.725,20.358,20.275,20.358,20.225,20.233,19.8,19.8,20.533,20.375,19.975,20.15,20.45,20.492
Scotty_Creek,-10.367,-11,-10.017,-9.9583,-8.3917,-9.0417,-10.8,-10.2,-10.875,-9.0667,-9.8667,-8.6083,-10.483,-9.575,-8.4667,-9.75,-11.267,-11.15,-10.767,-9.6833,-8.85,-10.267,-9.6583,-10.058,-10.233,-8.5917,-10.158,-8.95,-9.4917,-8.5833,-7.8333,-10.025,-11.458,-9.1833,-9.9667,-11.292,-8.8083,-8.2583,-9.325,-8.4583,-9.0667,-8.0917,-7.5417,-6.6417,-9.2083,-9.2667,-9.125,-9.9083,-8.1083,-10.283,-10.408,-7.9583,-7.375,-9.0167,-10.542,-9.8417,-8.625,-7.5583,-9.6,-8.425,-10.358,-8.5083,-9.1,-9.8583,-9.5,-11.125,-9.9917,-9.4583,-9.1417,-8.7667,-10.275,-11.05,-9.1083,-10.792,-9.7167,-7.6833,-8.275,-8.875,-9.3083,-8.2583,-7.2417,-11.2,-9.8083,-9.2417,-9.0833,-8.75,-6.9583,-8.2667,-9.0917,-9.7083,-8.3917,-8.4667,-6.8917,-8.575,-8.5083,-9.4,-7.7417,-6.2667,-7.2083,-8.05,-7.5583,-8.6333,-7.725,-8.9917,-6.7667,-7.5667,-8.025,-8.6333,-9.3167,-6.9917,-8.1,-8.1167,-7.9417,-8.3583
Korup,20.842,20.875,20.942,20.808,20.933,21.117,20.975,20.792,21.033,20.858,20.942,21.275,20.967,21.283,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.958,20.933,20.825,20.592,21.15,21.025,20.65,20.392,21.217,21.467,21.4,21.208,21.2,21.317,20.95,21.275,21.575,21.358,20.958,21.858,21.575,21.017,21.2,21.058,20.967,21.467,20.842,21.4,20.875,20.767,20.575,20.392,20.475,20.292,20.35,20.583,20.792,20.717,20.775,20.4,20.783,20.942,20.608,20.483,20.75,20.875,21.025,21.267,20.992,20.383,20.917,21.375,20.625,20.558,20.808,21.142,20.883,21.525,21.483,20.775,20.8,21.058,20.758,21.092,20.95,21.517,21.258,20.825,21.617,21.267,20.742,20.867,21.025,21.317,21.3,21.033,21.608,21.183,21,21.067,21.242,21.608,21.375,21.692,21.417,21.375,21.283,21.725,21.833,21.275,21.483,21.408,21.717
Khao_Chong,22.508,21.958,21.817,21.658,22.533,22.542,21.808,21.867,21.867,21.775,22.675,22.675,22.567,22.808,22.625,22.308,22.1,22.133,22.783,22.5,22.217,22.225,22.133,22.2,22.075,22.492,22.225,22.275,22.075,22.2,22.467,22.192,22.317,22.283,22.508,22.467,22.342,22.533,22.5,22.292,22.925,22.075,21.292,21.825,21.95,21.958,22.083,22.983,22.808,22.742,21.525,21.725,21.917,21.675,21.308,21.275,21.967,21.75,22.1,22.225,22.033,21.917,21.717,21.908,21.892,22.1,21.817,21.65,22.183,22.292,21.708,22.033,22.275,21.75,22.042,21.642,22.183,22.325,22.358,22.233,21.675,21.658,21.9,21.642,21.608,21.833,22.117,22.25,21.883,22.1,22.133,21.883,21.817,22.133,22.017,22.342,22.3,22.817,22.417,22.608,22.8,23.092,23.075,23.108,23.142,22.975,22.6,22.617,22.558,23.125,22.675,22.792,22.925,22.833
Barro_Colorado_Island_(BCI),22.725,22.725,22.725,22.725,22.725,22.725,22.725,22.725,22.725,22.725,22.725,22.725,22.725,22.725,23.008,22.825,22.625,22.625,22.725,22.725,22.583,22.542,22.608,22.708,22.608,22.842,22.475,22.608,22.658,22.608,22.942,22.767,22.75,22.658,22.675,23.092,22.892,22.558,22.658,22.783,23.608,22.775,22.367,22.442,22.658,22.833,22.767,22.625,22.067,21.775,22.692,22.65,22.35,22.125,22.142,22.783,23.1,22.95,22.2,22.417,22.342,21.883,22.258,21.95,22.017,22.65,22.15,22.325,23.033,22.458,22.317,22.792,22.958,22.283,22.008,22.533,22.817,22.908,23.033,22.942,22.883,23.075,23.758,22.758,22.975,23.208,23.675,23.317,23.083,23.592,23.3,23.383,23.442,23.308,23.367,23.183,23.667,24.083,22.625,22.708,23.125,23.467,23.9,23.575,23.483,23.792,23.467,22.975,23.583,23.408,23.225,23.042,23.325,23.417
Cocoli,22.558,22.558,22.558,22.558,22.558,22.558,22.558,22.558,22.558,22.558,22.558,22.558,22.558,22.558,22.842,22.667,22.458,22.45,22.558,22.558,22.383,22.358,22.433,22.542,22.417,22.675,22.308,22.467,22.5,22.45,22.8,22.642,22.55,22.375,22.425,22.85,22.7,22.408,22.492,22.592,23.475,22.575,22.2,22.375,22.458,22.6,22.45,22.392,21.867,21.592,22.592,22.467,22.233,21.883,21.883,22.658,22.917,22.892,22.133,22.258,22.108,21.725,22.158,21.867,22,22.55,22.042,22.142,22.8,22.308,22.158,22.683,22.825,22.167,21.742,22.283,22.45,22.725,22.85,22.808,22.667,22.983,23.642,22.625,22.85,22.975,23.442,23.192,22.95,23.55,23.108,23.25,23.267,23.142,23.217,22.967,23.525,23.892,22.375,22.483,22.908,23.275,23.692,23.35,23.292,23.567,23.242,22.767,23.367,23.158,23.083,22.942,23.208,23.342
San_Lorenzo/_Sherman,22.725,22.725,22.725,22.725,22.725,22.725,22.725,22.725,22.725,22.725,22.725,22.725,22.725,22.725,23.008,22.825,22.625,22.625,22.725,22.725,22.583,22.542,22.608,22.708,22.608,22.842,22.475,22.608,22.658,22.608,22.942,22.767,22.75,22.658,22.675,23.092,22.892,22.558,22.658,22.783,23.608,22.775,22.367,22.442,22.658,22.833,22.767,22.625,22.067,21.775,22.692,22.65,22.35,22.125,22.142,22.783,23.1,22.95,22.2,22.417,22.342,21.883,22.258,21.95,22.017,22.65,22.15,22.325,23.033,22.458,22.317,22.792,22.958,22.283,22.008,22.533,22.817,22.908,23.033,22.942,22.883,23.075,23.758,22.758,22.975,23.208,23.675,23.317,23.083,23.592,23.3,23.383,23.442,23.308,23.367,23.183,23.667,24.083,22.625,22.708,23.125,23.467,23.9,23.575,23.483,23.792,23.467,22.975,23.583,23.408,23.225,23.042,23.325,23.417
Luquillo,21.675,21.342,21.608,21.042,21.358,21.292,21.067,21.467,21.275,21.167,21.108,21.467,20.767,20.858,21.592,20.967,20.717,20.383,20.717,20.675,20.925,20.825,20.608,21.325,20.917,21.283,20.85,20.975,20.85,21.058,22.375,21.708,21.375,21.108,21.392,21.65,21.725,21.292,21.092,22,21.917,22.425,21.792,21.4,21.267,21.425,21.858,22.2,21.708,21.808,21.867,21.767,21.7,21.758,22.108,21.967,22.208,22.75,22.492,22.4,22.408,22.092,22.417,22.625,22.092,22.375,21.592,21.967,22.442,22.158,21.892,22.217,21.917,22.392,22,22.183,22.3,22.108,21.825,22.517,22.475,21.967,22.817,22.017,22.033,21.992,22.567,22.45,21.858,22.292,22.55,22.367,22.475,22.675,22.383,22.242,22.117,22.717,22.183,21.658,22.3,22.283,22.242,22.017,22.292,22.2,22.475,22.025,22.567,22.567,22.017,22.792,22.617,23
Kenting,18.767,19.4,18.933,18.508,18.942,19.317,18.867,19.117,19.325,19.1,18.9,19.125,18.942,19.158,19.7,19.308,18.5,18.608,19.142,19.142,19.025,19.267,18.7,19,18.825,19.092,19.142,19.442,19.058,19.667,19.9,19.067,19.417,19.117,19.45,19.383,19.8,19.45,18.725,19.008,19.892,19.45,18.892,19.125,18.983,19.775,19.392,19.85,19.692,19.475,20.2,20.658,20.708,20.742,19.792,20.15,20.15,20.025,20.008,20.417,20.158,19.942,19.7,20.542,20.225,20.4,19.917,19.458,19.925,20.317,19.667,19.817,20.208,19.892,19.95,19.792,20.083,19.55,19.058,20.158,19.917,19.5,19.342,18.883,19.233,18.8,19.725,20.075,19.617,20,19.808,19.475,19.617,19.925,19.767,19.875,19.742,20.825,19.742,20.208,20.333,20.242,20.292,20.375,20.008,20.592,20.792,20.333,20.45,20.467,20.5,20.808,20.667,20.433
Rabi,22.392,22.4,22.517,22.275,22.667,22.542,22.517,22.275,22.7,22.25,22.525,22.842,22.3,22.617,22.517,22.483,22.5,22.5,22.525,22.5,22.5,22.5,22.5,22.5,22.5,22.525,22.508,22.508,22.492,22.5,22.508,22.525,22.533,22.525,22.517,22.5,22.542,22.517,22.508,22.525,23.017,22.733,22.308,22.842,22.817,22.5,23.2,22.75,23.133,22.75,22.917,22.9,22.717,22.45,22.433,22.408,22.592,22.483,22.825,22.983,22.542,22.592,23.175,22.675,22.725,23.033,22.733,22.692,22.783,22.858,22.592,22.125,22.433,22.233,21.867,21.725,22.292,22.075,22.508,22.517,22.408,22.042,22.592,22.833,22.392,22.35,22.817,22.808,22.525,22.717,22.708,22.35,22.533,22.4,22.892,22.733,22.675,23.458,22.767,22.742,22.908,23.242,23.025,22.633,22.908,23.067,22.825,22.625,22.867,23.017,22.842,23,22.8,23.025
Jianfengling,20.858,21.325,20.592,20.525,21.142,21.217,20.825,20.733,21.025,20.742,21.025,20.875,20.6,21.292,21.167,20.4,20.167,20.45,20.775,20.867,20.4,21.025,20.808,20.967,20.433,20.883,20.308,21.125,21.158,20.508,21.017,20.183,20.342,20.167,21.292,20.4,21.267,20.508,20.492,20.45,21.308,21.15,21.283,21.125,20.05,21.458,20.95,21.042,21.458,20.867,20.6,21.142,20.908,20.675,20.392,20.55,20.717,20.767,21.15,21.083,20.95,20.575,20.617,21.033,21.225,21.667,20.358,20.35,20.492,20.658,20.067,20.817,21.283,20.342,20.883,20.508,20.833,20.933,21.017,21.342,21.292,20.933,20.958,20.292,20.792,21.092,21.867,21.05,21.158,21.683,21.825,21.517,21.467,21.992,21.542,21.442,21.8,22.608,21.825,21.967,22.217,22.467,22.283,22.133,22.05,22.125,21.167,20.717,21.875,22.142,21.042,22.092,21.925,21.983
Mudumalai,18.667,18.642,18.492,18.033,18.6,18.808,18.308,18.392,18.55,18.308,18.517,18.65,18.683,18.85,18.942,18.417,18.133,18.383,18.833,18.633,18.542,18.367,18.508,18.8,18.633,19.167,19.05,18.992,18.817,18.808,19.083,18.492,18.317,18.592,18.667,18.725,18.7,18.658,18.367,18.392,19.067,18.808,18.192,18.567,18.858,18.558,18.608,18.842,18.458,18.475,18.417,18.55,18.483,18.25,18.383,18.275,18.708,18.975,18.733,18.6,18.708,18.483,18.542,18.375,18.575,18.9,17.992,18.467,18.692,18.4,18.033,18.525,18.692,18,18.15,18.525,18.725,18.95,19.467,19.142,19.225,19.308,19.458,18.767,19.033,19.175,19.25,19.133,18.6,19.083,19.05,18.483,18.7,18.683,18.967,18.917,19.325,19.617,18.733,18.983,19.425,19.558,19.775,19.117,19.408,19.333,19.408,19.158,19.467,19.567,19.192,19.692,19.517,19.7
Nanjenshan,17.9,18.517,18.05,17.65,18.133,18.475,18.058,18.233,18.5,18.242,18.15,18.292,18.075,18.367,18.842,18.458,17.625,17.817,18.325,18.333,18.208,18.45,17.858,18.2,18,18.192,18.233,18.633,18.317,18.9,19.083,18.258,18.667,18.3,18.683,18.642,19.108,18.725,17.95,18.125,18.942,18.517,18.025,18.367,18.225,19.058,18.433,19.067,18.883,18.617,19.175,19.642,19.65,19.9,18.95,19.242,19.242,19.2,19.217,19.492,19.358,19.075,18.85,19.608,19.358,19.625,19.042,18.45,18.792,19.317,18.775,18.883,19.375,18.925,19.083,18.875,19.2,18.85,18.55,19.342,19.05,18.842,18.675,18.267,18.492,18.233,18.975,19.233,18.967,19.475,19.217,18.825,18.992,19.2,18.8,18.942,18.833,19.925,19.008,19.358,19.617,19.583,19.558,19.642,19.242,19.842,20.075,19.542,19.658,19.675,19.675,19.958,19.808,19.625
Doi_Inthanon,17.058,16.45,16.425,16.208,17.142,17.25,16.342,16.5,16.683,16.383,16.717,16.542,16.358,16.417,16.533,16.958,16.775,16.933,17.342,17.017,17.067,17.208,16.717,16.933,16.775,17.542,17.042,17.158,17.275,17.042,17.3,17.033,16.792,16.583,16.933,16.692,17.275,16.492,16.075,15.592,16.825,16.792,16.292,16.6,16.658,16.742,17.05,16.075,16.117,16.167,16.925,16.825,16.933,16.375,15.658,15.975,16.367,16.542,16.783,16.992,16.683,16.425,16.358,16.425,16.667,17.183,16.525,16.4,16.408,16.7,15.825,16.542,16.342,16.025,17.308,16.217,16.025,17.442,18,17.542,17.1,16.567,17.042,17.075,17.075,16.692,17.183,16.5,16.108,16.583,17.292,16.492,16.608,16.667,16.825,16.633,16.592,17.033,16.958,16.742,17.175,17.092,16.95,16.65,16.792,16.475,16.75,17.808,17.775,18.35,17.442,18.133,18.258,17.617
Huai_Kha_Khaeng_(HKK),19.292,18.817,18.6,18.392,19.617,19.708,18.625,18.758,18.817,18.592,19.117,18.892,18.592,18.775,18.625,18.508,18.5,18.808,19.167,18.892,18.558,18.783,18.325,18.567,18.542,19.2,18.717,18.842,18.758,18.767,19.008,18.992,19.025,18.775,19.317,18.925,19.192,18.475,18.283,18.717,20.183,18.867,18.258,18.792,18.683,18.533,18.858,18.758,18.642,18.775,18.983,18.833,18.808,18.442,17.842,17.908,18.617,18.842,19.067,19.192,19.008,18.275,18.733,18.85,18.942,19.558,18.808,18.892,18.833,18.633,18.283,19.375,19.025,18.717,18.95,18.433,19.1,19.45,19.583,19.475,18.642,18.6,18.658,18.792,18.883,18.55,18.992,18.667,18.517,19.142,19.65,19.042,19.3,19.35,19.025,18.733,18.858,19.467,18.942,19.258,19.425,19.35,18.783,18.742,19.475,19.075,18.875,18.967,19.317,20.258,18.992,20.075,19.358,19.233
Mo_Singto,22.275,22.05,21.725,21.467,22.958,22.967,21.767,21.825,21.875,21.7,22.333,22.108,21.65,22.058,21.7,21.308,21.283,21.792,22,21.8,21.225,21.608,21.2,21.483,21.408,21.942,21.533,21.608,21.475,21.567,21.8,21.95,22.15,21.85,22.558,21.958,21.775,21.542,21.35,21.542,22.558,21.858,21.3,21.917,21.608,22.058,21.733,21.175,21.8,21.417,21.617,21.642,21.708,21.358,20.783,21.008,21.6,21.875,21.858,21.892,21.808,21.292,21.142,21.508,21.767,22.583,21.8,22.258,22.558,22.183,21.258,22.233,22.258,21.817,22.192,21.833,22.175,22.633,22.842,22.617,21.775,21.8,22.067,21.783,21.883,21.742,22.058,22,21.717,22.217,22.7,22.417,22.367,22.592,22.208,22.058,22.492,23.075,21.983,22.1,23.1,23.142,22.883,22.7,23.133,23.175,22.667,22.467,22.592,23.5,22.5,23.417,22.933,22.875
