sitename,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Manaus,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.575,8.9833,8.7083,8.075,8.2167,8.425,8.375,8.0583,7.6417,7.6917,7.7333,7.5833,7.6917,7.5917,7.6333,7.9917,8.575,7.9167,7.9083,7.8,8.6083,8.5917,8.5917,8.1083,8.1,8.0667,8,8.125,7.9083,7.7833,8.8,9.3083,9.1333,9.175,8.95,8.6417,8.4667,8.825,8.425,8.6083,8.3917,8.2333,8.2417,8.075,8.25,8.2583,8.225,8.825,8.7,8.725,8.8417,8.6917,8.75,8.4083,8.5,8.65,8.1667,8.425,8.5,8.3167,8.4667,8.1333,8.5333,8.2417,8.3583,8.3833,8.175,8.575,9.275,9.05,9.0583,8.9,8.5917,8.6417,8.85,8.9667,8.925,8.9083,8.6833,8.5167,8.6667,8.1083,8.025,7.9083,7.825
Amacayacu,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.625,9.675,9.6667,9.625,9.625,9.6083,9.625,9.7417,9.6667,9.6167,9.6667,9.6583,9.6583,9.6333,9.7167,9.6667,9.6417,9.625,9.675,9.7333,9.75,9.9167,9.8917,9.825,9.725,9.6667,9.6667,9.6333,9.6083,9.675,9.7333,9.5833,9.6583,9.6,9.5583,9.7333,9.5167,9.575,9.5833,9.575,9.6083,9.5833,9.5083,9.5667,9.5167,9.5833,9.5417,9.575,9.5583,9.5167,9.55,9.5917,9.6,9.6083,9.625,9.625,9.4417,9.3667,9.4333,9.5917,9.625,9.625,9.5417,9.5,9.4333,9.55,9.4667,9.5333,9.6083,9.6333,9.5667,9.625,9.6333,9.6583,9.75
Yasuni,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,11.725,12.058,11.583,11.183,11.525,12.108,12.058,12.425,12.108,12.142,12.108,12.858,12.475,12.417,12.375,12.317,12.225,12.3,12.1,12.033,12.017,12.842,12.108,12.2,12.392,12.425,11.742,11.958,12.35,12.55,12.4,12.567,12.217,11.933,12.383,11.675,12.467,11.875,11.908,12.133,12.342,11.817,11.375,11.225,11.617,11.292,10.8,11.375,11.717,11.883,12.033,11.85,11.383,11.35,12.075,11.583,11.917,11.608,12.308,11.192,11.225,11.45,11.533,11.4,11.617,11.725,11.725,10.992,10.683,10.9,11.633,11.725,11.725,11.233,11.342,10.817,10.917,10.858,11.2,11.25,11.6,11.575,11.458,11.342,11.208,11.392
Scotty_Creek,13,12.617,12.833,12.217,12.033,12.408,12.867,12.492,11.617,9.7333,11.275,10.808,11.225,10.367,10.883,11.4,10.967,10.733,11.333,10.825,10.733,11.392,12.442,12.217,11.6,11.208,11.158,12.475,11.65,10.983,11.133,10.783,11.158,11.192,11.217,11.508,12,12.192,11.233,11.467,11.125,11.233,11.75,10.917,10.967,10.542,10.875,11.767,10.908,11.367,11.225,10.6,10.308,11.35,11.308,10.658,10.933,10.058,10.65,10.067,10.833,10.892,11.508,11.3,11.342,11.825,12.317,11.308,11.417,10.892,12.342,12.15,12.283,11.475,11.758,11.417,11.45,11.683,11.658,11.85,11.333,11.792,11.083,11.175,11.5,11.367,11.542,10.892,11.992,11.442,11.508,10.775,11.342,11.792,11.675,11.192,11.2,10.9,10.775,11.208,10.717,11.083,10.925,11.525,10.85,11.05,10.533,11.233,11.167,10.558,11.3,11.283,11.317,11.433
Korup,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,8.9083,9.1917,8.7583,9.2167,9.0417,9.3,9.1917,8.625,8.6417,8.95,8.9583,9.2667,9.1,8.8333,8.8583,8.8167,8.325,8.575,8.9333,8.4083,8.475,9.225,8.875,8.925,9.275,8.8167,8.7667,9.1583,8.7083,9.3417,8.3583,8.6917,9.2667,9.3583,8.9333,9.1833,8.8833,9.15,9.2833,9.0417,9.25,8.9083,8.9,8.8917,8.8667,8.8667,8.8917,8.8917,8.8667,8.75,8.875,9.225,8.7917,9.0167,8.7417
Khao_Chong,9.475,9.475,9.475,9.475,9.475,9.475,9.475,9.475,9.475,9.475,9.475,9.475,9.475,9.475,9.475,9.475,9.475,9.475,9.475,9.475,9.475,9.475,9.475,9.3583,9.6667,9.7083,9.6083,9.65,9.6833,9.925,9.775,9.6917,9.7583,9.3333,9.5917,9.4833,9.6667,8.85,8.8167,9.35,9.4083,9.15,10.208,9.8083,9.6417,10.058,10.067,8.9667,9.175,9.0667,9.825,9.475,9.1667,9.5833,9.8417,9.7083,9.65,10.242,9.3417,9.1333,9.05,9.225,9.7167,9.4583,9.2167,9.2583,9.3083,9.9833,9.4417,8.9,9.2833,9.6667,9.2333,9.5083,8.6583,9.4333,9.3917,9.15,9.4417,9.325,9.7417,9.7917,10.008,9.575,9.8917,9.6583,10.075,9.3167,9.55,9.9,9.8917,10.117,10.017,9.6667,10.083,9.5667,9.9583,9.8083,8.825,9.0083,8.8917,9.1083,8.875,9.025,8.9583,9.0167,8.975,8.8667,9.3083,9.0333,8.8,9.25,9.025,9.225
Barro_Colorado_Island_(BCI),6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.6167,6.5,6.425,6.4917,6.6167,6.6083,6.6917,6.625,6.625,6.625,6.65,6.425,6.875,7,7.1083,7.0667,7.0833,6.875,6.8917,7.2833,7,6.625,6.8417,7.5333,7.3417,7.075,7.4833,7.3917,7.75,8.125,7.525,7.2833,7.525,7.6,7.9083,7.9417,6.9083,7.1917,6.5167,6.3333,6.8583,6.6333,6.9167,6.5333,6.3333,6.075,6.1917,5.875,6.2167,6.25,6.3833,6.0333,6.1,5.9583,6.0333,5.9917,5.8833,5.75,5.7333,5.7917,5.8583,6.4833,6.5083,6.525,6.5417,6.5417,5.7167,5.75,5.2667,6.3833,6.5417,6.5417,6.0333,5.5,5.6,5.5333,5.475,5.65,6.2583,6.15,6.2,6.275,6.2,6.225,6.2333
Cocoli,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.5417,7.6333,7.5,7.3917,7.475,7.6667,7.6583,7.75,7.6583,7.6833,7.65,7.725,7.4333,7.9333,8.0583,7.95,7.9917,8.05,7.9,7.925,8.275,7.975,7.6583,7.9,8.475,8.3417,8.2083,8.4833,8.5,8.6667,9.0083,8.575,8.4167,8.3917,8.4917,8.7583,8.7083,7.8833,8.125,7.575,7.4583,7.7917,7.55,7.875,7.4083,7.25,7.0083,7.2167,6.9833,7.1833,7.2417,7.3583,7.025,7.05,7,6.9917,7.0583,7.1667,7.0083,6.75,6.825,6.9083,7.4833,7.475,7.5167,7.5417,7.5417,6.7167,6.7083,6.2917,7.3583,7.5417,7.5417,7.025,6.5083,6.5917,6.4917,6.4583,6.6167,7.225,7.175,7.2333,7.175,7.0583,7.1333,7.15
San_Lorenzo/_Sherman,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.5417,6.6167,6.5,6.425,6.4917,6.6167,6.6083,6.6917,6.625,6.625,6.625,6.65,6.425,6.875,7,7.1083,7.0667,7.0833,6.875,6.8917,7.2833,7,6.625,6.8417,7.5333,7.3417,7.075,7.4833,7.3917,7.75,8.125,7.525,7.2833,7.525,7.6,7.9083,7.9417,6.9083,7.1917,6.5167,6.3333,6.8583,6.6333,6.9167,6.5333,6.3333,6.075,6.1917,5.875,6.2167,6.25,6.3833,6.0333,6.1,5.9583,6.0333,5.9917,5.8833,5.75,5.7333,5.7917,5.8583,6.4833,6.5083,6.525,6.5417,6.5417,5.7167,5.75,5.2667,6.3833,6.5417,6.5417,6.0333,5.5,5.6,5.5333,5.475,5.65,6.2583,6.15,6.2,6.275,6.2,6.225,6.2333
Luquillo,6.4583,6.4583,6.4583,6.4583,6.5,6.4583,6.3083,6.4417,6.025,5.9667,6.625,6.6667,6.5417,6.9083,6.3833,6.5083,6.6,7.2083,7.1083,7.3333,6.6833,6.4583,7.15,6.5667,7.0833,6.7583,6.8833,6.7833,6.625,7.025,5.7917,6.75,7.0167,7.0417,6.025,6.175,6.5333,6.0333,6.7,6.325,6.2833,5.7667,5.625,6.3917,6.0417,6.0667,5.9083,5.7583,5.8333,5.05,6.0167,5.9667,6.0917,5.6583,5.6833,5.3333,5.7583,5.9,6.1,6.4417,5.8,6.275,6.125,6.4833,6.5833,6.2167,7.0167,7.25,6.7583,6.7083,6.75,6.0417,6.4167,5.85,6.3417,5.9167,6.3583,6.6,6.2833,6.325,6.0333,6.0417,6.075,6.475,6.6583,6.825,6.5083,6.4583,6.9,7.1333,6.9167,7.0167,7.2833,6.825,7.2,6.5417,6.5167,6.2917,6.2333,6.975,6.5917,6.4917,6.35,6.2917,6.4583,6.4583,6.4583,6.4583,6.4583,6.475,6.4333,6.375,6.425,6.4167
