sitename,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Manaus,81.7,81.7,81.7,81.7,81.7,81.658,81.675,81.7,81.7,81.7,81.625,81.642,81.642,81.708,81.7,81.717,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.692,81.7,81.667,81.708,81.683,81.7,81.7,81.7,81.7,81.692,81.758,81.642,81.617,81.692,81.533,82.15,81.9,81.55,81.742,81.475,81.308,81.5,81.767,81.467,81.392,81.067,81.492,81.542,81.858,81.383,81.183,81.075,80.908,80.808,81.183,81.183,81.433,81.533,81.458,81.283,81.083,81.825,81.975,82.067,82,81.475,81.992,82.108,81.5,81.992,82.233,81.75,82.617,82.35,82.358,81.908,82.492,81.475,81.225,81.558,82.067,82.058,82.367,81.958,81.7,81.7,82.35,81.683,81.667,83.217,82.425,81.708,82.108,80.25,79.825,79.95,79.417,79.7,80.225,81.117,80.658,81.6,82.283,82.45,82.7
Amacayacu,81.908,81.908,81.908,81.908,81.75,81.875,81.933,81.808,81.825,81.692,81.642,81.358,81.467,81.867,81.975,81.933,81.867,81.833,81.908,81.875,81.95,81.908,81.908,81.908,81.908,81.908,81.908,81.908,81.908,81.225,82.225,82.233,81.867,81.225,81.425,80.85,80.842,81.375,80.575,79.692,79.792,79.967,81.25,80.833,82.283,82.558,81.383,81.767,81.442,79.85,81.608,81.508,81.758,78.333,79.717,81.525,80.458,79.75,79.992,78.9,81.017,80.283,80.658,81.058,77.4,81.425,83.633,80.8,80.883,79.142,82.75,84.725,82.017,83.392,81.8,82.967,82.325,77.2,82.267,82.567,82.1,84.742,82.95,84.433,82.5,84.425,79.925,80.758,83.217,83.75,82.733,83.558,82.55,81.717,81.908,81.883,81.492,81.308,81.292,81.483,80.033,80.825,82.608,82.058,77.967,81.083,83.667,80.75,80.617,80.833,84.358,79.958,81.133,81.667
Yasuni,81.675,81.675,81.675,81.675,81.675,81.675,81.675,81.675,81.675,81.675,81.783,81.675,81.675,81.675,81.675,81.675,81.675,81.675,81.675,81.675,81.675,81.675,81.675,81.675,81.675,81.675,81.675,81.675,81.675,79.35,82.4,83.475,82.433,80.758,79.95,78.508,78.25,80.467,77.775,74.117,73.633,75.767,79.133,79.225,77.208,79.917,80.108,81.15,81.917,75.55,81.35,78.8,78.95,72.542,77.925,81.392,78.217,72.683,78.858,76.775,80.283,79.592,78.533,81.633,74.958,81.675,82.8,79.25,77.9,80.083,83.3,85.333,82.242,84.517,84.65,83.592,81.092,76.608,80.275,81.333,82.9,84.117,80.458,83.808,81.158,84.067,80.283,85.325,84.942,83.45,84.075,84.65,82.283,81.675,81.675,81.658,82.95,80.433,83.258,80.592,78.967,81.275,83.242,81.892,82.208,83.525,83.508,84.325,83.142,82.942,84.208,84.175,85.633,85.525
Scotty_Creek,63.717,61.475,60.808,58.758,61.492,60.65,60.317,62.392,63.933,62.558,62.258,58.7,60.458,56.717,56.467,56.433,55.15,55.342,53.008,52.392,54.942,56.725,59.267,59.525,58.05,62.192,59.717,58.625,59.783,60.717,57.467,60.708,59.858,59.05,56.4,63.3,60.183,52.758,55.117,53.425,58.825,57.158,58.975,61.308,60.383,62.008,60.008,56.908,60.883,59.3,61.7,60.917,60.317,58.458,58.067,61.742,59.458,61.592,59.908,62.75,61.533,63.475,61.608,58.15,57.9,57.808,60.883,63.658,60.275,64.183,61.642,60.067,56.817,63.033,60.725,59.9,61.325,61.95,62.192,63.458,61.708,60.483,61.4,60.867,62.092,63.35,62.408,63.25,58.267,60.8,61.983,60.483,60.05,60.367,62.183,61.133,61.033,59.583,61.875,62.033,60.508,60.492,60.792,60.092,61.667,61.475,62.15,60.725,61.067,61.733,60.8,61.025,60.8,60.475
Korup,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.25,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,83.258,80.633,83.6,81.883,83.383,82.042,82.142,84.258,85.258,82.8,82.95,81.692,81.642,83.925,83.008,84.35,85.583,85.208,82.95,84.617,84.783,81.742,84.425,82.592,81.367,84.7,83.858,81.617,83.625,80.85,86.442,84.283,82.383,82.308,79.75,81.6,82.342,84.992,83.633,84.383,83.825,83.5,83.85,82.583,83.725,83.4,83.7,84.283,84.5,82.858,82.992,82.1,84.717,82.675,83.925
Khao_Chong,71.483,71.483,71.483,71.483,71.483,71.483,71.483,71.483,71.483,71.483,71.483,71.483,71.483,71.483,71.483,71.633,71.6,71.642,71.542,71.608,71.642,71.717,71.792,71.767,71.683,71.817,71.658,71.658,71.717,69.033,69.208,70.117,69.833,71.333,69.958,71.883,70.433,71.642,71.708,66.525,71.433,71.692,71.675,71.675,71.533,69.817,71.383,69.258,71.483,70.875,71.025,71.592,69.825,68.517,69.25,70.333,67.7,68.233,69.492,69.083,70.192,70.133,68.967,69.4,69.55,71.4,71.217,68.1,70.667,71.625,71.6,67.933,71.333,70.217,73.225,71.05,72.008,72.433,71.167,72.642,72.025,72.008,70.292,73.083,72.35,73.95,72.775,75.567,74.425,73.267,73.733,73.15,71.608,72.9,72.467,72.208,71.833,69.4,74.383,72.317,70.717,68.875,72.208,65.908,71.058,70.5,70.692,73.892,72.408,74.217,75.575,72.667,75.667,68.525
Barro_Colorado_Island_(BCI),57.267,57.417,57.417,57.417,57.417,57.308,57.333,57.175,57.2,57.308,57.325,57.417,57.267,57.342,57.417,57.417,57.425,57.417,57.392,57.417,57.417,57.308,57.417,57.417,57.267,57.275,57.358,57.342,57.375,56.017,57.692,58.542,57.692,56.742,55.983,55.325,54.992,56.533,54.842,55.417,58.5,56.667,55.858,56.492,54.2,54.35,55.875,55.158,53.275,56.008,52.217,46.167,54.75,55.725,56.575,52.108,55.05,52.517,52.642,61.283,54.183,55.717,55.067,54.792,54.167,55.433,54.683,57.75,58.592,56.833,57.275,53.992,56.2,58.192,59.417,57.05,59.25,67.708,55.067,56.517,58.9,56.092,58.233,58.492,58.742,56.925,57.617,58.783,59.933,60.883,58.275,57.642,57.525,57.417,57.417,59.125,55.717,56.725,57.425,58.2,58.583,56.083,58.683,57.692,57.808,55.042,54.417,54.875,58.558,59.808,56.783,56.983,59.425,61.067
Cocoli,55.325,55.442,55.442,55.442,55.442,55.342,55.375,55.242,55.292,55.358,55.367,55.442,55.317,55.392,55.442,55.442,55.45,55.442,55.442,55.442,55.442,55.35,55.442,55.442,55.317,55.325,55.4,55.375,55.408,53.892,55.767,56.683,55.758,54.742,53.925,53.192,52.842,54.508,52.658,53.167,56.475,54.467,53.775,54.517,52.025,52.242,53.775,52.942,51.467,54.4,50.55,44.575,52.867,53.775,54.683,50.042,52.775,50.483,51.125,59.508,52.15,54.017,53.2,53.025,52.425,53.283,52.6,55.8,56.475,55.083,55.467,51.842,54.225,56.242,57.55,54.975,57.258,66.6,52.958,54.417,56.9,53.983,56.1,56.492,56.675,54.667,55.35,56.617,57.817,59.1,56.375,55.767,55.567,55.442,55.442,57.108,53.625,53.883,55.367,57.033,56.967,54.492,56,55.983,55.108,52.883,51.567,52.033,56.825,56.508,54.333,55.192,57.658,59.608
San_Lorenzo/_Sherman,57.267,57.417,57.417,57.417,57.417,57.308,57.333,57.175,57.2,57.308,57.325,57.417,57.267,57.342,57.417,57.417,57.425,57.417,57.392,57.417,57.417,57.308,57.417,57.417,57.267,57.275,57.358,57.342,57.375,56.017,57.692,58.542,57.692,56.742,55.983,55.325,54.992,56.533,54.842,55.417,58.5,56.667,55.858,56.492,54.2,54.35,55.875,55.158,53.275,56.008,52.217,46.167,54.75,55.725,56.575,52.108,55.05,52.517,52.642,61.283,54.183,55.717,55.067,54.792,54.167,55.433,54.683,57.75,58.592,56.833,57.275,53.992,56.2,58.192,59.417,57.05,59.25,67.708,55.067,56.517,58.9,56.092,58.233,58.492,58.742,56.925,57.617,58.783,59.933,60.883,58.275,57.642,57.525,57.417,57.417,59.125,55.717,56.725,57.425,58.2,58.583,56.083,58.683,57.692,57.808,55.042,54.417,54.875,58.558,59.808,56.783,56.983,59.425,61.067
Luquillo,59.967,59.85,59.8,60.117,60.142,60.125,60.033,60.117,60.283,59.917,59.85,59.975,59.692,59.908,60.058,60.258,59.95,60.058,59.95,59.892,59.742,59.625,59.542,59.508,59.892,59.95,59.967,60.083,60.175,59.908,60.108,59.85,59.875,59.85,59.808,60.108,60.242,60.208,60.275,60.192,60.35,60.625,59.917,60.042,61.208,60.425,59.6,59.667,59.3,59.608,59.483,59.033,58.95,58.792,58.683,59.325,58.75,58.608,59.392,58.983,56.633,58.283,57.025,57.658,59.617,57.483,59.458,58.167,56.992,58.9,60.467,61.025,60.842,61.7,61.708,61.383,61.508,61.242,63.308,60.992,60.792,60.975,60.142,60.683,60.483,58.533,61.242,60.058,60.692,59.575,60.025,59.667,60.058,60.233,59.875,62.85,61.108,65.025,63.4,61.917,61.617,61.392,60.233,60.617,60.858,58.7,57.833,59.6,58.7,62.625,59.742,60.375,58.267,58.092
