Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
11,Nonggang,8.1417,8.3667,8.6583,8.3,9.0417,8.7167,7.8917,9.15,7.975,8.2833,8.2583,8.975,8.9167,8.05,8.2917,8.075,8.1083,7.7667,8.525,7.2667,8.575,7.9583,8.1333,8.2667,7.8333,7.7333,8.2667,7.625,8.0583,7.5917,7.5833,7.425,8.0167,7.525,7.3083,7.85,8.2667,7.6417,7.825,7.5,7.6083,8.0333,8.525,7.8167,7.425,8.0167,7.1167,8.0917,7.6833,7.6167,7.15,7.125,8.4417,8.3417,7.7167,8.3583,8.4,8.175,8.4583,8.1917,7.925,7.0917
12,Xishuangbanna,11.433,11.983,11.742,11.333,10.85,11.208,12.692,12.508,11.625,11.433,11.558,11.342,12.242,11.05,11.383,11.117,10.633,11.025,11.5,10.65,10.392,10.533,10.458,11.3,11.025,10.55,10.125,10.683,11.283,11.283,10.017,10.358,10.908,10.783,10.2,10.375,10.033,10.392,10.458,9.8833,9.8333,10.55,10.433,10.183,9.825,9.9083,9.95,10.492,9.8667,9.6167,9.6417,9.9917,10.058,10.558,10.2,10.717,10.55,10.017,10.742,10.9,9.8583,10.792
13,Mudumalai,10.267,10.267,10.267,10.267,9.7917,9.8833,9.7583,9.75,10.117,10.075,9.9,10.075,10.192,10.8,10.467,10.325,10.525,10.25,10.333,10.092,10.242,10.617,10.483,11.067,10.433,10.475,10.142,9.7083,9.2917,10.033,9.6833,9.95,10.275,10.117,10.325,10.217,10.383,10.492,10.833,10.283,10.35,10.892,10.858,10.8,10.75,10.717,10.575,10.575,10.992,10.433,10.267,10.267,10.267,10.267,10.267,10.267,10.267,10.267,10.267,10.267,10.267,10.267
14,Danum Valley,7.3833,7.2667,7.8583,8.2917,7.9167,8.1667,8.1,7.8917,7.9917,7.7417,7.9583,7.375,7.4583,7.8,7.8417,8.0833,8.0833,8.2917,8.0917,8.0083,8.1,8.2833,8.1417,8.2833,8.0417,7.925,7.4667,7.7833,7.7583,7.7083,7.6833,7.7583,7.6917,7.5,7.5583,7.3333,7.375,7.175,7.125,7.2583,7.2083,7.4333,7.1417,7.0083,6.95,6.925,7.025,7.0833,6.9333,7.075,7.1917,7.3083,7.0333,7.1333,7.125,7.1,6.875,7.05,7.1,7.125,7.225,7.225
15,Lambir,8.0417,7.3917,8.1333,7.7833,7.625,7.4333,7.6167,7.4833,7.5,7.7333,7.6333,7.4333,7.3083,7.8583,8.2833,8.5917,9.0917,8.9583,8.2,8.2,8.0083,8.05,7.775,7.95,7.8667,7.7667,7.4083,7.8667,8.0583,8.1417,8.0417,8.0333,7.7167,7.3583,7.7833,7.575,7.775,7.6417,7.875,7.975,7.775,8.1083,7.8083,7.8,7.5917,7.75,7.975,7.6917,7.75,7.7167,7.6833,7.825,7.5417,7.55,7.5167,7.4167,7.3333,7.375,7.4417,7.3583,7.4583,7.8
16,Pasoh,8.4667,8.4,8.4167,8.45,8.5083,8.425,8.3417,8.6917,8.4583,8.3833,8.5917,8.3167,8.7333,8.3667,8.625,8.5417,8.15,8.8667,8.6917,8.6667,8.7083,8.8417,8.4417,8.65,8.7417,9.2833,9.3917,9.3333,9.25,8.9833,9.075,8.8917,8.9167,8.5833,9.0417,8.9917,8.8333,8.5833,8.925,9.1,8.925,9.0583,8.7917,8.7583,8.225,8.475,8.6667,8.6583,8.2667,8.375,8.325,8.725,8.225,8.4333,8.2667,8.0667,7.9417,7.8917,7.8333,8.0083,7.7583,7.9
17,Palanan,9.975,10.033,9.9833,10.267,9.9333,9.6333,9.9167,9.975,10.267,9.7167,9.9333,9.6417,9.425,9.1583,9.2417,9,9.4167,9.5833,9.875,9.7167,9.275,9.7583,10.075,9.6833,10.2,9.5417,9.5833,9.8417,9.9833,9.575,9.7,9.5917,10.042,9.9083,10.075,9.0667,9.6583,10.1,10.767,10.292,10.233,11.017,10.408,10.4,9.7,9.7,9.8167,10.458,9.825,9.6583,9.6667,10.125,10.258,9.525,9.8833,10.192,9.4417,9.4417,9.2083,9.65,9.2,9.2833
18,Bukit Timah,7.7583,7.6583,8.0167,8.0083,7.8417,8.075,7.9,8,7.575,7.65,7.8667,7.7417,7.6833,7.7833,8.1833,8.0667,7.7583,7.9583,8.225,7.7333,7.9667,8.05,7.6083,7.5,8.0333,7.9583,7.7417,7.1917,7.4667,7.6083,7.5333,7.6083,7.7417,7.5,7.9083,7.7417,7.675,7.2917,7.5083,7.7,8.0333,7.7833,7.6667,7.55,7.4917,7.7,7.825,7.7583,7.6333,7.7667,7.8083,7.9083,7.8333,7.8,8.0083,7.75,7.4917,7.1333,7.1167,7.0083,6.8,7
19,Sinharaja,6.7083,6.7083,6.7083,6.7083,6.4167,6.4833,6.4083,6.4333,6.6417,6.575,6.5,6.5333,6.6,6.9417,6.7333,6.7083,6.825,6.625,6.7333,6.5667,6.7,6.8667,6.8667,7.1333,6.7833,6.8167,6.7,6.4833,6.2417,6.6417,6.425,6.6417,6.775,6.6583,6.75,6.6583,6.7667,6.8417,7,6.7417,6.7417,7.0833,7.0917,7.025,6.9583,6.9583,6.9083,6.9167,7.1167,6.8,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083
20,Fushan,6.3417,6.3333,6.0167,6.2167,6.2917,5.8917,6.0667,6.3083,6.2083,6.3,6.4167,6.6333,6.9833,6.45,6.425,6.575,6.4583,6.525,6.7417,6.5833,6.8,6.4583,6.1417,6.3583,6.35,6.4083,6.6083,6.425,6.5167,6.35,6.5,6.5083,6.3583,6.3417,6.275,6.3417,6.4833,6.1917,6.3083,6.1083,6.2417,6.3917,6.3167,6.1667,6.1,6.2833,6.1,6.0583,5.9917,6.2167,6.2417,6.3917,6.3,6.4333,6.2667,6.325,6.3,6.4583,6.4083,6.225,6.0833,5.9167
