"Description: ","Dates where precipitation > 200 mm or abs(temperature) > 50 degrees."
"Station: ","SCBI_mettower_data_sensor1"
"Latitude: ","30"
"Longitude: ","78"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-09-14"
Date,Prec,TX,TN
2017-5-28,NA,18.10959,-68.72195
2017-5-29,NA,24.85028,-65.43593
2017-5-30,NA,22.78316,-67.56559
2017-5-31,NA,22.40792,-64.86494
2017-6-1,NA,20.40073,-62.98439
2017-6-4,NA,28.06549,-64.35162
2017-6-6,NA,20.19955,-66.86552
2017-6-7,NA,18.38102,-65.6503
2017-6-8,NA,15.39325,-67.83833
2017-6-9,NA,19.7315,-69.86713
2017-6-10,NA,22.37046,-69.58932
2017-6-11,NA,22.74685,-67.99013
2017-6-12,NA,23.76689,-66.92796
2017-6-13,NA,21.91727,-61.84954
2017-6-14,NA,22.23452,-63.09063
2017-6-15,NA,21.22574,-64.92519
2017-6-16,NA,-13.98679,-65.61129
2017-6-17,NA,-31.99843,-70.82938
2017-6-18,NA,30.07594,-68.77991
2017-6-19,NA,-14.67998,-65.30912
2017-6-20,NA,27.73846,-59.56189
2017-6-21,NA,21.93402,-68.91712
2017-6-22,NA,19.03411,-60.22979
2017-6-23,NA,27.45835,-59.56435
2017-6-24,NA,21.8357,-54.87471
2017-6-25,NA,23.54595,-62.37776
2017-6-30,NA,28.92784,-65.46829
2017-7-2,NA,27.27596,-69.5736
2017-7-3,NA,18.8649,-69.13089
2017-7-4,NA,-6.238404,-67.38003
2017-7-5,NA,20.438,-70.14832
2017-7-6,NA,-34.34273,-65.29568
2017-7-7,NA,30.13452,-66.80941
2017-7-8,NA,26.07409,-53.81178
2017-7-9,NA,24.48379,-63.22989
2017-7-10,NA,22.33237,-68.46745
2017-7-11,NA,21.19058,-60.19837
2017-7-12,NA,32.37162,-65.84058
2017-7-13,NA,25.06974,-68.07524
2017-7-14,NA,32.06744,-66.56915
2017-7-16,NA,24.03341,-58.21651
2017-7-17,NA,30.95773,-65.78107
2017-7-18,NA,27.58178,-65.14776
2017-7-19,NA,20.30416,-68.61995
2017-7-20,NA,21.86663,-68.42937
2017-7-21,NA,21.87514,-68.69682
2017-7-22,NA,29.82059,-64.49438
2017-7-23,NA,27.12046,-53.1004
2017-7-25,NA,18.51587,-58.69886
2017-7-26,NA,18.05058,-63.66267
2017-7-27,NA,27.98559,-61.84563
2017-7-28,NA,-2.026245,-58.19631
2017-7-30,NA,21.96788,-53.15106
2017-8-1,NA,4.450377,-52.68419
2017-8-4,NA,13.61542,-51.47844
2017-8-5,NA,21.6765,-57.00686
2017-8-6,NA,20.47634,-69.79613
2017-8-7,NA,20.68664,-65.25804
2017-8-8,NA,23.28303,-66.86378
2017-8-9,NA,20.61243,-69.53002
2017-8-10,NA,23.1733,-69.71798
2017-8-11,NA,25.1027,-59.93314
2017-8-12,NA,26.29761,-67.99461
2017-8-13,NA,25.8803,-61.89775
2017-8-15,NA,25.68839,-51.63501
2017-8-16,NA,27.53629,-63.92364
2017-8-17,NA,19.94946,-58.51007
2017-8-18,NA,29.82219,-66.63766
2017-8-19,NA,26.34118,-55.62012
2017-8-20,NA,27.56872,-55.61974
2017-8-21,NA,26.708,-63.31098
2017-8-22,NA,27.13834,-67.20709
2017-8-23,NA,25.9699,-55.28074
2017-8-24,NA,21.28053,-55.66889
2017-8-25,NA,22.93308,-66.56875
2017-8-26,NA,18.41446,-62.57014
2017-8-27,NA,21.31782,-56.38711
2017-8-28,NA,21.07377,-67.24142
2017-8-29,NA,17.18221,-57.36251
2017-8-30,NA,20.30815,-55.33469
2017-8-31,NA,25.45162,-61.32084
2017-9-3,NA,23.20571,-57.29506
2017-9-4,NA,25.8502,-55.23394
2017-9-5,NA,23.62233,-61.24152
2017-9-6,NA,16.69107,-53.33314
2017-9-7,NA,13.77094,-63.92571
2017-9-8,NA,19.11096,-63.93274
2017-9-9,NA,19.45519,-66.14384
2017-9-10,NA,18.56827,-70.93189
2017-9-11,NA,18.73976,-69.21748
2017-9-12,NA,20.24924,-69.72606
2017-9-13,NA,21.23433,-66.63187
2017-9-14,NA,20.0726,-70.54975
2017-9-15,NA,-49.70676,-69.68256
2017-9-16,NA,19.37462,-69.3027
2017-9-17,NA,14.46961,-70.65715
2017-9-18,NA,19.31617,-69.88232
2017-9-19,NA,19.99446,-69.5438
2017-9-20,NA,20.52218,-68.18072
2017-9-21,NA,19.59597,-67.45945
2017-9-22,NA,17.99606,-65.28551
2017-9-23,NA,18.17597,-69.75102
2017-9-24,NA,19.83617,-67.54274
2017-9-25,NA,18.99587,-69.30119
2017-9-26,NA,20.44654,-70.93674
2017-9-27,NA,20.42499,-68.99458
2017-9-28,NA,23.47831,-63.60495
2017-9-29,NA,18.12786,-70.82663
2017-9-30,NA,16.90985,-71.58547
2017-10-1,NA,10.32086,-70.63847
2017-10-2,NA,14.85703,-70.55181
2017-10-3,NA,15.41249,-69.92179
2017-10-4,NA,16.72156,-70.4166
2017-10-5,NA,28.14396,-70.49099
2017-10-6,NA,22.04431,-69.92643
2017-10-7,NA,18.91866,-70.00541
2017-10-8,NA,22.20648,-67.49772
2017-10-9,NA,29.33161,-69.26076
2017-10-10,NA,26.57287,-70.18903
2017-10-11,NA,-11.38936,-68.45035
2017-10-12,NA,-53.93864,-65.89208
2017-10-13,NA,8.651087,-63.83092
2017-10-14,NA,19.61371,-70.25576
2017-10-15,NA,17.13706,-70.52291
2017-10-16,NA,16.54007,-70.36461
2017-10-17,NA,13.55571,-71.96586
2017-10-18,NA,13.84666,-71.76439
2017-10-19,NA,17.84549,-71.45637
2017-10-20,NA,17.87116,-71.36042
2017-10-21,NA,21.66599,-71.43762
2017-10-22,NA,17.52199,-71.31066
2017-10-23,NA,16.53763,-70.06871
2017-10-24,NA,20.23621,-71.78519
2017-10-25,NA,16.64595,-69.99181
2017-10-26,NA,14.05622,-71.257
2017-10-27,NA,18.17408,-70.42239
2017-10-28,NA,19.16995,-70.47072
2017-10-29,NA,14.24538,-68.74921
2017-10-30,NA,13.97199,-70.95476
2017-10-31,NA,15.33476,-71.41081
2017-11-1,NA,11.88939,-70.13113
2017-11-2,NA,10.23525,-70.44308
2017-11-3,NA,-46.82579,-71.27331
2017-11-4,NA,11.58723,-66.13414
2017-11-5,NA,12.9445,-52.40377
2017-11-6,NA,22.5394,-71.52051
2017-11-7,NA,6.51255,-67.76571
2017-11-8,NA,6.670668,-66.95303
2017-11-10,NA,5.620715,-68.69743
2017-11-11,NA,0.7596149,-63.22341
2017-11-12,NA,6.810569,-62.87854
2017-11-14,NA,8.414529,-62.08449
2017-11-15,NA,10.59862,-62.66782
2017-11-16,NA,14.68016,-65.258
2017-11-19,NA,15.34173,-67.51102
2017-11-20,NA,10.16919,-67.70791
2017-11-22,NA,11.42871,-63.48656
2017-11-23,NA,7.388043,-55.71181
2017-11-27,NA,16.27723,-50.99259
2017-11-29,NA,19.18273,-56.97845
2017-12-4,NA,12.21641,-55.30912
2018-1-13,NA,16.01265,-60.2747
2018-1-19,NA,11.67823,-58.91804
2018-1-20,NA,13.18054,-69.41454
2018-1-21,NA,14.33057,-66.3505
2018-1-22,NA,14.42556,-59.3009
2018-1-23,NA,16.07786,-52.65191
2018-2-11,NA,20.93845,-66.51176
2018-2-12,NA,10.57597,-67.31394
