Year,Month,Precipitation (mm),Precipitation Source,Temperature (¡C),Temperature Source
1992,2,5,ACP,NA,NA
1992,3,0,ACP,NA,NA
1992,4,15.1,ACP,NA,NA
1992,5,249.2,ACP,NA,NA
1992,6,208.9,ACP,NA,NA
1992,7,240.4,ACP,NA,NA
1992,8,278.2,ACP,NA,NA
1992,9,265.6,ACP,NA,NA
1992,10,371.3,ACP,NA,NA
1992,11,273.1,ACP,NA,NA
1992,12,139.7,ACP,NA,NA
1993,1,59.2,ACP,NA,NA
1993,2,0,ACP,NA,NA
1993,3,86.9,ACP,NA,NA
1993,4,74.3,ACP,NA,NA
1993,5,429.2,ACP,NA,NA
1993,6,180,ACP,NA,NA
1993,7,415.4,ACP,NA,NA
1993,8,215.2,ACP,NA,NA
1993,9,258,ACP,NA,NA
1993,10,157.3,ACP,NA,NA
1993,11,237.9,ACP,NA,NA
1993,12,118.3,ACP,NA,NA
1994,1,1.3,ACP,NA,NA
1994,2,30.2,ACP,NA,NA
1994,3,60.4,ACP,NA,NA
1994,4,52.9,ACP,NA,NA
1994,5,305.9,ACP,NA,NA
1994,6,231.6,ACP,NA,NA
1994,7,124.6,ACP,NA,NA
1994,8,235.4,ACP,NA,NA
1994,9,152.3,ACP,NA,NA
1994,10,304.6,ACP,NA,NA
1994,11,387.7,ACP,NA,NA
1994,12,85.6,ACP,NA,NA
1995,1,0,ACP,27.2,PNM
1995,2,2.5,ACP,27.2,PNM
1995,3,61.7,ACP,27.5,ACP
1995,4,73,ACP,27.6,ACP
1995,5,245.4,PNM,27,PNM
1995,6,377.5,PNM,27.2,PNM
1995,7,237.8,PNM,26.7,PNM
1995,8,175.7,PNM,27,PNM
1995,9,416.6,ACP,26.4,ACP
1995,10,362.5,ACP,26.4,PNM
1995,11,179.6,PNM,26.6,PNM
1995,12,141.5,PNM,26.6,PNM
1996,1,137.2,ACP,26.6,PNM
1996,2,51.2,PNM,26.8,PNM
1996,3,64.1,PNM,27,PNM
1996,4,123.3,PNM,27.5,PNM
1996,5,384.4,PNM,27.1,PNM
1996,6,178.5,PNM,27,PNM
1996,7,133.2,PNM,26.8,PNM
1996,8,188.3,PNM,26.7,PNM
1996,9,99.5,PNM,26.8,PNM
1996,10,218.3,PNM,26.6,PNM
1996,11,335.8,PNM,26.3,PNM
1996,12,101.2,PNM,26.3,PNM
1997,1,129,PNM,26.4,PNM
1997,2,17.1,PNM,27.2,PNM
1997,3,2.4,PNM,26.9,PNM
1997,4,7.3,PNM,27.5,PNM
1997,5,102,PNM,27.9,PNM
1997,6,189.5,PNM,27.4,PNM
1997,7,135,PNM,28,PNM
1997,8,140.9,PNM,28,PNM
1997,9,344.5,PNM,27.2,PNM
1997,10,230.8,PNM,27.3,PNM
1997,11,272.3,PNM,25.9,PNM
1997,12,0,PNM,26.9,PNM
1998,1,0.5,PNM,27.1,PNM
1998,2,3.8,PNM,27.2,PNM
1998,3,0,PNM,27.8,PNM
