sitename,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Manaus,1153.5,1150.5,1150.5,1168.5,1153.6,1165.9,1162.5,1162.7,1159.8,1172,1187,1186.9,1180.6,1199.4,1165.7,1162.4,1134.9,1144.6,1144.3,1153.3,1132.3,1123.2,1132,1147,1153.9,1135.2,1098.8,1122.7,1122.8,1117.1,1147.5,1138.3,1101.8,1111.4,1153.7,1150.1,1132.3,1126.1,1135,1153.1,1141.2,1128.9,1132.1,1141.3,1138.1,1165.6,1138.5,1141.4,1117,1156.4,1174.6,1177.5,1157,1168.9,1147.9,1141.3,1173.8,1171.4,1159.8,1168.7,1147.2,1156.5,1184.2,1135,1150,1138.3,1165.8,1144.1,1171.2,1138.7,1147.6,1162.3,1156.5,1168.7,1168.7,1171.3,1159.7,1138.3,1168.7,1159.2,1162.8,1156.7,1141.7,1141.3,1153.1,1132.7,1178.1,1162.5,1123.5,1147.4,1156.3,1177.3,1150.9,1159.6,1168.9,1129.1,1187.7,1177.4,1114.4,1147,1181.4,1175.2,1199,1204.9,1217.6,1199.4,1186.5,1150.4,1199.7,1223.9,1184.2,1183.6,1181.3,1184
Amacayacu,1030.5,1030.5,1033.6,1039.8,1036.6,1033.6,1030.5,1039.7,1033.6,1039.6,1030.5,1030.7,1027.5,1027.4,1018.5,1024.5,1027.2,1027.6,1027.4,1039.7,1021.3,1039.7,1024.3,1021.3,1021.3,1018.6,1024.4,1024.4,1024.4,1033.5,1024.6,1021.5,1021.5,1030.6,1039.8,1033.5,1033.6,1027.3,1036.5,1063.9,1079.2,1073.3,1061,1064.3,1030.5,1033.3,1036,1021.5,1043.1,1049,1015.7,1030.4,1030.6,1075.6,1057.8,1015.5,1045.3,1058,1066.6,1082.5,1070.3,1076,1096.7,1085,1090.3,1059.4,1052.5,1079.3,1064.8,1085.6,1058.2,1036.5,1024.6,973,1003.2,978.8,984.2,1042.9,993.7,1014.8,991.5,985.6,1002.9,1006.4,999.7,967,1036.9,1030.7,1015.5,982.9,1014.9,994.1,982.5,1015.4,1015.3,1009.3,997.6,1027.5,1012.7,1012,1025,1006.2,1000,1009.7,1064.4,1006.2,987.5,1031,1051.8,1042.8,987.7,1033.8,1033.9,1030.5
Yasuni,1438.1,1438.1,1438.1,1442.4,1438.1,1438.1,1438.1,1442.4,1438.1,1441.1,1438.1,1436.3,1431.9,1431.9,1422.9,1439.3,1429,1426.2,1431.9,1448.5,1444.2,1444.2,1425.6,1430.3,1419.7,1444.2,1447.2,1436,1444.3,1474.4,1426,1384.4,1419.9,1465.6,1468.6,1530.4,1477,1465.4,1484,1564,1529,1529.1,1529.4,1536.7,1506.8,1492,1474.4,1506,1462.5,1532.4,1468.8,1515.6,1495.9,1547,1473.3,1466.6,1550.5,1556.3,1512.2,1555.1,1522.7,1517.3,1533.8,1492,1515.5,1469,1433.4,1482.9,1490.2,1458.8,1392.4,1411.2,1379.8,1353,1328.1,1384.4,1437.8,1456.1,1397.7,1403.1,1392.9,1383.6,1489,1406.8,1433.4,1406,1495.4,1384.7,1370.6,1399.4,1385.3,1389.9,1396.2,1402,1398.2,1348.3,1322.4,1385.4,1367,1396.9,1417.1,1368,1343.5,1341.8,1310.2,1312.6,1317.8,1320.1,1434.6,1379.6,1325.6,1332.8,1341.5,1374
Scotty_Creek,498.6,476.9,501.1,523,535,572.6,504.9,514.2,483.4,459,492.3,514.5,486.6,498.7,526.1,537.9,473.7,437.3,483.3,480.7,526,492.6,516.6,502.2,531.7,489.6,489.9,498.5,493,508.5,498.6,492.5,480.8,483.6,495.7,462.4,525.7,572.2,511,507.3,507.7,544.4,537.8,505,499,507.7,471.2,520.7,516.9,513.8,474.6,495.9,471.5,465.4,480.4,450.4,459.1,477.8,455.8,464.9,477.6,464.7,490,480.3,502.2,489.1,504.8,465,474,483.4,526.4,492.6,550.7,449.7,522.8,537.8,497.8,480.1,499,541.3,530.1,482.8,501.5,510.5,495.3,495.5,525.5,492.5,544.1,532.2,525.5,487.1,522.6,566.1,577.1,489,483.2,584.2,528.7,480.4,489.5,467.5,519.9,513.5,519.6,516.5,477.1,517.1,486,516.8,513.6,553.5,508.2,516.7
Korup,1005,1005.3,1014.3,1008.7,1011.4,1014.1,1011.4,1011.7,1017.2,1005.2,1011.4,1023.8,1011.4,1017.3,1011.2,1017.7,1014.2,1011.2,1011.2,1014.7,1011.2,1014.2,1011.2,1014.5,1002.1,1011.1,1017.3,1008.7,995.7,1017.3,1026.1,1023.8,1017.3,1014.1,1023.2,1017.8,1020.4,1029.4,1020.1,1014.7,1038.5,1029.2,1011.2,1020.7,1014.4,1017.3,1022.8,1014.6,1023.4,1008.3,1008.4,999.5,990,990.2,992.9,993.4,1002.2,1002.3,999.1,1002.6,1014,989.8,1012,998.9,990.5,1004.6,986.7,975,1001.2,996.2,1017.3,1023.7,1010.9,1002.4,978.3,969.4,993.1,1005.2,993.2,1011.6,1032.2,993,1019.4,1030,989.3,996.4,1026.3,1011.4,1035.1,974.2,989.9,1026.7,1029.3,1041.9,1038.6,1029.7,984,1029,1008.1,1011.7,996.1,998.9,1020,1005.6,1026.4,1004.9,990,999.6,1023.2,1023.2,1027,1008.8,1020.4,1026.5
Khao_Chong,1229.9,1193.9,1193.6,1194.5,1226.8,1220.9,1187.4,1191.5,1190.5,1190.6,1230.1,1237.2,1236.1,1245.1,1235.7,1231,1211.8,1209.2,1245.2,1237.3,1221,1214.8,1214.8,1209.9,1208.9,1233.1,1224,1222,1214.9,1259.9,1265.5,1246.4,1247.2,1218,1244.5,1222.1,1244.4,1211.9,1196.2,1267.5,1236,1190.6,1214.6,1218.8,1211.8,1239.4,1229.5,1258.6,1229.9,1226.8,1196.4,1179.7,1194.9,1220.1,1208.8,1206.6,1250.6,1251.1,1223.5,1222.6,1196.6,1204.9,1227.1,1225.5,1212.3,1202.2,1181.3,1239.7,1211.9,1187.2,1187,1252.8,1210.9,1203,1157.8,1216.3,1215.5,1199.3,1223.8,1197.8,1178.7,1193.6,1223.1,1170.9,1184.5,1174.2,1213.8,1164.4,1171.4,1193.5,1189.9,1197.6,1190.2,1184.6,1205.9,1209.7,1217.8,1271.1,1160.6,1195.1,1220.2,1259.8,1222.4,1301,1243.4,1242.9,1215.9,1185.9,1204.6,1207.5,1171.2,1218.6,1178.9,1262.6
Barro_Colorado_Island_(BCI),1335.6,1332.6,1341.7,1346.5,1332.6,1338.6,1335.6,1343.2,1335.6,1351,1338.7,1334,1341.7,1338.7,1347.6,1334.2,1332.6,1332.5,1332.5,1343.2,1326.6,1320.3,1332.8,1324.9,1326.5,1335.7,1323.4,1337.3,1332.4,1347.6,1326.5,1315.8,1305.1,1311.3,1329.7,1379.8,1362.8,1332.6,1354.2,1364.8,1365.4,1377.3,1366.5,1377.1,1401.4,1405.1,1351.3,1382.9,1394.3,1334.8,1363.6,1443.4,1399.4,1384.1,1350,1483.9,1447.6,1475.5,1481.3,1349.4,1408.4,1374.9,1390.2,1416.5,1432.2,1364.6,1368.9,1294.6,1314.9,1344.7,1338.2,1382.8,1362.7,1284.2,1244.6,1310.1,1256.7,1185.3,1329.4,1313.4,1266.1,1296.8,1344.6,1276.5,1284.8,1318.2,1315,1298,1263.3,1299.6,1330.8,1359.1,1351.9,1342.6,1360.4,1245.9,1309.9,1300.8,1305.8,1322,1327.1,1326.8,1302.9,1285.4,1261.5,1311.6,1325.2,1334.4,1338.9,1314.8,1320.7,1285.8,1293.3,1290
Cocoli,1415.3,1403.1,1409.2,1413.9,1406.2,1412.3,1406.1,1416.9,1412.3,1418.4,1409.2,1410.7,1409.2,1415.4,1418.2,1410.8,1397.2,1409.3,1412.3,1416.9,1391,1393.9,1400.2,1398.5,1393.8,1415.1,1394,1404.8,1403.1,1424.2,1403.1,1392.5,1378.7,1381.9,1400.3,1453.3,1442.5,1415.3,1430.6,1447.6,1436.1,1453.7,1442.9,1447.5,1462.6,1460.6,1418.5,1447.2,1455.5,1393.6,1443.2,1517.2,1466.9,1448.6,1423.6,1551.3,1521.3,1548.9,1545.8,1426,1478.9,1436.2,1454.7,1487,1493.8,1441.3,1436.6,1374.4,1397.4,1408.9,1399.8,1462.3,1427.1,1360.4,1294.1,1368.6,1324.4,1249.6,1399.9,1393,1333.5,1382.7,1412.2,1353.3,1370.1,1400.9,1400.7,1387,1348.8,1379.2,1392,1423.5,1422.5,1416,1434.1,1313.5,1386.6,1389.4,1367.5,1386.4,1385.5,1385.1,1379.5,1352.9,1344,1382,1398.5,1405,1397.4,1394.2,1394.2,1359.1,1360.9,1360.8
San_Lorenzo/_Sherman,1335.6,1332.6,1341.7,1346.5,1332.6,1338.6,1335.6,1343.2,1335.6,1351,1338.7,1334,1341.7,1338.7,1347.6,1334.2,1332.6,1332.5,1332.5,1343.2,1326.6,1320.3,1332.8,1324.9,1326.5,1335.7,1323.4,1337.3,1332.4,1347.6,1326.5,1315.8,1305.1,1311.3,1329.7,1379.8,1362.8,1332.6,1354.2,1364.8,1365.4,1377.3,1366.5,1377.1,1401.4,1405.1,1351.3,1382.9,1394.3,1334.8,1363.6,1443.4,1399.4,1384.1,1350,1483.9,1447.6,1475.5,1481.3,1349.4,1408.4,1374.9,1390.2,1416.5,1432.2,1364.6,1368.9,1294.6,1314.9,1344.7,1338.2,1382.8,1362.7,1284.2,1244.6,1310.1,1256.7,1185.3,1329.4,1313.4,1266.1,1296.8,1344.6,1276.5,1284.8,1318.2,1315,1298,1263.3,1299.6,1330.8,1359.1,1351.9,1342.6,1360.4,1245.9,1309.9,1300.8,1305.8,1322,1327.1,1326.8,1302.9,1285.4,1261.5,1311.6,1325.2,1334.4,1338.9,1314.8,1320.7,1285.8,1293.3,1290
Luquillo,1183.2,1161.7,1204.7,1150.3,1174.1,1153.1,1125.6,1181.1,1129.4,1114.2,1156.2,1195.9,1123.4,1165.9,1190.4,1134.9,1128.9,1162.9,1168.1,1195.8,1152.4,1129.4,1165.8,1181,1177.9,1189.2,1159.5,1168.2,1132.1,1190.2,1214.4,1235.1,1210.9,1195.7,1183.2,1198.4,1195.9,1120,1159.5,1223.4,1216.5,1207.4,1165.1,1198.6,1144,1153.5,1161.8,1198.9,1168.6,1108,1208.5,1186.6,1198.6,1171.9,1205.2,1156.6,1208.5,1244.4,1245.3,1247.7,1229.4,1241.3,1260,1296.7,1226.1,1236.1,1204.6,1305.4,1308.6,1265.8,1241.5,1168.3,1174.3,1205,1207.3,1205.3,1259.9,1201.8,1116.6,1187,1180.8,1144.7,1225.7,1220.4,1262.9,1290.1,1222.1,1226.2,1241.6,1278.3,1272.4,1247.7,1295.8,1281.3,1277.9,1208.3,1187.3,1159.4,1148,1198.9,1205.3,1178.3,1162.6,1174.2,1202.3,1217,1237.5,1193.2,1248.4,1216.4,1195.7,1241,1241,1287
