"year","sites.sitename","emission_units","emission_type","value"
"1838","New_Mexico","kg m-2 s-1","SO2",3.81958658289965e-12
"1839","New_Mexico","kg m-2 s-1","SO2",4.18102647386937e-12
"1840","New_Mexico","kg m-2 s-1","SO2",4.38677478090594e-12
"1841","New_Mexico","kg m-2 s-1","SO2",4.70185488398946e-12
"1842","New_Mexico","kg m-2 s-1","SO2",5.22413604993335e-12
"1843","New_Mexico","kg m-2 s-1","SO2",5.78999185510099e-12
"1844","New_Mexico","kg m-2 s-1","SO2",6.79955774564014e-12
"1845","New_Mexico","kg m-2 s-1","SO2",8.08267796233008e-12
"1846","New_Mexico","kg m-2 s-1","SO2",8.99884891100423e-12
"1847","New_Mexico","kg m-2 s-1","SO2",1.05073187877791e-11
"1848","New_Mexico","kg m-2 s-1","SO2",1.16945233187134e-11
"1849","New_Mexico","kg m-2 s-1","SO2",1.25720110296154e-11
"1850","New_Mexico","kg m-2 s-1","SO2",1.34363599750479e-11
"1851","New_Mexico","kg m-2 s-1","SO2",1.63552458646758e-11
"1852","New_Mexico","kg m-2 s-1","SO2",1.75446149692734e-11
"1853","New_Mexico","kg m-2 s-1","SO2",1.94548907989221e-11
"1854","New_Mexico","kg m-2 s-1","SO2",2.11665640736939e-11
"1855","New_Mexico","kg m-2 s-1","SO2",2.40131500175337e-11
"1856","New_Mexico","kg m-2 s-1","SO2",2.40703562300357e-11
"1857","New_Mexico","kg m-2 s-1","SO2",2.35251250025497e-11
"1858","New_Mexico","kg m-2 s-1","SO2",2.26858714471451e-11
"1859","New_Mexico","kg m-2 s-1","SO2",2.33395519720725e-11
"1860","New_Mexico","kg m-2 s-1","SO2",2.29970998241716e-11
"1861","New_Mexico","kg m-2 s-1","SO2",2.07956187623473e-11
"1862","New_Mexico","kg m-2 s-1","SO2",2.03199412659933e-11
"1863","New_Mexico","kg m-2 s-1","SO2",2.18718750848061e-11
"1864","New_Mexico","kg m-2 s-1","SO2",2.17683434698457e-11
"1865","New_Mexico","kg m-2 s-1","SO2",2.02478726613904e-11
"1866","New_Mexico","kg m-2 s-1","SO2",2.06215927744276e-11
"1867","New_Mexico","kg m-2 s-1","SO2",2.56215374975065e-11
"1868","New_Mexico","kg m-2 s-1","SO2",2.93466736985379e-11
"1869","New_Mexico","kg m-2 s-1","SO2",3.34974416635728e-11
"1870","New_Mexico","kg m-2 s-1","SO2",3.56824418498655e-11
"1871","New_Mexico","kg m-2 s-1","SO2",3.74477061437825e-11
"1872","New_Mexico","kg m-2 s-1","SO2",4.57419128273426e-11
"1873","New_Mexico","kg m-2 s-1","SO2",5.05566738755726e-11
"1874","New_Mexico","kg m-2 s-1","SO2",4.9173241555342e-11
"1875","New_Mexico","kg m-2 s-1","SO2",5.02889611787528e-11
"1876","New_Mexico","kg m-2 s-1","SO2",5.11359909225021e-11
"1877","New_Mexico","kg m-2 s-1","SO2",5.82263453299581e-11
"1878","New_Mexico","kg m-2 s-1","SO2",5.88918449278742e-11
"1879","New_Mexico","kg m-2 s-1","SO2",7.35618948193171e-11
"1880","New_Mexico","kg m-2 s-1","SO2",8.55586835201748e-11
"1881","New_Mexico","kg m-2 s-1","SO2",8.98548942962435e-11
"1882","New_Mexico","kg m-2 s-1","SO2",9.9633329573902e-11
"1883","New_Mexico","kg m-2 s-1","SO2",1.07480097069535e-10
"1884","New_Mexico","kg m-2 s-1","SO2",1.12225563004473e-10
"1885","New_Mexico","kg m-2 s-1","SO2",1.12445620323885e-10
"1886","New_Mexico","kg m-2 s-1","SO2",1.1397504782471e-10
"1887","New_Mexico","kg m-2 s-1","SO2",1.1877206024397e-10
"1888","New_Mexico","kg m-2 s-1","SO2",1.40927587831205e-10
"1889","New_Mexico","kg m-2 s-1","SO2",1.25224557801214e-10
"1890","New_Mexico","kg m-2 s-1","SO2",1.46583176571433e-10
"1891","New_Mexico","kg m-2 s-1","SO2",1.56629406951551e-10
"1892","New_Mexico","kg m-2 s-1","SO2",1.66592764245594e-10
