TOA5,Weather-CR1000,CR1000,23011,CR1000.Std.16,CPU:CRC_met_logger_final 101018a.CR1,17723,Metdata_5min,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,RadTot_KZ_Avg,RadTot_KZ_Std,RadTot_Li_Avg,RadTot_Li_Std,T_Air1_Avg,T_Air1_Std,T_Air2_Avg,T_Air2_Std,RH_Avg,RH_Std,WS_WVc(1),WS_WVc(2),WS_WVc(3),u_Avg,v_Avg,Prec_Tot,Resis1_Avg,Resis1_Std,Resis2_Avg,Resis2_Std,Asp_Fan_Avg,BattV_Avg,Tbox_Avg,Batstat_Avg
TS,RN,W/m2,W/m2,W/m2,W/m2,C,C,C,C,%,%,m/s,m/s,m/s,m/s,m/s,mm,Ohm,Ohm,Ohm,Ohm,,V,C,
,,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,WVc,WVc,WVc,Avg,Avg,Tot,Avg,Std,Avg,Std,Avg,Avg,Avg,Avg
1/1/2018 0:00,700499,4686.288,15.01002,0,0,-14.45686,0,-14.74989,0,71.02576,0.06455649,1.028333,181.8384,11.70635,-1.013333,-0.03916667,0,47723.07,0,48080.64,0,0,10.75,-14.99261,0
1/1/2018 0:05,700500,4737.922,43.64489,0,0,-14.45686,0,-14.74216,0.01373529,71.20156,0.04697938,1.026667,188.9984,21.17644,-0.9633333,-0.1916667,0,47723.07,0,48071.16,16.83515,0,10.74,-14.97729,0
1/1/2018 0:10,700501,4743.413,37.22054,0,0,-14.45523,0.006089937,-14.70554,0.0113577,71.32844,0.02812574,0.8633334,192.507,27.36837,-0.7366666,-0.235,0,47721.09,7.392697,48026.29,13.91363,0,10.73,-14.96776,0
1/1/2018 0:15,700502,4779.884,62.26576,0,0,-14.41575,0.01444357,-14.70024,0.004385026,71.41491,0.03220212,0.8916665,218.8011,54.38533,-0.5533333,-0.32,0,47673.2,17.51694,48019.81,5.365531,0,10.73,-14.95782,0
1/1/2018 0:20,700503,4933.22,31.35198,0,0,-14.40802,0,-14.66483,0.01575973,71.50878,0.03624756,1.158333,208.3526,16.29763,-0.9916667,-0.53,0,47663.82,0,47976.48,19.27548,0,10.72,-14.94291,0
1/1/2018 0:25,700504,4901.65,25.26025,0,0,-14.37993,0.01596713,-14.65221,0,71.59299,0.02606735,1,198.5832,14.47534,-0.925,-0.2916667,0,47629.8,19.33773,47961.05,0,0,10.71,-14.93214,0
1/1/2018 0:30,700505,4889.297,19.62938,0,0,-14.35917,0,-14.63797,0.01203253,71.6658,0.02283403,1.203333,208.2348,18.49708,-1.008333,-0.5216666,0,47604.66,0,47943.64,14.70932,0,10.71,-14.91806,0
1/1/2018 0:35,700506,4905.768,17.29411,0,0,-14.35824,0.001688847,-14.62442,0.0158213,71.69427,0.01594487,0.7933334,182.0057,12.91918,-0.7683333,-0.04333333,0,47603.54,2.046103,47927.1,19.32035,0,10.7,-14.91806,0
1/1/2018 0:40,700507,4855.506,22.82734,0,0,-14.35705,0.000685755,-14.61102,0.01283364,71.71006,0.01800298,1.213333,194.8215,6.69488,-1.156667,-0.3183333,0,47602.1,0.8323104,47910.73,15.66744,0,10.69,-14.93214,0
1/1/2018 0:45,700508,4808.577,9.583859,0,0,-14.3585,0.000227718,-14.61857,0.01397013,71.7496,0.02812245,0.8900001,183.1339,15.80263,-0.8666667,-0.04833333,0,47603.86,0.2734252,47919.96,17.05877,0,10.69,-14.94291,0
1/1/2018 0:50,700509,4789.819,16.50034,0,0,-14.35897,7.55E-05,-14.62758,0.009972884,71.74363,0.02634856,0.8916666,201.8093,13.2614,-0.8166667,-0.3033333,0,47604.42,0.09278657,47930.96,12.17857,0,10.68,-14.94291,0
1/1/2018 0:55,700510,4805.244,8.841699,0,0,-14.35913,2.19E-05,-14.63548,0.01137258,71.73006,0.02128454,0.8416668,192.1724,11.42335,-0.8033333,-0.195,0,47604.61,0.02799964,47940.6,13.89458,0,10.67,-14.94291,0
1/1/2018 1:00,700511,4803.348,12.81134,0,0,-14.35917,5.69E-06,-14.65139,0.004386021,71.75001,0.02876046,1.001667,198.9699,13.79089,-0.925,-0.3016666,0,47604.66,0.00436732,47960.05,5.358231,0,10.67,-14.96155,0
1/1/2018 1:05,700512,4829.231,22.46402,0,0,-14.36446,0.0110044,-14.65221,0,71.75967,0.0231539,0.6016667,173.9388,46.67765,-0.5166667,3.73E-10,0,47611.07,13.32467,47961.05,0,0,10.66,-14.969,0
1/1/2018 1:10,700513,4885.964,55.33869,0,0,-14.39621,0.01220358,-14.6803,0.01829157,71.75626,0.02469608,0.9033333,200.0252,17.82796,-0.7933333,-0.325,0,47649.52,14.7867,47995.4,22.37564,0,10.66,-14.9951,0
1/1/2018 1:15,700514,4920.017,31.32636,0,0,-14.41778,0.01738395,-14.70716,0.01453091,71.70847,0.02000115,1.003333,199.8166,20.51449,-0.8583333,-0.38,0,47675.67,21.08591,48028.28,17.80366,0,10.65,-15.02161,0
1/1/2018 1:20,700515,4806.354,20.25392,0,0,-14.47355,0.02206559,-14.74705,0.00783961,71.68686,0.008514494,0.8216666,181.0777,11.79613,-0.8116666,-0.04166667,0,47743.34,26.80752,48077.15,9.611871,0,10.64,-15.05516,0
1/1/2018 1:25,700516,4829.819,23.17089,0,0,-14.5407,0.02200535,-14.78001,0.01858173,71.68458,0,0.9216665,199.7056,18.04117,-0.8033333,-0.305,0,47825.02,26.79058,48117.61,22.80935,0,10.64,-15.09285,0
1/1/2018 1:30,700517,4787.4,13.66712,0,0,-14.93019,0.4889436,-14.82437,0.02247516,71.6823,0.008514494,1.055,192.4786,21.63625,-0.9583333,-0.195,0,48307.61,610.5523,48172.11,27.63607,0,10.63,-15.13137,0
